Nombre,150
Apellido,10_03
Edad,43
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,Si
Trabaja?,No
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.161553493530846,carro,buho,sra,rctrl,rctrl,0.03336736931669293
-8,0,0,pavo,rueda,sro,,rctrl,0.03334641693254525
-7,1,0.7125740841356674,serpiente,hilo,sro,lctrl,rctrl,0.033384689952981716
-6,0,0,mapache,violin,sro,,rctrl,0.03339055662036117
-5,1,0.47702040343119734,mapache,violin,sro,lctrl,rctrl,0.03339418836731056
-4,1,0.6803057371816976,buho,carro,sro,lctrl,rctrl,0.03338217566761159
-3,1,0.4965966344880144,carro,buho,sra,rctrl,rctrl,0.03337351534901245
-2,1,0.6168239259459369,buho,carro,sro,lctrl,rctrl,0.03338245503255166
-1,1,0.44837095217371825,violin,mapache,sra,rctrl,rctrl,0.03334585820266511
0,1,0.47706286692846334,pavo,rueda,sro,lctrl,rctrl,0.033383851858161506
1,1,0.8058457150282266,bota,zapato,sro,lctrl,rctrl,0.033386366144441126
2,1,0.5165745925805822,hacha,vaso,wro,lctrl,rctrl,0.033381058206941816
3,1,0.6317084992642776,tigre,leon,sra,rctrl,rctrl,0.03336820741151314
4,1,0.7469544313598817,chancho,tornillo,nr,lctrl,rctrl,0.03338804233499104
5,1,0.46059624896406604,ventana,cebra,nr,rctrl,rctrl,0.03338413122401107
6,1,0.4894390208810364,sapo,cebra,wra,rctrl,rctrl,0.033372118523402605
7,1,0.45212226693638513,escarabajo,leon,wra,rctrl,rctrl,0.0334064804328591
8,1,0.623565285532095,cama,mono,nr,rctrl,rctrl,0.03338552804871142
