Nombre,150
Apellido,18_22
Edad,21
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,Menos de 5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.2991877459285206,serpiente,hilo,sro,rctrl,lctrl,0.033386924874776014
-8,1,0.6145987828062971,mapache,violin,sro,rctrl,lctrl,0.03340843598834908
-7,1,0.5387450080947929,pavo,rueda,sro,rctrl,lctrl,0.033404524876914365
-6,1,0.5181778689748171,hilo,pavo,sra,lctrl,lctrl,0.03338692487432127
-5,1,0.5061682420532634,serpiente,hilo,sro,rctrl,lctrl,0.03335842963315372
-4,1,0.38681117292844647,mapache,violin,sro,rctrl,lctrl,0.03341206773484373
-3,1,0.4730612410235153,carro,buho,sra,lctrl,lctrl,0.03333188994702141
-2,1,0.4239301363722916,violin,mapache,sra,lctrl,lctrl,0.03342575662509262
-1,1,0.4286368798266267,violin,mapache,sra,lctrl,lctrl,0.03340564233712939
0,1,0.4475633076272061,hilo,pavo,sra,lctrl,lctrl,0.03338245503255166
1,1,0.627389793954535,gallo,cigarrillo,nr,rctrl,lctrl,0.033371839158462535
2,1,0.46399388749114223,hacha,vaso,wro,rctrl,lctrl,0.03340312805130452
3,1,0.40237907331811584,arana,caballo,wra,lctrl,lctrl,0.0333771470955071
4,1,0.4950226914315863,bota,zapato,sro,rctrl,lctrl,0.0333559153468741
5,1,0.4543700386502678,destornillador,tornillo,sro,rctrl,lctrl,0.03339530582798034
6,1,0.4732981426409424,ardilla,vaso,nr,rctrl,lctrl,0.033389997890935774
7,1,0.4313087277851082,tigre,leon,sra,lctrl,lctrl,0.03337407407934734
8,1,0.46784772925047946,perro,gato,sra,lctrl,lctrl,0.03341765503728311
9,1,0.4129795826006557,taza,cabra,nr,lctrl,lctrl,0.03338915979566082
10,1,0.41168640148407576,gorila,mono,sra,lctrl,lctrl,0.03339949630480987
11,1,0.5240571078165885,sombrero,tenedor,wro,rctrl,lctrl,0.03338776297005097
12,1,0.525769895335543,cisne,pato,sra,lctrl,lctrl,0.03338301376288655
