Nombre,150
Apellido,9_21
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.2547463434593737,mapache,violin,sro,rctrl,lctrl,0.033374353444742155
-8,1,0.4373427349009944,serpiente,hilo,sro,rctrl,lctrl,0.03339139471700037
-7,1,0.3864276046260784,hilo,serpiente,sra,lctrl,lctrl,0.0333911153520603
-6,1,0.4197818437824026,serpiente,hilo,sro,rctrl,lctrl,0.03336708995175286
-5,1,0.3614607443123532,serpiente,hilo,sro,rctrl,lctrl,0.033421845514567394
-4,1,0.37534770480579027,hilo,serpiente,sra,lctrl,lctrl,0.03340927408407879
-3,1,0.258319143913468,serpiente,hilo,sro,rctrl,lctrl,0.033366531220963225
-2,1,0.3841463090975594,carro,buho,sra,lctrl,lctrl,0.03338441058895114
-1,1,0.45579563883165974,violin,mapache,sra,lctrl,lctrl,0.03340871535419865
0,1,0.42377145698719687,hilo,pavo,sra,lctrl,lctrl,0.03338608677859156
1,1,0.4898924304625325,llave,zapato,wro,rctrl,lctrl,0.03340983281395893
2,1,0.37551392704972386,tijera,leon,nr,lctrl,lctrl,0.033415140750548744
3,1,0.42765658763892134,bota,zapato,sro,rctrl,lctrl,0.03337882328651176
4,1,0.34811267912482435,aguila,mono,wra,lctrl,lctrl,0.03340787725755945
5,1,0.6312738071455897,camello,zapato,nr,rctrl,lctrl,0.03336206137919362
6,1,0.41009988699715905,peine,tornillo,wro,rctrl,lctrl,0.03340340741669934
7,1,0.3754513492640399,elefante,mesa,nr,rctrl,lctrl,0.03337407407889259
8,1,0.3938260309623729,cuchara,cigarrillo,wro,rctrl,lctrl,0.03336792804657307
9,1,0.37823382580700127,oso,olla,nr,rctrl,lctrl,0.03341905186243821
10,1,0.3278003209907183,rinoceronte,tenedor,nr,rctrl,lctrl,0.03340899471913872
11,0,0.31947077072618413,lapiz,zorro,nr,rctrl,lctrl,0.03337882328651176
12,1,0.4975204949232648,ciervo,tenedor,nr,rctrl,lctrl,0.0333947470981002
13,1,0.39153551638537465,pinguino,clavo,nr,rctrl,lctrl,0.033369324872182915
14,1,0.308870261444099,martillo,clavo,sro,rctrl,lctrl,0.033420169323107984
15,1,0.4791664862432299,escritorio,leon,nr,lctrl,lctrl,0.033378264555722126
16,1,0.4673518561712626,puerta,mono,nr,lctrl,lctrl,0.033376867731021775
17,1,0.40110572712455905,hacha,vaso,wro,rctrl,lctrl,0.03338217566761159
18,1,0.48812740166704316,pava,zorro,nr,lctrl,lctrl,0.03334529947187548
19,1,0.49152001162110537,pinza,mesa,wro,rctrl,lctrl,0.033366810585903295
20,1,0.5978335235340637,avestruz,zapato,nr,rctrl,lctrl,0.033352562964864774
21,0,0.4180615134046093,escarabajo,leon,wra,rctrl,lctrl,0.03334390264626563
22,1,0.5118038745149533,jarra,cabra,nr,lctrl,lctrl,0.033351445504195
23,1,0.5244610697727694,ardilla,vaso,nr,rctrl,lctrl,0.03334837248894473
24,1,0.42726352092176967,copa,pato,nr,lctrl,lctrl,0.03300559149283799
25,1,0.42307360293034435,hormiga,pato,wra,lctrl,lctrl,0.033374912174622295
26,1,0.38914498909798567,candado,cebra,nr,lctrl,lctrl,0.03335815026821365
27,1,0.4015594160709952,abeja,gato,wra,lctrl,lctrl,0.03338468995389121
28,1,0.35033502861369925,sapo,cebra,wra,lctrl,lctrl,0.03344950266000524
29,1,0.45655243892724684,sombrero,tenedor,wro,rctrl,lctrl,0.03337630900023214
30,1,0.4622615444141047,oveja,cabra,sra,lctrl,lctrl,0.033363458204803464
31,1,0.4342473694287037,conejo,clavo,nr,rctrl,lctrl,0.033375750269442506
32,1,0.36653429416310246,arana,caballo,wra,lctrl,lctrl,0.03335004867949465
33,1,0.4345948996306106,cama,mono,nr,lctrl,lctrl,0.03339586455876997
34,1,0.5529431813256451,gorila,mono,sra,lctrl,lctrl,0.027682289229232993
35,1,0.5112769919078346,jirafa,cebra,sra,lctrl,lctrl,0.03338748360420141
36,1,0.4314017563683592,tortuga,tornillo,nr,rctrl,lctrl,0.03340256932096963
37,1,0.4757121365983039,perro,gato,sra,lctrl,lctrl,0.0333830137624318
38,1,0.5636886811025761,gallina,olla,nr,rctrl,lctrl,0.033369604237122985
39,1,0.48980722410215094,pipa,cigarrillo,sro,rctrl,lctrl,0.033376029634382576
40,1,0.3792610513346517,regla,clavo,wro,rctrl,lctrl,0.033372677253282745
41,1,0.43457450597816205,cisne,pato,sra,lctrl,lctrl,0.03340731852767931
42,1,0.31464222408158093,ventana,cebra,nr,lctrl,lctrl,0.03338720424017083
43,1,0.5038908576370886,bowl,caballo,nr,lctrl,lctrl,0.03340620106700953
44,1,0.5850313377814018,gallo,cigarrillo,nr,rctrl,lctrl,0.03334921058376494
45,1,0.39640987890834367,canguro,mesa,nr,rctrl,lctrl,0.03332574391424714
46,1,0.4548633974427503,pincel,pato,nr,lctrl,lctrl,0.03335563598193403
47,1,0.44962613963434706,media,olla,wro,rctrl,lctrl,0.033372677253282745
48,1,0.4137657160335948,burro,caballo,sra,lctrl,lctrl,0.03338804233499104
49,1,0.42103535505248146,taza,cabra,nr,lctrl,lctrl,0.033369045507242845
50,0,0.42733783204312203,mariposa,vaso,nr,lctrl,lctrl,0.033366810585903295
51,1,0.4232563077157465,sobre,gato,nr,lctrl,lctrl,0.03335088677431486
52,1,0.44996640634508367,raton,cabra,wra,lctrl,lctrl,0.03341542011639831
53,1,0.4363853506529267,mosca,zorro,wra,lctrl,lctrl,0.03342491852981766
54,1,0.41779555781522504,chancho,tornillo,nr,rctrl,lctrl,0.033360385188643704
55,1,0.4617142681545374,sarten,olla,sro,rctrl,lctrl,0.033383013763341296
56,1,0.4516015303624954,tigre,leon,sra,lctrl,lctrl,0.0331771216733614
57,1,0.44370751031237887,botella,vaso,sro,rctrl,lctrl,0.03340201059108949
58,1,0.39875151730211655,silla,mesa,sro,rctrl,lctrl,0.03323159787032637
59,1,0.6251087777909561,cuchillo,tenedor,sro,rctrl,lctrl,0.03338832169993111
60,1,0.4932869959729942,zorrino,zorro,sra,lctrl,lctrl,0.03335088677431486
61,1,0.5252226190750662,serrucho,caballo,nr,lctrl,lctrl,0.033374632809682225
62,1,0.42758618762945844,destornillador,tornillo,sro,rctrl,lctrl,0.03339167408103094
63,1,0.4598226869620703,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033374632809682225
64,1,0.43962626534903393,tuerca,gato,nr,lctrl,lctrl,0.03338161693773145
65,1,0.4527301654261464,oveja,cabra,sra,lctrl,lctrl,0.033366251856023155
66,1,0.4612873982587189,gorila,mono,sra,lctrl,lctrl,0.03337882328651176
67,1,0.36540286544732226,peine,tornillo,wro,rctrl,lctrl,0.03339055662036117
68,1,0.369875780302209,mosca,zorro,wra,lctrl,lctrl,0.033372677253282745
69,1,0.4267260224405618,pinguino,clavo,nr,rctrl,lctrl,0.03334334391638549
70,1,0.3707781296225221,martillo,clavo,sro,rctrl,lctrl,0.033376588366081705
71,1,0.3434788499662318,pincel,pato,nr,lctrl,lctrl,0.033384131223101576
72,1,0.42390247922594426,chancho,tornillo,nr,rctrl,lctrl,0.033669921735963726
73,0,0.3420792307406373,oso,olla,nr,lctrl,lctrl,0.033437769325246336
74,1,0.5395087923179744,lapiz,zorro,nr,lctrl,lctrl,0.03339139471609087
75,0,0.46887160239566583,media,olla,wro,lctrl,lctrl,0.033381337571881886
76,1,0.4865241252728083,bowl,caballo,nr,lctrl,lctrl,0.033470734409092984
77,1,0.43096175631217193,rinoceronte,tenedor,nr,rctrl,lctrl,0.03337658836517221
78,1,0.44579380898994714,regla,clavo,wro,rctrl,lctrl,0.03338329312737187
79,1,0.462452909518106,tijera,leon,nr,lctrl,lctrl,0.033383851859071
80,1,0.4195189612082686,mariposa,vaso,nr,rctrl,lctrl,0.033440004246585886
81,1,0.5183359896300317,candado,cebra,nr,lctrl,lctrl,0.03339390900237049
82,1,0.510871912490984,arana,caballo,wra,lctrl,lctrl,0.03338357249231194
83,1,0.38142892462565214,destornillador,tornillo,sro,rctrl,lctrl,0.03338860106487118
84,1,0.6527717908284103,llave,zapato,wro,rctrl,lctrl,0.033375191539562366
85,1,0.4481510918285494,cuchara,cigarrillo,wro,rctrl,lctrl,0.033362340745043184
86,1,0.5172040021843713,canguro,mesa,nr,rctrl,lctrl,0.033360664553583774
87,1,0.45532686416845536,pinza,mesa,wro,rctrl,lctrl,0.03337966138133197
88,1,0.3910882528371076,sarten,olla,sro,rctrl,lctrl,0.03340368678072991
89,1,0.41895240875601303,conejo,clavo,nr,rctrl,lctrl,0.03338720424017083
90,1,0.494691923136088,escritorio,leon,nr,lctrl,lctrl,0.033383851858161506
91,1,0.40053945403724356,escarabajo,leon,wra,lctrl,lctrl,0.0333874836051109
92,1,0.49860722521952994,pava,zorro,nr,lctrl,lctrl,0.03340843598925858
93,1,0.48733009362877056,cuchillo,tenedor,sro,rctrl,lctrl,0.03338804233499104
94,1,0.48888224620714027,camello,zapato,nr,rctrl,lctrl,0.03337100106273283
95,1,0.4515213525746731,avestruz,zapato,nr,rctrl,lctrl,0.03339251217676065
96,1,0.5339008170030866,copa,pato,nr,lctrl,lctrl,0.033384131223101576
97,1,0.42784264480542333,ardilla,vaso,nr,rctrl,lctrl,0.03340843598834908
98,1,0.4543113719755638,pipa,cigarrillo,sro,rctrl,lctrl,0.03340620106700953
99,1,0.48391597256068053,silla,mesa,sro,rctrl,lctrl,0.03338971852554096
100,1,0.6284790385370798,sobre,gato,nr,lctrl,lctrl,0.033378543920662196
101,1,0.4095903250272386,perro,gato,sra,lctrl,lctrl,0.03338580741365149
102,1,0.42740823205167544,tigre,leon,sra,lctrl,lctrl,0.03340620106791903
103,1,0.4715901043291524,hormiga,pato,wra,lctrl,lctrl,0.03340005503469001
104,1,0.4689241230380503,gallina,olla,nr,rctrl,lctrl,0.03337770582493249
105,1,0.3669013799235472,puerta,mono,nr,lctrl,lctrl,0.033379940747181536
106,1,0.5181513292891395,serrucho,caballo,nr,lctrl,lctrl,0.03340815662340901
107,1,0.7184594690106678,hacha,vaso,wro,rctrl,lctrl,0.033374912174622295
108,1,0.3880504365770321,botella,vaso,sro,rctrl,lctrl,0.03335787090327358
109,1,0.39343994837327045,ventana,cebra,nr,lctrl,lctrl,0.0333793820163919
110,1,0.4226414250970265,tuerca,gato,nr,lctrl,lctrl,0.0333947470981002
111,1,0.3785821941055474,zorrino,zorro,sra,lctrl,lctrl,0.033371280428582395
112,1,0.4291511910032568,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.0334028486859097
113,1,0.4333785439202984,ciervo,tenedor,nr,rctrl,lctrl,0.033372397888342675
114,0,0.3920995545522601,elefante,mesa,nr,lctrl,lctrl,0.03337183915755304
115,1,0.42086382487195806,sapo,cebra,wra,lctrl,lctrl,0.03341262646517862
116,1,0.8777663082873914,tortuga,tornillo,nr,rctrl,lctrl,0.033381337571881886
117,1,0.43486001712517464,sombrero,tenedor,wro,rctrl,lctrl,0.03338720423926134
118,1,0.3650061669850402,gallo,cigarrillo,nr,rctrl,lctrl,0.033377147095961845
119,0,0.4089553281210101,bota,zapato,sro,lctrl,lctrl,0.03340145186029986
120,1,0.5002973841646963,jirafa,cebra,sra,lctrl,lctrl,0.033378264555722126
121,1,0.6870334078776068,jarra,cabra,nr,lctrl,lctrl,0.033360105823703634
122,1,0.40662151195192564,taza,cabra,nr,lctrl,lctrl,0.03337547090541193
123,1,0.38590351567017933,aguila,mono,wra,lctrl,lctrl,0.03339530582798034
124,1,0.37648136844200053,cisne,pato,sra,lctrl,lctrl,0.03337379471395252
125,1,0.41613948141457513,abeja,gato,wra,lctrl,lctrl,0.0333830137624318
126,1,0.4113642935071766,raton,cabra,wra,lctrl,lctrl,0.03337435344383266
127,1,0.41875545635048184,burro,caballo,sra,lctrl,lctrl,0.033414023290788464
128,1,0.3773566193467559,cama,mono,nr,lctrl,lctrl,0.033380499477061676
129,1,0.4190853865502504,hormiga,pato,wra,lctrl,lctrl,0.03337267725419224
130,1,0.4379676746630139,pipa,cigarrillo,sro,rctrl,lctrl,0.03359980109235039
131,1,0.5132132715189073,ardilla,vaso,nr,rctrl,lctrl,0.03338022011121211
132,1,0.48549606165033765,mosca,zorro,wra,lctrl,lctrl,0.033370442331943195
133,1,0.3991364824305492,rinoceronte,tenedor,nr,rctrl,lctrl,0.03340173122523993
134,1,0.30281167019893473,ventana,cebra,nr,lctrl,lctrl,0.033359547092914
135,1,0.4038080258806076,lapiz,zorro,nr,lctrl,lctrl,0.03343637249963649
136,1,0.37541279687775386,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033377147095961845
137,1,0.5146114939188919,copa,pato,nr,lctrl,lctrl,0.03335787090327358
138,1,0.41181574753136374,gallina,olla,nr,rctrl,lctrl,0.03335926772797393
139,1,0.38073079120385955,sobre,gato,nr,lctrl,lctrl,0.033388601065780676
140,1,0.39681747261147393,martillo,clavo,sro,rctrl,lctrl,0.03343106456213718
141,1,0.36104560775220307,gallo,cigarrillo,nr,rctrl,lctrl,0.033380778842001746
142,1,0.4348379472812667,cama,mono,nr,lctrl,lctrl,0.03336513439535338
143,1,0.37974100060182536,escarabajo,leon,wra,lctrl,lctrl,0.03338748360420141
144,1,0.4306974769133376,arana,caballo,wra,lctrl,lctrl,0.03340675979779917
145,1,0.4332204232669028,llave,zapato,wro,rctrl,lctrl,0.03337658836517221
146,1,0.35343067345183954,jarra,cabra,nr,lctrl,lctrl,0.03336541376029345
147,1,0.46038393147773604,chancho,tornillo,nr,rctrl,lctrl,0.03339977566974994
148,0,0.42961605455457175,hacha,vaso,wro,lctrl,lctrl,0.03339418836822006
149,1,0.5022409272687582,canguro,mesa,nr,rctrl,lctrl,0.033386366144441126
150,1,0.4929403038659075,zorrino,zorro,sra,lctrl,lctrl,0.03335842963315372
151,1,0.4026022860443845,cuchara,cigarrillo,wro,rctrl,lctrl,0.03335004867949465
152,1,0.4488112315948456,media,olla,wro,rctrl,lctrl,0.03337072169779276
153,1,0.46878667540204333,aguila,mono,wra,lctrl,lctrl,0.033386366144441126
154,1,0.6085672899762358,avestruz,zapato,nr,rctrl,lctrl,0.03341569948133838
155,1,0.4304527530730411,serrucho,caballo,nr,lctrl,lctrl,0.0333360804233962
156,1,0.6134832779025601,bowl,caballo,nr,lctrl,lctrl,0.03338161693773145
157,1,0.45545537212092313,silla,mesa,sro,rctrl,lctrl,0.033420448688048054
158,1,0.5270826320111155,tijera,leon,nr,lctrl,lctrl,0.033378264555722126
159,1,0.3923507037907257,destornillador,tornillo,sro,rctrl,lctrl,0.03350090584171994
160,1,0.44568904707102774,botella,vaso,sro,rctrl,lctrl,0.03335815026821365
161,1,0.4844308424671908,puerta,mono,nr,lctrl,lctrl,0.033383851858161506
162,1,0.38978808759202366,ciervo,tenedor,nr,rctrl,lctrl,0.03337966138133197
163,1,0.3783452924881203,sombrero,tenedor,wro,rctrl,lctrl,0.03340759789261938
164,1,0.43954217645023164,tigre,leon,sra,lctrl,lctrl,0.033477159806352574
165,0,0.5060447626719906,camello,zapato,nr,lctrl,lctrl,0.033374353444742155
166,1,0.4933113007382417,candado,cebra,nr,lctrl,lctrl,0.03338692487432127
167,0,0.4480211870504718,perro,gato,sra,rctrl,lctrl,0.03337658836517221
168,1,0.5746518063051553,pava,zorro,nr,lctrl,lctrl,0.033367089950843365
169,1,0.5087442677768195,mariposa,vaso,nr,rctrl,lctrl,0.03338776297005097
170,1,0.44318593564275943,bota,zapato,sro,rctrl,lctrl,0.033352842329804844
171,1,0.5440825579789816,pinguino,clavo,nr,rctrl,lctrl,0.03337910265145183
172,1,0.5490801205178286,pincel,pato,nr,lctrl,lctrl,0.033362620109983254
173,1,0.48090413725731196,sapo,cebra,wra,lctrl,lctrl,0.033355077251144394
174,1,0.6259273175783164,cuchillo,tenedor,sro,rctrl,lctrl,0.033357032807543874
175,1,0.5864169887508979,oso,olla,nr,rctrl,lctrl,0.03336848677645321
176,1,0.5518572891251097,jirafa,cebra,sra,lctrl,lctrl,0.033357032807543874
177,1,0.5285032036199482,pinza,mesa,wro,rctrl,lctrl,0.03341206773529848
178,1,0.6182154435828124,peine,tornillo,wro,rctrl,lctrl,0.03339754074841039
179,1,0.5513971747805044,tuerca,gato,nr,lctrl,lctrl,0.033375191539562366
180,0,0.5182753674007472,raton,cabra,wra,rctrl,lctrl,0.03342827091091749
181,1,0.5204505041838274,abeja,gato,wra,lctrl,lctrl,0.03336708995175286
182,1,0.6214820598706865,escritorio,leon,nr,lctrl,lctrl,0.03337155979261297
183,1,0.5498156888652375,cisne,pato,sra,lctrl,lctrl,0.03340815662340901
184,1,0.44956914915110247,tortuga,tornillo,nr,rctrl,lctrl,0.0333874836051109
185,1,0.7499405650723929,gorila,mono,sra,lctrl,lctrl,0.03339809947920003
186,1,0.4994905777130043,sarten,olla,sro,rctrl,lctrl,0.03337267725419224
187,1,0.40419969577123993,burro,caballo,sra,lctrl,lctrl,0.033380778842001746
188,1,0.3566961722790438,oveja,cabra,sra,lctrl,lctrl,0.03341625821121852
189,1,0.43239266443106317,regla,clavo,wro,rctrl,lctrl,0.03339362963743042
190,1,0.5947744755267195,conejo,clavo,nr,rctrl,lctrl,0.033377985190782056
191,0,0.3344718392972936,elefante,mesa,nr,lctrl,lctrl,0.03339195344688051
192,1,0.4812262452351206,taza,cabra,nr,lctrl,lctrl,0.03330479153100896
193,1,0.4749050507816719,llave,zapato,wro,rctrl,lctrl,0.033375191539562366
194,1,0.465701087708112,peine,tornillo,wro,rctrl,lctrl,0.03340508360724925
195,1,0.4416346211601194,elefante,mesa,nr,rctrl,lctrl,0.03340145186029986
196,1,0.44230817045172444,bota,zapato,sro,rctrl,lctrl,0.03339167408103094
197,1,0.49154459575129295,regla,clavo,wro,rctrl,lctrl,0.03324361057002534
198,1,0.5392358526014505,tigre,leon,sra,lctrl,lctrl,0.033417096306948224
199,1,0.48409923607596284,ardilla,vaso,nr,rctrl,lctrl,0.03338860106487118
200,1,0.4264469366917183,conejo,clavo,nr,rctrl,lctrl,0.03337602963529207
201,1,0.491900786273618,gallo,cigarrillo,nr,rctrl,lctrl,0.0333640169355931
202,1,0.5224362314202153,media,olla,wro,rctrl,lctrl,0.03336234074413369
203,1,0.48087061344358517,tuerca,gato,nr,lctrl,lctrl,0.033357870902364084
204,1,0.6803250133743859,raton,cabra,wra,lctrl,lctrl,0.03337351534901245
205,1,0.7570520834351555,pincel,pato,nr,lctrl,lctrl,0.03334725502827496
206,1,0.3911902211038978,pinguino,clavo,nr,rctrl,lctrl,0.03337100106273283
207,1,0.5558245531210559,copa,pato,nr,lctrl,lctrl,0.03335507725205389
208,1,0.5088185788972623,escarabajo,leon,wra,lctrl,lctrl,0.03335842963315372
209,1,0.4023444320437193,burro,caballo,sra,lctrl,lctrl,0.03335284233071434
210,0,0.4408699988407534,sombrero,tenedor,wro,lctrl,lctrl,0.033261210573073186
211,1,0.43711924280887615,arana,caballo,wra,lctrl,lctrl,0.03340256932096963
212,1,0.8272786066390836,gorila,mono,sra,lctrl,lctrl,0.0333830137624318
213,1,0.4317464929199559,jirafa,cebra,sra,lctrl,lctrl,0.03340452487736911
214,1,0.4086267947468514,abeja,gato,wra,lctrl,lctrl,0.03337295661913231
215,1,0.38734895077504916,cama,mono,nr,lctrl,lctrl,0.033367089950843365
216,1,0.36364845252683153,destornillador,tornillo,sro,rctrl,lctrl,0.03335172487004456
217,1,0.4977199616150756,taza,cabra,nr,lctrl,lctrl,0.033412347099329054
218,1,0.3677252276474974,cisne,pato,sra,lctrl,lctrl,0.03334725502827496
219,0,0.3346727028156238,tortuga,tornillo,nr,lctrl,lctrl,0.03340145186029986
220,1,0.36040474417859514,zorrino,zorro,sra,lctrl,lctrl,0.033380778842001746
221,1,0.5468614027759031,candado,cebra,nr,lctrl,lctrl,0.03339390900237049
222,1,0.46807764674031205,lapiz,zorro,nr,lctrl,lctrl,0.03337239788925217
223,1,0.7888561255695095,aguila,mono,wra,lctrl,lctrl,0.033353959791384113
224,1,0.4376343920803265,pava,zorro,nr,lctrl,lctrl,0.0333911153511508
225,1,0.4039641909794227,ciervo,tenedor,nr,rctrl,lctrl,0.03348079155330197
226,1,0.396637840843141,martillo,clavo,sro,rctrl,lctrl,0.03340536297218932
227,1,0.4417458084753889,pinza,mesa,wro,rctrl,lctrl,0.03335284233071434
228,1,0.4765016224137071,cuchillo,tenedor,sro,rctrl,lctrl,0.033360105823703634
229,1,0.4996766348795063,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03339335027249035
230,1,0.5848187409292223,gallina,olla,nr,rctrl,lctrl,0.033357591537424014
231,0,0.4337280296795143,jarra,cabra,nr,rctrl,lctrl,0.033386645509381196
232,1,0.6693716659510756,avestruz,zapato,nr,rctrl,lctrl,0.03339446773316013
233,1,0.4785152861604729,perro,gato,sra,lctrl,lctrl,0.03337463280877273
234,1,0.511891595160705,bowl,caballo,nr,lctrl,lctrl,0.03337910265145183
235,1,0.5275293368285929,chancho,tornillo,nr,rctrl,lctrl,0.03339893757492973
236,1,0.461773214193272,pipa,cigarrillo,sro,rctrl,lctrl,0.033352562964864774
237,1,0.6608630426489981,mariposa,vaso,nr,rctrl,lctrl,0.03338022011121211
238,1,0.5029792892673868,puerta,mono,nr,lctrl,lctrl,0.03358275982009218
239,1,0.4515688446435888,sapo,cebra,wra,lctrl,lctrl,0.03336150264931348
240,1,0.4549282101497738,canguro,mesa,nr,rctrl,lctrl,0.0334028486859097
241,1,0.41723459266449936,hacha,vaso,wro,rctrl,lctrl,0.03338273439749173
242,1,0.4005570540393819,cuchara,cigarrillo,wro,rctrl,lctrl,0.033374912174622295
243,1,0.5395344939088318,camello,zapato,nr,rctrl,lctrl,0.033378543920662196
244,1,0.47345710139143193,sobre,gato,nr,lctrl,lctrl,0.033315128040158015
245,1,0.44199556088915415,silla,mesa,sro,rctrl,lctrl,0.03340228995602956
246,1,0.5378904302078809,oveja,cabra,sra,lctrl,lctrl,0.0333405502651658
247,1,0.4990229205104697,serrucho,caballo,nr,lctrl,lctrl,0.03338468995389121
248,1,0.65525841971521,sarten,olla,sro,rctrl,lctrl,0.03338468995389121
249,1,0.4754204794180623,ventana,cebra,nr,lctrl,lctrl,0.03342016932401748
250,1,0.5562813150836519,mosca,zorro,wra,lctrl,lctrl,0.033355635981024534
251,1,0.3478911425891056,escritorio,leon,nr,lctrl,lctrl,0.03344140107219573
252,1,0.4004053587814269,botella,vaso,sro,rctrl,lctrl,0.03334948994870501
253,1,0.4165342243213672,hormiga,pato,wra,lctrl,lctrl,0.03338748360420141
254,1,0.4581350423031836,rinoceronte,tenedor,nr,rctrl,lctrl,0.033363178839863394
255,1,0.47109395188454073,tijera,leon,nr,lctrl,lctrl,0.03333105185174645
256,1,0.5208036216899927,oso,olla,nr,rctrl,lctrl,0.033372677253282745

LIKERT preobjetiva,1

ETAPA DE VISIBILIDAD
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-19,0,0,mapache,violin,sro,,lctrl,0.10016999367326207
-18,0,0.9557706356526978,buho,carro,sro,lctrl,lctrl,0.10017390478333255
-17,0,0.2812773690511676,hilo,serpiente,sra,rctrl,lctrl,0.10016915557753236
-16,1,0.6199296279273767,violin,mapache,sra,lctrl,lctrl,0.10027699051170202
-15,0,0.457986978792178,mapache,violin,sro,lctrl,lctrl,0.10017949208668142
-14,1,0.502045930418717,serpiente,hilo,sro,rctrl,lctrl,0.10018284446778125
-13,0,0.7635408969581476,hilo,pavo,sra,rctrl,lctrl,0.10016245081442321
-12,0,1.174808809500064,hilo,pavo,sra,rctrl,lctrl,0.10017055240223272
-11,0,0.8858067156588731,hilo,pavo,sra,rctrl,lctrl,0.1001688762116828
-10,0,0.7647508272693813,serpiente,hilo,sro,lctrl,lctrl,0.100187873039431
-9,0,1.6194200659583657,violin,mapache,sra,rctrl,lctrl,0.033357032807543874
-8,0,1.3217562567315326,violin,mapache,sra,rctrl,lctrl,0.033384410588041646
-7,0,0.9133250175646026,mapache,violin,sro,lctrl,lctrl,0.033367089950843365
-6,0,1.042277160924641,serpiente,hilo,sro,lctrl,lctrl,0.03337100106273283
-5,1,1.2105505029267078,buho,carro,sro,rctrl,lctrl,0.03339167408194044
-4,0,1.1707328724742183,mapache,violin,sro,lctrl,lctrl,0.03340340741578984
-3,0,0.9054958102215096,mapache,violin,sro,lctrl,lctrl,0.03337072169779276
