Nombre,150
Apellido,9_25
Edad,21
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,No preferencia
Usar una cuchara,No preferencia
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,No preferencia
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.0932828054965285,mapache,violin,sro,rctrl,lctrl,0.03340005503469001
-8,1,0.810806960102127,pavo,rueda,sro,rctrl,lctrl,0.03337994074627204
-7,1,0.5393950907173348,hilo,serpiente,sra,lctrl,lctrl,0.0333911153520603
-6,1,0.5147578812393476,violin,mapache,sra,lctrl,lctrl,0.03339893757492973
-5,1,0.5596336964608781,buho,carro,sro,rctrl,lctrl,0.033375750270352
-4,1,0.5512292763469304,hilo,pavo,sra,lctrl,lctrl,0.033372118523402605
-3,1,0.5351979092320107,hilo,pavo,sra,lctrl,lctrl,0.03352241695574776
-2,1,0.5174381101505787,pavo,rueda,sro,rctrl,lctrl,0.033385528049620916
-1,1,0.5971493583683696,serpiente,hilo,sro,rctrl,lctrl,0.033380220112121606
0,1,0.5563229404851882,buho,carro,sro,rctrl,lctrl,0.033326582009976846
1,1,0.5169838624742624,zorrino,zorro,sra,lctrl,lctrl,0.03339055662127066
2,1,0.4813902325577146,tigre,leon,sra,lctrl,lctrl,0.03348218837800232
3,1,0.6250364222269127,tuerca,gato,nr,lctrl,lctrl,0.03339949630480987
4,1,0.6582822677182776,tijera,leon,nr,lctrl,lctrl,0.033377147095961845
5,1,0.6374301761816241,media,olla,wro,rctrl,lctrl,0.03344642964384548
6,1,0.6210082566358324,pincel,pato,nr,lctrl,lctrl,0.033383851858161506
7,1,0.742754735588278,destornillador,tornillo,sro,rctrl,lctrl,0.033368486777362705
8,1,0.7752535587624152,chancho,tornillo,nr,rctrl,lctrl,0.03338720423926134
9,1,0.646316780484085,escritorio,leon,nr,lctrl,lctrl,0.033327420104797056
10,1,0.7881417889702789,llave,zapato,wro,rctrl,lctrl,0.03339390900237049
11,1,0.45554448959319416,hormiga,pato,wra,lctrl,lctrl,0.03338468995389121
12,1,0.5699143326874037,hacha,vaso,wro,rctrl,lctrl,0.03339251217676065
13,1,0.622232434569014,silla,mesa,sro,rctrl,lctrl,0.03335563598193403
14,1,0.6591807059276107,candado,cebra,nr,lctrl,lctrl,0.03356320426155435
15,1,0.5235830252167943,jirafa,cebra,sra,lctrl,lctrl,0.03338580741365149
16,1,0.5967772440344561,canguro,mesa,nr,rctrl,lctrl,0.03334837248803524
17,1,0.5509032572572323,lapiz,zorro,nr,lctrl,lctrl,0.0333793820163919
18,1,1.1938718468409206,jarra,cabra,nr,lctrl,lctrl,0.03335144550510449
19,1,0.5738352220741945,ciervo,tenedor,nr,rctrl,lctrl,0.033363737569743535
20,1,0.6225003457138882,gallina,olla,nr,rctrl,lctrl,0.03341849313255807
21,1,0.5081369280178478,ventana,cebra,nr,lctrl,lctrl,0.03336150264931348
22,1,0.6094098551629941,peine,tornillo,wro,rctrl,lctrl,0.033371839158462535
23,1,0.6605697092791161,cama,mono,nr,lctrl,lctrl,0.03339893757402024
24,1,0.6066128516331446,taza,cabra,nr,lctrl,lctrl,0.03335898836303386
25,1,0.6872719856855838,camello,zapato,nr,rctrl,lctrl,0.03338133757279138
26,1,0.6553933530658469,abeja,gato,wra,lctrl,lctrl,0.033383572493221436
27,1,0.7211612090359267,puerta,mono,nr,lctrl,lctrl,0.03340340741578984
28,1,0.5040210417801063,raton,cabra,wra,lctrl,lctrl,0.033378823285602266
29,1,0.5457246661235331,sombrero,tenedor,wro,rctrl,lctrl,0.03336429630053317
30,1,0.8286444226851017,bota,zapato,sro,rctrl,lctrl,0.03340256932096963
31,1,0.5122896904495065,cisne,pato,sra,lctrl,lctrl,0.03337295661913231
32,1,0.6237706188912853,copa,pato,nr,lctrl,lctrl,0.033410112178899
33,1,0.5795091275567756,ardilla,vaso,nr,rctrl,lctrl,0.03340592170297896
34,1,0.5502213270119682,oso,olla,nr,rctrl,lctrl,0.033379661382241466
35,1,0.721570758294547,martillo,clavo,sro,rctrl,lctrl,0.033383013763341296
36,1,0.526904676432423,serrucho,caballo,nr,lctrl,lctrl,0.03337602963529207
37,1,0.853931156055296,cuchara,cigarrillo,wro,rctrl,lctrl,0.03340564233712939
38,1,0.5327682708275461,pinza,mesa,wro,rctrl,lctrl,0.03340675979779917
39,1,0.4543379116621509,tortuga,tornillo,nr,rctrl,lctrl,0.03341793440267793
40,1,0.549407257067287,gorila,mono,sra,lctrl,lctrl,0.03339027725633059
41,1,0.4942150468841646,bowl,caballo,nr,lctrl,lctrl,0.033326302645036776
42,1,0.47803366070274933,botella,vaso,sro,rctrl,lctrl,0.033358150267304154
43,1,0.45957293454921455,burro,caballo,sra,lctrl,lctrl,0.03340815662340901
44,1,0.5587807947658803,conejo,clavo,nr,rctrl,lctrl,0.03340424551151955
45,1,0.5098413345822337,sapo,cebra,wra,lctrl,lctrl,0.033410112178899
46,1,0.5503763746510231,pava,zorro,nr,lctrl,lctrl,0.033359547093823494
47,1,0.5248848666524282,pinguino,clavo,nr,rctrl,lctrl,0.03338496931792179
48,1,0.621971507552189,avestruz,zapato,nr,rctrl,lctrl,0.03335507725205389
49,0,0.48084351502802747,gallo,cigarrillo,nr,lctrl,lctrl,0.0333830137624318
50,1,0.9212503265080159,sobre,gato,nr,lctrl,lctrl,0.033295851846560254
51,1,0.4685033991754608,sarten,olla,sro,rctrl,lctrl,0.03340256932096963
52,1,0.5456020248384448,oveja,cabra,sra,lctrl,lctrl,0.03337910265145183
53,1,0.5505163365733097,mariposa,vaso,nr,rctrl,lctrl,0.033372118523402605
54,1,0.5140888017886027,perro,gato,sra,lctrl,lctrl,0.033369604237122985
55,1,0.5998647872838774,mosca,zorro,wra,lctrl,lctrl,0.033371559793522465
56,1,0.5857942839102179,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03339195344688051
57,1,0.45066649532236625,aguila,mono,wra,lctrl,lctrl,0.03336736931669293
58,1,0.5909580686929985,cuchillo,tenedor,sro,rctrl,lctrl,0.03338552804871142
59,1,0.4709458883735351,elefante,mesa,nr,rctrl,lctrl,0.033377426460901916
60,1,0.5249505174542719,regla,clavo,wro,rctrl,lctrl,0.033411509004508844
61,1,0.49398373256917694,rinoceronte,tenedor,nr,rctrl,lctrl,0.03338133757279138
62,1,0.5301173752532122,arana,caballo,wra,lctrl,lctrl,0.03335172487004456
63,1,0.5143075446740113,escarabajo,leon,wra,lctrl,lctrl,0.03337686773011228
64,1,0.5194204850058668,pipa,cigarrillo,sro,rctrl,lctrl,0.033385807414560986
65,1,0.6306835086579667,mariposa,vaso,nr,rctrl,lctrl,0.03338413122401107
66,1,0.4979068568773073,gorila,mono,sra,lctrl,lctrl,0.03331456930936838
67,1,0.5639582684398192,oso,olla,nr,rctrl,lctrl,0.03339055662127066
68,1,0.5262453747618565,sapo,cebra,wra,lctrl,lctrl,0.03338804233499104
69,1,0.9153163321034299,ardilla,vaso,nr,rctrl,lctrl,0.03339083598621073
70,1,0.5903733575069054,chancho,tornillo,nr,rctrl,lctrl,0.033408994718229224
71,1,0.4747441364752376,escritorio,leon,nr,lctrl,lctrl,0.033386645509381196
72,0,0.3904272749750817,perro,gato,sra,rctrl,lctrl,0.03339698201943975
73,1,0.5431324372229938,tigre,leon,sra,lctrl,lctrl,0.033386645509381196
74,1,0.5751325936671492,cama,mono,nr,lctrl,lctrl,0.03338748360420141
75,1,0.5573521215683286,elefante,mesa,nr,rctrl,lctrl,0.03340145186029986
76,1,0.44223665298250125,sarten,olla,sro,rctrl,lctrl,0.03335340106150397
77,1,0.4906718591328172,hormiga,pato,wra,lctrl,lctrl,0.03338189630267152
78,1,0.5018403176945867,jarra,cabra,nr,lctrl,lctrl,0.03337882328651176
79,1,0.43424597260309383,puerta,mono,nr,lctrl,lctrl,0.03341290583011869
80,1,0.426605616076813,martillo,clavo,sro,rctrl,lctrl,0.033360385188643704
81,1,0.5180144403830127,cuchara,cigarrillo,wro,rctrl,lctrl,0.03338468995389121
82,1,0.8768756923018373,cuchillo,tenedor,sro,rctrl,lctrl,0.03338441058895114
83,1,0.5879068429085237,avestruz,zapato,nr,rctrl,lctrl,0.03338496931883128
84,1,0.49817979659383127,tijera,leon,nr,lctrl,lctrl,0.033375750269442506
85,1,1.0135193160022027,copa,pato,nr,lctrl,lctrl,0.033019839113876515
86,1,0.5023909463352538,ciervo,tenedor,nr,rctrl,lctrl,0.03340452487645962
87,0,0.8593835250012489,serrucho,caballo,nr,rctrl,lctrl,0.03345983917006379
88,1,0.6542021402156024,hacha,vaso,wro,rctrl,lctrl,0.03336234074413369
89,1,0.617155811702105,canguro,mesa,nr,rctrl,lctrl,0.03334529947187548
90,1,0.5799449371361334,tortuga,tornillo,nr,rctrl,lctrl,0.033300880419119494
91,1,0.5091644329095288,silla,mesa,sro,rctrl,lctrl,0.03339977566974994
92,1,0.5522863939413583,bota,zapato,sro,rctrl,lctrl,0.03334278518650535
93,1,0.5689030309722511,abeja,gato,wra,lctrl,lctrl,0.03340173122523993
94,1,0.5114851189182446,peine,tornillo,wro,rctrl,lctrl,0.033386366144441126
95,1,0.5396395351926913,candado,cebra,nr,lctrl,lctrl,0.033359547092914
96,1,0.5334711534569578,media,olla,wro,rctrl,lctrl,0.0333830137624318
97,1,0.5335194836216033,ventana,cebra,nr,lctrl,lctrl,0.033383851858161506
98,1,0.5729655584718785,pinguino,clavo,nr,rctrl,lctrl,0.03337044233285269
99,1,0.7755197937167395,camello,zapato,nr,rctrl,lctrl,0.03338273439749173
100,1,0.6863246585808156,gallo,cigarrillo,nr,rctrl,lctrl,0.03337966138133197
101,1,0.7059930801260634,gallina,olla,nr,rctrl,lctrl,0.033380499477061676
102,1,0.5463294915971346,oveja,cabra,sra,lctrl,lctrl,0.03338664551029069
103,1,0.582016708827723,botella,vaso,sro,rctrl,lctrl,0.033240258189835004
104,1,0.8298532355374846,regla,clavo,wro,rctrl,lctrl,0.033371839158462535
105,1,0.6465911170280378,pincel,pato,nr,lctrl,lctrl,0.03336513439535338
106,1,0.6165719386126511,burro,caballo,sra,lctrl,lctrl,0.03351822647800873
107,1,0.6436759420539602,zorrino,zorro,sra,lctrl,lctrl,0.03335926772797393
108,1,0.6638360462011406,aguila,mono,wra,lctrl,lctrl,0.033383572493221436
109,1,0.5740436284495445,cisne,pato,sra,lctrl,lctrl,0.03335647407675424
110,1,0.6451736184344554,sombrero,tenedor,wro,rctrl,lctrl,0.03336206137919362
111,1,0.6137436461895049,arana,caballo,wra,lctrl,lctrl,0.03334557883772504
112,1,0.5711049868068585,mosca,zorro,wra,lctrl,lctrl,0.03338804233499104
113,1,0.5269647399318274,raton,cabra,wra,lctrl,lctrl,0.03339446773316013
114,1,0.5389704557428558,sobre,gato,nr,lctrl,lctrl,0.03340787725755945
115,1,0.5626569857340655,destornillador,tornillo,sro,rctrl,lctrl,0.03337323598407238
116,1,0.5835861820423816,pinza,mesa,wro,rctrl,lctrl,0.03339865820908017
117,1,0.4459016439241168,escarabajo,leon,wra,lctrl,lctrl,0.033358150267304154
118,1,0.5476218346193491,bowl,caballo,nr,lctrl,lctrl,0.03337239788925217
119,1,0.6663687703330652,pipa,cigarrillo,sro,rctrl,lctrl,0.033383013763341296
120,1,0.8381528937343319,llave,zapato,wro,rctrl,lctrl,0.033371280428582395
121,1,0.595980215362033,taza,cabra,nr,lctrl,lctrl,0.033386366144441126
122,1,0.6369812364428071,pava,zorro,nr,lctrl,lctrl,0.03338217566761159
123,1,0.7716810376741705,conejo,clavo,nr,rctrl,lctrl,0.03336234074413369
124,1,0.7060104007632617,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03339530582798034
125,1,0.5731834632615573,jirafa,cebra,sra,lctrl,lctrl,0.03339698201853025
126,1,0.6901519606544753,tuerca,gato,nr,lctrl,lctrl,0.033388880430720747
127,1,0.5968811678585553,lapiz,zorro,nr,lctrl,lctrl,0.03339446773225063
128,1,0.5436847420551203,rinoceronte,tenedor,nr,rctrl,lctrl,0.03341178837035841
129,1,0.5304459086282804,tijera,leon,nr,lctrl,lctrl,0.03347213123470283
130,1,0.5429346467217329,silla,mesa,sro,rctrl,lctrl,0.033413185195968254
131,1,0.4703382692487139,conejo,clavo,nr,rctrl,lctrl,0.0333874836051109
132,1,0.5510714350566559,elefante,mesa,nr,rctrl,lctrl,0.033386086779501056
133,1,0.4623783190318136,candado,cebra,nr,lctrl,lctrl,0.03337072169779276
134,1,0.4565029913019316,taza,cabra,nr,lctrl,lctrl,0.033354797886204324
135,1,0.49418962465824734,botella,vaso,sro,rctrl,lctrl,0.033386366144441126
136,1,0.4581590677025815,jirafa,cebra,sra,lctrl,lctrl,0.03385486144179595
137,1,0.5450019485715529,pincel,pato,nr,lctrl,lctrl,0.03353415029050666
138,1,0.4707548026353834,martillo,clavo,sro,rctrl,lctrl,0.033419889958167914
139,1,0.48509880445635645,escarabajo,leon,wra,lctrl,lctrl,0.03340815662340901
140,1,0.47165379957459663,gorila,mono,sra,lctrl,lctrl,0.03337686773011228
141,1,0.48685712848964613,pinza,mesa,wro,rctrl,lctrl,0.03340536297218932
142,1,0.4774495082474459,escritorio,leon,nr,lctrl,lctrl,0.03340340741669934
143,1,1.630078124454485,hacha,vaso,wro,rctrl,lctrl,0.033374074079802085
144,1,0.5854020552897055,regla,clavo,wro,rctrl,lctrl,0.03338664551029069
145,1,0.5214950503486762,gallina,olla,nr,rctrl,lctrl,0.033357312172483944
146,1,0.5243954189709257,peine,tornillo,wro,rctrl,lctrl,0.03340396614657948
147,1,0.5183401801068612,ardilla,vaso,nr,rctrl,lctrl,0.033360943918523844
148,1,0.5209134121787429,gallo,cigarrillo,nr,rctrl,lctrl,0.033367648681633
149,1,0.5777787400356829,camello,zapato,nr,rctrl,lctrl,0.03333747724991554
150,1,0.5169143005605292,cuchara,cigarrillo,wro,rctrl,lctrl,0.03335312169565441
151,1,0.5089959757451652,sombrero,tenedor,wro,rctrl,lctrl,0.03340089313041972
152,1,0.6637357541258098,mosca,zorro,wra,lctrl,lctrl,0.033357870902364084
153,1,0.5854037314802554,abeja,gato,wra,lctrl,lctrl,0.033380778842001746
154,1,0.7771613431314108,arana,caballo,wra,lctrl,lctrl,0.03337630900023214
155,1,0.609840356805762,pipa,cigarrillo,sro,rctrl,lctrl,0.03335312169565441
156,1,0.768371957888121,jarra,cabra,nr,lctrl,lctrl,0.033386366144441126
157,1,0.744718672345698,hormiga,pato,wra,lctrl,lctrl,0.03335088677522435
158,1,0.5623731507776029,zorrino,zorro,sra,lctrl,lctrl,0.033384131223101576
159,1,0.5415244116229587,ciervo,tenedor,nr,rctrl,lctrl,0.03339949630480987
160,1,0.625755787397793,sobre,gato,nr,lctrl,lctrl,0.03340061376547965
