Nombre,150
Apellido,9_29
Edad,19
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,No preferencia
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.5907915670841248,serpiente,hilo,sro,rctrl,lctrl,0.03335815026821365
-8,1,0.6321602326552238,mapache,violin,sro,rctrl,lctrl,0.033383851858161506
-7,1,0.5620278554952165,hilo,serpiente,sra,lctrl,lctrl,0.033356753442603804
-6,1,0.4233839775724846,hilo,pavo,sra,lctrl,lctrl,0.03340508360724925
-5,1,0.4234649934551271,mapache,violin,sro,rctrl,lctrl,0.033366810585903295
-4,1,0.4064793151082995,carro,buho,sra,lctrl,lctrl,0.03335815026821365
-3,1,0.5237995331808634,violin,mapache,sra,lctrl,lctrl,0.033382734398401226
-2,1,0.4111651061803059,pavo,rueda,sro,rctrl,lctrl,0.03338468995389121
-1,1,0.41783858004328067,serpiente,hilo,sro,rctrl,lctrl,0.033366251856023155
0,1,0.5214305170065927,carro,buho,sra,lctrl,lctrl,0.03338804233499104
1,1,0.7763173811199522,botella,vaso,sro,rctrl,lctrl,0.03338189630267152
2,1,0.3967808757824969,lapiz,zorro,nr,lctrl,lctrl,0.033386086779501056
3,1,0.49477265965379047,rinoceronte,tenedor,nr,rctrl,lctrl,0.0333947470971907
4,1,0.5559469150402947,bota,zapato,sro,rctrl,lctrl,0.03339055662127066
5,1,0.38527466479717987,perro,gato,sra,lctrl,lctrl,0.03336206137919362
6,1,0.5342670646687111,martillo,clavo,sro,rctrl,lctrl,0.03338022011121211
7,1,0.42032828194624017,taza,cabra,nr,lctrl,lctrl,0.03340089312951022
