Nombre,150
Apellido,9_30
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.5080399883227074,buho,carro,sro,rctrl,lctrl,0.03339446773225063
-8,1,0.523346961695097,hilo,pavo,sra,lctrl,lctrl,0.03339586455876997
-7,1,0.5189536658990619,pavo,rueda,sro,rctrl,lctrl,0.03338161693773145
-6,1,0.8103122044849442,mapache,violin,sro,rctrl,lctrl,0.03339279154170072
-5,1,0.7585397026714418,buho,carro,sro,rctrl,lctrl,0.03335703280663438
-4,1,0.7888376874716414,hilo,pavo,sra,lctrl,lctrl,0.03348917250696104
-3,1,1.1429092244961794,buho,carro,sro,rctrl,lctrl,0.033500067745990236
-2,1,0.5648254177549461,mapache,violin,sro,rctrl,lctrl,0.033369045507242845
-1,1,0.6304762197432865,serpiente,hilo,sro,rctrl,lctrl,0.03335004867949465
0,1,0.4566130611574408,buho,carro,sro,rctrl,lctrl,0.033357591537424014
1,1,0.5706546502415222,elefante,mesa,nr,rctrl,lctrl,0.03369478523109137
2,1,0.35430564499074535,lapiz,zorro,nr,lctrl,lctrl,0.03335088677522435
3,1,0.4520267240668545,hacha,vaso,wro,rctrl,lctrl,0.03336206137919362
4,1,0.6083225661359393,tuerca,gato,nr,lctrl,lctrl,0.03337882328651176
5,0,0.38790181433705584,pincel,pato,nr,rctrl,lctrl,0.03339977567065944
6,1,0.5104827568866313,pava,zorro,nr,lctrl,lctrl,0.033369324872182915
7,1,0.593061688007765,sarten,olla,sro,rctrl,lctrl,0.03338943916060089
8,1,0.5553744959206597,burro,caballo,sra,lctrl,lctrl,0.03337714709505235
9,1,0.5510563493407972,silla,mesa,sro,rctrl,lctrl,0.03339782011335046
10,1,0.5495391174017641,cisne,pato,sra,lctrl,lctrl,0.033355915345964604
11,1,0.5992010157715413,rinoceronte,tenedor,nr,rctrl,lctrl,0.033586391567041574
12,1,0.5081061978544312,hormiga,pato,wra,lctrl,lctrl,0.03345508996244462
13,1,0.6569605913600753,gallina,olla,nr,rctrl,lctrl,0.03353526775026694
14,0,0.6204939454592022,cuchillo,tenedor,sro,lctrl,lctrl,0.033381337571881886
15,1,0.9304537308516956,regla,clavo,wro,rctrl,lctrl,0.03351962330452807
16,1,0.5685046563185097,gorila,mono,sra,lctrl,lctrl,0.03339865820998966
17,1,0.5079299184671981,raton,cabra,wra,lctrl,lctrl,0.03338189630267152
18,1,0.6093573345215191,tigre,leon,sra,lctrl,lctrl,0.0333830137624318
19,1,1.0841464487812118,destornillador,tornillo,sro,rctrl,lctrl,0.0332774137486922
20,1,0.45877842016307113,martillo,clavo,sro,rctrl,lctrl,0.033383572493221436
21,1,0.5425929831862959,ciervo,tenedor,nr,rctrl,lctrl,0.03335004867949465
22,1,1.53541329973541,chancho,tornillo,nr,rctrl,lctrl,0.03338496931883128
23,1,0.6062756579394772,media,olla,wro,rctrl,lctrl,0.033359547092914
24,1,0.4205584788014676,ardilla,vaso,nr,rctrl,lctrl,0.033372397888342675
25,1,0.5595884393123924,bowl,caballo,nr,lctrl,lctrl,0.03324361057002534
26,1,0.7204267581491877,sombrero,tenedor,wro,rctrl,lctrl,0.03334334391638549
27,1,0.6336769058643767,pinza,mesa,wro,rctrl,lctrl,0.0333793820163919
28,1,1.4269003462732144,gallo,cigarrillo,nr,rctrl,lctrl,0.033374632809682225
29,1,0.46701745612972445,botella,vaso,sro,rctrl,lctrl,0.033429667736527335
30,1,0.5506529461144964,mosca,zorro,wra,lctrl,lctrl,0.0334028486859097
31,1,0.8563169341350658,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03338720423926134
32,1,0.5186039007749059,perro,gato,sra,lctrl,lctrl,0.033362620109983254
33,1,0.5473514091872858,escarabajo,leon,wra,lctrl,lctrl,0.03337994074627204
34,1,0.5153018051178151,abeja,gato,wra,lctrl,lctrl,0.03337323598407238
35,1,0.7961333074463255,camello,zapato,nr,rctrl,lctrl,0.03337519154047186
36,1,0.5353504425847859,avestruz,zapato,nr,rctrl,lctrl,0.03340592170206946
37,1,0.5424502276127896,cama,mono,nr,lctrl,lctrl,0.0333793820163919
38,1,0.4743242507074683,peine,tornillo,wro,rctrl,lctrl,0.033388880430720747
39,1,0.38847143980638066,conejo,clavo,nr,rctrl,lctrl,0.033383851858161506
40,1,0.5636875636428158,sapo,cebra,wra,lctrl,lctrl,0.03338524868377135
41,1,0.6896655859891325,candado,cebra,nr,lctrl,lctrl,0.03339558519292041
42,1,0.524953031739642,pipa,cigarrillo,sro,rctrl,lctrl,0.03334837248894473
43,1,0.5723118441028419,cuchara,cigarrillo,wro,rctrl,lctrl,0.03340173122614942
44,1,0.8728017108323911,oso,olla,nr,rctrl,lctrl,0.03338468995389121
45,1,0.5710815201373407,sobre,gato,nr,lctrl,lctrl,0.03339167408103094
46,1,0.5265289303524696,zorrino,zorro,sra,lctrl,lctrl,0.03337044233285269
47,1,0.5914380179601721,ventana,cebra,nr,lctrl,lctrl,0.0333793820163919
48,1,0.5170338688294578,oveja,cabra,sra,lctrl,lctrl,0.033369883602063055
49,1,0.47281148861111433,arana,caballo,wra,lctrl,lctrl,0.03339139471700037
50,1,0.8237689427005535,mariposa,vaso,nr,rctrl,lctrl,0.03337519154047186
51,1,1.2913942973200392,copa,pato,nr,lctrl,lctrl,0.03338999789048103
52,1,0.78958023994619,tijera,leon,nr,lctrl,lctrl,0.03337463280877273
53,1,0.7090188836855305,bota,zapato,sro,rctrl,lctrl,0.03334893121882487
54,1,1.5581533407175812,jarra,cabra,nr,lctrl,lctrl,0.03337882328651176
55,1,0.5851668298628283,jirafa,cebra,sra,lctrl,lctrl,0.03343693122951663
56,1,0.9692938627676995,puerta,mono,nr,lctrl,lctrl,0.03335032804443472
57,1,0.5423703291899074,tortuga,tornillo,nr,rctrl,lctrl,0.03334138836089551
58,1,0.5461291868105036,pinguino,clavo,nr,rctrl,lctrl,0.03338329312737187
59,1,0.5263191271515097,llave,zapato,wro,rctrl,lctrl,0.03338552804871142
60,1,0.7151358622395492,taza,cabra,nr,lctrl,lctrl,0.03327378200356179
61,1,0.5171992529776617,serrucho,caballo,nr,lctrl,lctrl,0.03334893121882487
62,1,0.5487169458683638,aguila,mono,wra,lctrl,lctrl,0.03338720423926134
