Nombre,150
Apellido,9_33
Edad,33
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,Si
Trabaja?,No
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,1.5314848674901214,pavo,rueda,sro,rctrl,rctrl,0.033398378844253784
-8,0,0,mapache,violin,sro,,rctrl,0.03341793440222318
-7,1,1.4237843077821708,carro,buho,sra,rctrl,rctrl,0.03337463280945485
-6,1,1.3639258620858072,serpiente,hilo,sro,lctrl,rctrl,0.03334250582122422
-5,1,1.138308639785123,hilo,serpiente,sra,rctrl,rctrl,0.033374912174622295
-4,0,0,serpiente,hilo,sro,,rctrl,0.03338329312805399
-3,0,0.6109969283805867,buho,carro,sro,rctrl,rctrl,0.033367928046800444
-2,1,1.1389226843076585,hilo,pavo,sra,rctrl,rctrl,0.0333777058257283
-1,1,0.7050510609587946,carro,buho,sra,rctrl,rctrl,0.033388321700158485
0,1,0.7196199516978368,hilo,pavo,sra,rctrl,rctrl,0.0333799407466131
1,0,0.836541515751378,gallo,cigarrillo,nr,rctrl,rctrl,0.033363458204803464
2,1,0.5394152050051844,cisne,pato,sra,rctrl,rctrl,0.03337128042812765
3,1,0.7502285905052304,raton,cabra,wra,rctrl,rctrl,0.033361502649086106
4,1,0.7339985947934338,cuchara,cigarrillo,wro,lctrl,rctrl,0.03338133757222295
5,1,0.6268810700801168,botella,vaso,sro,lctrl,rctrl,0.033410112179012685
6,1,0.4772885939413527,arana,caballo,wra,rctrl,rctrl,0.033374912174622295
7,1,0.5065428706722059,destornillador,tornillo,sro,lctrl,rctrl,0.033387762969937285
8,1,0.5175892466779715,escarabajo,leon,wra,rctrl,rctrl,0.03340396614646579
9,1,0.46851736743087713,peine,tornillo,wro,lctrl,rctrl,0.03341849313255807
10,1,0.47208122820086373,sobre,gato,nr,rctrl,rctrl,0.033346416932886314
11,1,0.4934942848881292,sombrero,tenedor,wro,lctrl,rctrl,0.03339502646292658
12,1,0.5440769706764286,copa,pato,nr,rctrl,rctrl,0.03342910900687457
13,0,0.518638262684135,pava,zorro,nr,lctrl,rctrl,0.033380220111780545
14,1,0.5611827760232018,silla,mesa,sro,lctrl,rctrl,0.03337575026989725
15,1,0.5642563510166383,gorila,mono,sra,rctrl,rctrl,0.033373794714179894
16,0,0,mariposa,vaso,nr,,rctrl,0.03340592170229684
17,1,0.5848092425154618,tigre,leon,sra,rctrl,rctrl,0.03336708995129811
18,1,0.4692244405364363,abeja,gato,wra,rctrl,rctrl,0.03338217566761159
19,1,0.44439586595501623,lapiz,zorro,nr,rctrl,rctrl,0.03335172487015825
20,1,0.35612459125388796,cuchillo,tenedor,sro,lctrl,rctrl,0.03339111535126449
21,1,0.35995971555041706,serrucho,caballo,nr,rctrl,rctrl,0.03340871535351653
22,1,0.4266670764021683,jirafa,cebra,sra,rctrl,rctrl,0.03335116613982336
23,1,0.4346287028099596,tuerca,gato,nr,rctrl,rctrl,0.033394188367537936
24,1,0.4744035904004704,tijera,leon,nr,rctrl,rctrl,0.03331848042137153
25,1,0.4621411380496738,tortuga,tornillo,nr,lctrl,rctrl,0.03336234074447475
26,1,0.5191481040188819,regla,clavo,wro,lctrl,rctrl,0.03338357249310775
27,1,0.4217312535531619,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03341095027451502
28,1,0.487819261945333,perro,gato,sra,rctrl,rctrl,0.03357102648521959
29,1,0.5065216389234592,rinoceronte,tenedor,nr,lctrl,rctrl,0.033383013763000235
30,1,0.47033882797950355,bowl,caballo,nr,rctrl,rctrl,0.03337239788857005
31,1,0.4456482597648801,puerta,mono,nr,rctrl,rctrl,0.03340899471868397
32,1,0.4704729232346381,sarten,olla,sro,lctrl,rctrl,0.033410670909233886
33,1,0.7115887633763123,avestruz,zapato,nr,lctrl,rctrl,0.033251712158971714
34,1,0.40386306080802115,sapo,cebra,wra,rctrl,rctrl,0.03334837248871736
35,0,0.37206516470666884,candado,cebra,nr,lctrl,rctrl,0.033356194711927856
36,1,0.4900762527081497,llave,zapato,wro,lctrl,rctrl,0.03336373756997091
37,1,0.49395020875556384,mosca,zorro,wra,rctrl,rctrl,0.033404245511633235
38,1,0.4150228590505094,ventana,cebra,nr,rctrl,rctrl,0.03339865820930754
39,1,0.5071113786807473,conejo,clavo,nr,lctrl,rctrl,0.03339809947920003
40,1,0.4342560297467344,oveja,cabra,sra,rctrl,rctrl,0.03331512804004433
41,1,0.4246726888472949,martillo,clavo,sro,lctrl,rctrl,0.03339279154192809
42,1,0.5466524376701045,ardilla,vaso,nr,lctrl,rctrl,0.033393070907095534
43,1,0.4862539792068219,cama,mono,nr,rctrl,rctrl,0.03336262010952851
44,1,0.5118346046774604,oso,olla,nr,lctrl,rctrl,0.03336485503041331
45,1,0.4652434876499001,hacha,vaso,wro,lctrl,rctrl,0.0333799407466131
46,1,0.5121564332896469,taza,cabra,nr,rctrl,rctrl,0.033362061379307306
47,1,0.40216954948186867,pinza,mesa,wro,lctrl,rctrl,0.03338301376288655
48,1,0.3580957915041836,burro,caballo,sra,rctrl,rctrl,0.03321818834513124
49,1,0.5103081536899481,canguro,mesa,nr,lctrl,rctrl,0.03335898836303386
50,1,0.5590375313063305,pincel,pato,nr,rctrl,rctrl,0.03341095027440133
51,1,0.5324104041155806,chancho,tornillo,nr,lctrl,rctrl,0.0333771470955071
52,1,0.5043224767393895,pinguino,clavo,nr,lctrl,rctrl,0.03338245503266535
53,0,0.4679421546593403,camello,zapato,nr,rctrl,rctrl,0.03336234074447475
