Nombre,150_
Apellido,9_06
Edad,19
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,7
Dibujar,Preferencia moderada de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.8882092556455063,carro,buho,sra,rctrl,rctrl,0.03338832170038586
-8,1,0.9198965231616967,hilo,serpiente,sra,rctrl,rctrl,0.033408156622954266
-7,1,0.7213179328655315,violin,mapache,sra,rctrl,rctrl,0.033440562976920774
-6,1,0.5050119498428103,carro,buho,sra,rctrl,rctrl,0.03340899471868397
-5,1,0.45682705483523023,carro,buho,sra,rctrl,rctrl,0.0333581502677589
-4,1,0.5130478873711581,serpiente,hilo,sro,lctrl,rctrl,0.033380499477061676
-3,0,1.1477106727252249,mapache,violin,sro,rctrl,rctrl,0.03340480424230918
-2,1,0.5298438768058986,carro,buho,sra,rctrl,rctrl,0.0333148486747632
-1,1,0.3946093707440923,carro,buho,sra,rctrl,rctrl,0.03337966138133197
0,1,0.47527744447961595,pavo,rueda,sro,lctrl,rctrl,0.03342827091137224
1,1,0.8228869870331437,ardilla,vaso,nr,lctrl,rctrl,0.03338636614398638
2,1,0.4694929104116454,media,olla,wro,lctrl,rctrl,0.03334110899550069
3,1,0.4711953614214508,cuchillo,tenedor,sro,lctrl,rctrl,0.03338022011166686
4,1,0.44929872372040336,escarabajo,leon,wra,rctrl,rctrl,0.03338301376288655
5,1,0.5377205762183621,elefante,mesa,nr,lctrl,rctrl,0.033631648715072515
6,1,0.5314820738390154,perro,gato,sra,rctrl,rctrl,0.033371559793522465
7,1,0.4523203368025861,lapiz,zorro,nr,rctrl,rctrl,0.03340201059108949
8,1,0.36313358262032125,jirafa,cebra,sra,rctrl,rctrl,0.033366251856023155
9,1,0.4714657868530594,tuerca,gato,nr,rctrl,rctrl,0.033350607409829536
10,1,0.4711724534822679,hormiga,pato,wra,rctrl,rctrl,0.033327140740311734
11,1,0.3337499598414979,sobre,gato,nr,rctrl,rctrl,0.03340675979779917
12,1,0.4486796506257633,cuchara,cigarrillo,wro,lctrl,rctrl,0.03337994074672679
13,1,0.4759887080617773,mariposa,vaso,nr,lctrl,rctrl,0.03339195344642576
14,1,0.542249643460309,zorrino,zorro,sra,rctrl,rctrl,0.033357870902364084
15,1,0.4316327913184068,sarten,olla,sro,lctrl,rctrl,0.033208131200808566
16,1,0.6870842523285319,camello,zapato,nr,lctrl,rctrl,0.03337575026989725
17,1,0.48962731296887796,raton,cabra,wra,rctrl,rctrl,0.033393070907095534
18,1,0.40532302289830113,silla,mesa,sro,lctrl,rctrl,0.033384131223556324
19,1,0.4921334974137608,abeja,gato,wra,rctrl,rctrl,0.03338804233499104
20,1,0.4861986649143546,cama,mono,nr,rctrl,rctrl,0.03340703916273924
21,1,0.5126738174826642,ciervo,tenedor,nr,lctrl,rctrl,0.03342463916487759
22,1,0.5775421177831959,avestruz,zapato,nr,lctrl,rctrl,0.03333412486790621
23,1,0.45097938425124084,peine,tornillo,wro,lctrl,rctrl,0.03357130585027335
24,1,0.5819773183466168,copa,pato,nr,rctrl,rctrl,0.03340312805084977
25,1,0.5923800371278958,pinza,mesa,wro,lctrl,rctrl,0.03339167408148569
26,1,0.4821749691650439,gorila,mono,sra,rctrl,rctrl,0.033383851858161506
27,1,0.43936952880903846,candado,cebra,nr,rctrl,rctrl,0.033383293128281366
28,1,0.41240185554306663,ventana,cebra,nr,rctrl,rctrl,0.03340368678163941
29,1,0.466333011597726,pinguino,clavo,nr,lctrl,rctrl,0.033359547092914
30,1,0.5044543370736392,taza,cabra,nr,rctrl,rctrl,0.03368863919877185
31,1,0.6406663416719311,tijera,leon,nr,rctrl,rctrl,0.03338245503255166
32,1,0.5283576543943127,bota,zapato,sro,lctrl,rctrl,0.033395864558315225
33,1,0.3572655183829738,burro,caballo,sra,rctrl,rctrl,0.033381058206941816
34,1,0.5252150762175916,conejo,clavo,nr,lctrl,rctrl,0.03333580105845613
35,0,0.3095010678730432,regla,clavo,wro,rctrl,rctrl,0.03333580105845613
36,0,0.4850627663568048,jarra,cabra,nr,lctrl,rctrl,0.03338943916060089
37,1,0.5430371737193127,rinoceronte,tenedor,nr,lctrl,rctrl,0.033380499477061676
38,0,0.4973159996588947,botella,vaso,sro,rctrl,rctrl,0.03338999789048103
39,1,0.6488766030315674,llave,zapato,wro,lctrl,rctrl,0.033354239155869436
40,1,0.5077804581305827,gallina,olla,nr,lctrl,rctrl,0.03337351534901245
41,1,0.41502816698766765,sombrero,tenedor,wro,lctrl,rctrl,0.03338552804871142
42,1,0.6272286002831606,bowl,caballo,nr,rctrl,rctrl,0.033374912174622295
43,1,0.5717785360989183,martillo,clavo,sro,lctrl,rctrl,0.033404804241854436
44,1,0.5853310965499077,oso,olla,nr,lctrl,rctrl,0.03333300740723644
45,1,0.5537488703175768,sapo,cebra,wra,rctrl,rctrl,0.033386645509381196
46,1,0.469942129516312,oveja,cabra,sra,rctrl,rctrl,0.03335368042553455
47,1,0.4635410366404358,arana,caballo,wra,rctrl,rctrl,0.03340117249535979
48,1,0.4512562350805638,tigre,leon,sra,rctrl,rctrl,0.03329305819579531
49,1,0.44744653300904247,pava,zorro,nr,rctrl,rctrl,0.03336234074458844
50,1,0.5027532828894437,tortuga,tornillo,nr,lctrl,rctrl,0.03339418836731056
51,1,0.6522675367955344,gallo,cigarrillo,nr,lctrl,rctrl,0.03337183915800779
52,1,0.5504562730739053,canguro,mesa,nr,lctrl,rctrl,0.03318941373845519
53,1,0.6460234471137483,cisne,pato,sra,rctrl,rctrl,0.03337686773011228
54,1,0.46345191916816475,aguila,mono,wra,rctrl,rctrl,0.03335535661653921
55,1,0.6397033701214241,pipa,cigarrillo,sro,lctrl,rctrl,0.03337575026989725
56,1,0.5939794024102412,pincel,pato,nr,rctrl,rctrl,0.03335004867949465
57,1,0.4749075650679515,chancho,tornillo,nr,lctrl,rctrl,0.033355077251144394
58,1,0.5393224557869871,destornillador,tornillo,sro,lctrl,rctrl,0.033411509004508844
59,1,0.5254117492586374,puerta,mono,nr,rctrl,rctrl,0.0333486518538848
60,1,0.5964984376505527,mosca,zorro,wra,rctrl,rctrl,0.033360385188643704
61,1,0.4753958952883295,escritorio,leon,nr,rctrl,rctrl,0.03338245503300641
62,1,0.5811794515784641,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03340564233712939
63,1,0.7136088525217019,serrucho,caballo,nr,rctrl,rctrl,0.03338189630267152
64,1,0.5852944997200211,hacha,vaso,wro,lctrl,rctrl,0.033404804241854436
65,1,1.6222723837804551,serrucho,caballo,nr,rctrl,rctrl,0.033358150267304154
66,1,0.47132805985120285,sobre,gato,nr,rctrl,rctrl,0.03335004867949465
67,1,0.41835596423561583,peine,tornillo,wro,lctrl,rctrl,0.033357312172483944
68,1,0.4943728881739844,ciervo,tenedor,nr,lctrl,rctrl,0.033404524876914365
69,1,0.41550280831779673,perro,gato,sra,rctrl,rctrl,0.033366531220963225
70,1,0.507033156448415,oveja,cabra,sra,rctrl,rctrl,0.033353401061049226
71,1,0.3911301576040387,taza,cabra,nr,rctrl,rctrl,0.033360385188643704
72,1,0.45296008291552425,escritorio,leon,nr,rctrl,rctrl,0.033377705825841986
73,1,0.48074964834904677,pipa,cigarrillo,sro,lctrl,rctrl,0.033408156622954266
74,1,0.4886584747505367,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03339195344642576
75,1,0.46937138658677213,destornillador,tornillo,sro,lctrl,rctrl,0.03339726138392507
76,1,0.4322077247247762,escarabajo,leon,wra,rctrl,rctrl,0.033371839158462535
77,1,0.4853614076650956,conejo,clavo,nr,lctrl,rctrl,0.033377426460901916
78,1,0.464709900280468,hacha,vaso,wro,lctrl,rctrl,0.03340871535328915
79,1,0.5785671083895068,cisne,pato,sra,rctrl,rctrl,0.0334028486859097
80,1,0.5769247208791057,burro,caballo,sra,rctrl,rctrl,0.033381058206941816
81,1,0.39600340266724743,botella,vaso,sro,lctrl,rctrl,0.03341793440222318
82,1,0.9057265658066171,camello,zapato,nr,lctrl,rctrl,0.03338832169993111
83,1,0.42786359718911626,chancho,tornillo,nr,lctrl,rctrl,0.03335647407675424
84,1,0.5787551211119535,llave,zapato,wro,lctrl,rctrl,0.03341178836990366
85,1,0.45589397535150056,tijera,leon,nr,rctrl,rctrl,0.03340592170252421
86,1,0.5840113757476502,jarra,cabra,nr,rctrl,rctrl,0.03337575026989725
87,1,0.40949981072981245,jirafa,cebra,sra,rctrl,rctrl,0.033372118523402605
88,1,0.5400409828621378,avestruz,zapato,nr,lctrl,rctrl,0.033372118523402605
89,1,0.4682005673907952,aguila,mono,wra,rctrl,rctrl,0.03336541376029345
90,1,0.9123424904560125,oso,olla,nr,lctrl,rctrl,0.033380499477061676
91,1,0.5749716793616244,raton,cabra,wra,rctrl,rctrl,0.03338776297005097
92,1,0.47323500612492353,pinza,mesa,wro,lctrl,rctrl,0.03338468995389121
93,1,0.5395674589926784,arana,caballo,wra,rctrl,rctrl,0.03335507725159914
94,1,0.4108147823253603,gallo,cigarrillo,nr,lctrl,rctrl,0.033396423288195365
95,1,0.5569137977036007,ventana,cebra,nr,rctrl,rctrl,0.033398658209534915
96,1,0.47812361626984057,lapiz,zorro,nr,rctrl,rctrl,0.03338273439794648
97,1,0.4930584753092262,pinguino,clavo,nr,lctrl,rctrl,0.03336457566547324
98,1,0.4530022670478502,pava,zorro,nr,rctrl,rctrl,0.03339390900237049
99,1,0.47694022564292027,gallina,olla,nr,lctrl,rctrl,0.033369324872182915
100,1,0.42489143173224875,regla,clavo,wro,lctrl,rctrl,0.03346598520192856
101,1,0.6091737916412967,cama,mono,nr,rctrl,rctrl,0.033371839158462535
102,1,0.479598664076093,tigre,leon,sra,rctrl,rctrl,0.03340675979734442
103,1,0.45840155662244797,rinoceronte,tenedor,nr,lctrl,rctrl,0.03342827091137224
104,1,0.5063026166735654,ardilla,vaso,nr,lctrl,rctrl,0.03336094391897859
105,1,0.6739510189145221,copa,pato,nr,rctrl,rctrl,0.03338329312782662
106,1,0.4914172052590402,mariposa,vaso,nr,lctrl,rctrl,0.0333852486842261
107,1,0.7665513354354516,gorila,mono,sra,rctrl,rctrl,0.033388880430266
108,1,0.5093496519807559,hormiga,pato,wra,rctrl,rctrl,0.033386645509381196
