Nombre,SOA_150
Apellido,20_15
Edad,36
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0.8309598007581371,serpiente,hilo,sro,lctrl,lctrl,0.03340871535328915
-8,1,0.9595459758147626,buho,carro,sro,rctrl,lctrl,0.03338245503255166
-7,1,0.6780001368879311,carro,buho,sra,lctrl,lctrl,0.03335116613925493
-6,1,0.5625972015986918,rueda,pavo,sra,lctrl,lctrl,0.03339949630571937
-5,1,0.6552148387581838,violin,mapache,sra,lctrl,lctrl,0.033313731213638675
-4,1,0.5165329671781365,rueda,pavo,sra,lctrl,lctrl,0.03338413122401107
-3,1,0.843312767405223,rueda,pavo,sra,lctrl,lctrl,0.03334641693254525
-2,1,0.5368137570549152,mapache,violin,sro,rctrl,lctrl,0.03338022011121211
-1,1,0.8358299728042766,pavo,rueda,sro,rctrl,lctrl,0.03336345820571296
0,1,0.6620017348577676,hilo,serpiente,sra,lctrl,lctrl,0.033361502650222974
1,1,0.6640589795642882,tigre,leon,sra,lctrl,lctrl,0.033383851858161506
2,1,0.5743461808706343,bowl,caballo,nr,lctrl,lctrl,0.03339614392280055
3,1,0.5566078929023206,hormiga,pato,wra,lctrl,lctrl,0.03359086140699219
4,1,0.4791139656026644,jirafa,cebra,sra,lctrl,lctrl,0.03338804233499104
5,1,0.9199979326967878,pinguino,clavo,nr,rctrl,lctrl,0.03338999789048103
6,1,0.8171440783680737,ventana,cebra,nr,lctrl,lctrl,0.033358708997184294
7,1,0.8197161929783761,oso,olla,nr,rctrl,lctrl,0.03338999789048103
8,1,1.31113339823969,ciervo,tenedor,nr,rctrl,lctrl,0.033383851858161506
9,1,0.6121356205876509,sarten,olla,sro,rctrl,lctrl,0.033381058206941816
10,1,0.8385467985444848,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033365413761202944
11,1,0.6280770321372984,serrucho,caballo,nr,lctrl,lctrl,0.033386086779501056
12,1,0.5533904448748217,taza,cabra,nr,lctrl,lctrl,0.0333983788441401
13,1,0.5205692343588453,aguila,mono,wra,lctrl,lctrl,0.033384410588041646
14,1,0.6899681384093128,gallina,olla,nr,rctrl,lctrl,0.033362620109983254
15,1,0.7819745246961247,cuchara,cigarrillo,wro,rctrl,lctrl,0.033421566147808335
16,1,0.5439663420911529,perro,gato,sra,lctrl,lctrl,0.03336681058681279
17,1,0.9261864287218486,media,olla,wro,rctrl,lctrl,0.03339279154170072
18,1,1.7851388933504495,chancho,tornillo,nr,rctrl,lctrl,0.03337463281059172
19,1,0.7009407620244019,martillo,clavo,sro,rctrl,lctrl,0.03333999153437617
