Nombre,233
Apellido,10_05
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,pavo,rueda,sro,,rctrl,0.03334976931455458
-8,1,0.6669839323149063,serpiente,hilo,sro,lctrl,rctrl,0.033408994718229224
-7,1,0.4982038219941387,hilo,serpiente,sra,rctrl,rctrl,0.033354797886204324
-6,1,0.47148394558462314,violin,mapache,sra,rctrl,rctrl,0.033372956618222815
-5,1,0.6410775671211013,pavo,rueda,sro,lctrl,rctrl,0.03338496931883128
-4,1,0.5374864682517,mapache,violin,sro,lctrl,rctrl,0.033367648681633
-3,1,0.5086504010987483,serpiente,hilo,sro,lctrl,rctrl,0.033386366144441126
-2,1,0.44123177666460833,hilo,serpiente,sra,rctrl,rctrl,0.03340955344901886
-1,1,0.5040811052804202,serpiente,hilo,sro,lctrl,rctrl,0.0333830137624318
0,1,0.5544578989783986,carro,buho,sra,rctrl,rctrl,0.03341793440267793
1,1,0.6506340889691273,chancho,tornillo,nr,lctrl,rctrl,0.03338999789139052
2,1,0.5400323225439934,pava,zorro,nr,rctrl,rctrl,0.033359547093823494
3,1,0.4235292474322705,oveja,cabra,sra,rctrl,rctrl,0.033371839158462535
4,1,0.4686813547532438,escritorio,leon,nr,rctrl,rctrl,0.03337966138133197
5,1,0.4921600370998931,camello,zapato,nr,lctrl,rctrl,0.033377985190782056
6,1,0.4788728735084078,pinguino,clavo,nr,lctrl,rctrl,0.03352521060696745
7,1,0.6127764841612588,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.0333902772554211
8,1,0.42680117165764386,aguila,mono,wra,rctrl,rctrl,0.033352562964864774
9,1,0.4824560104707416,escarabajo,leon,wra,rctrl,rctrl,0.03342212487859797
10,1,0.44344602456385473,hormiga,pato,wra,rctrl,rctrl,0.033367089950843365
11,1,0.3951544120836843,perro,gato,sra,rctrl,rctrl,0.033374632809682225
12,1,0.4242687268915688,bota,zapato,sro,lctrl,rctrl,0.03339335027249035
