Nombre,233
Apellido,12_18
Edad,21
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,Mas de 7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.3525001082539347,serpiente,hilo,sro,rctrl,lctrl,0.033386645509381196
-8,1,0.4879332429122769,serpiente,hilo,sro,rctrl,lctrl,0.03329864549823469
-7,1,0.55025568892097,mapache,violin,sro,rctrl,lctrl,0.033357032807089126
-6,1,0.47475838409627613,carro,buho,sra,lctrl,lctrl,0.03333384550296614
-5,1,0.5879423222781952,mapache,violin,sro,rctrl,lctrl,0.033407597893074126
-4,1,0.5892165065674817,buho,carro,sro,rctrl,lctrl,0.03340536297218932
-3,1,0.5200378819095022,serpiente,hilo,sro,rctrl,lctrl,0.03343274075314184
-2,1,0.4802459530469605,carro,buho,sra,lctrl,lctrl,0.033363458204803464
-1,1,0.5102832901948204,mapache,violin,sro,rctrl,lctrl,0.033228524854621355
0,1,0.4715557424196959,serpiente,hilo,sro,rctrl,lctrl,0.03338133757233663
1,1,0.42705818756303415,tijera,leon,nr,lctrl,lctrl,0.033207572470928426
2,1,0.4646545859877733,ventana,cebra,nr,lctrl,lctrl,0.03338245503255166
3,1,0.4899860177761184,gallo,cigarrillo,nr,rctrl,lctrl,0.033384131223101576
4,1,0.44258250699476775,conejo,clavo,nr,rctrl,lctrl,0.033237464538160566
5,0,0.42546440958312814,jirafa,cebra,sra,rctrl,lctrl,0.033374912174622295
6,1,0.4323764612540799,raton,cabra,wra,lctrl,lctrl,0.03339418836731056
7,1,0.5158999258283075,peine,tornillo,wro,rctrl,lctrl,0.033396143923255295
8,1,0.41041193783030394,escarabajo,leon,wra,lctrl,lctrl,0.03339446773270538
9,1,0.4361090585534839,tortuga,tornillo,nr,rctrl,lctrl,0.03337100106318758
10,1,0.451536158925137,pipa,cigarrillo,sro,rctrl,lctrl,0.033388880430266
11,1,0.45605377219726506,elefante,mesa,nr,rctrl,lctrl,0.03330898200738375
12,1,0.5718260281687435,mariposa,vaso,nr,rctrl,lctrl,0.03338105820739656
13,1,0.4514459239931057,copa,pato,nr,lctrl,lctrl,0.03336569312568827
