Nombre,233
Apellido,12_47
Edad,22
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,hilo,pavo,sra,,rctrl,0.03338524868377135
-8,0,0,pavo,rueda,sro,,rctrl,0.03338077884291124
-7,1,0.6644283002442535,pavo,rueda,sro,lctrl,rctrl,0.03339754074841039
-6,1,0.6517356256172206,mapache,violin,sro,lctrl,rctrl,0.033377147095961845
-5,1,0.8495766920113965,serpiente,hilo,sro,lctrl,rctrl,0.03335591534778359
-4,1,0.8860919474391267,hilo,serpiente,sra,rctrl,rctrl,0.033388880430720747
-3,1,0.4980750346749119,pavo,rueda,sro,lctrl,rctrl,0.03338133757279138
-2,1,0.4262689811130258,mapache,violin,sro,lctrl,rctrl,0.033414302655728534
-1,1,0.5201219708105782,hilo,pavo,sra,rctrl,rctrl,0.033381058206941816
0,1,0.42812145119023626,violin,mapache,sra,rctrl,rctrl,0.03338971852645045
1,1,0.3979961140321393,arana,caballo,wra,rctrl,rctrl,0.03334557883681555
2,1,0.3764950573331589,zorrino,zorro,sra,rctrl,rctrl,0.03338133757279138
3,1,0.36890107541694306,ventana,cebra,nr,rctrl,rctrl,0.03338357249413093
4,1,0.41094049662751786,peine,tornillo,wro,lctrl,rctrl,0.03338357249231194
5,1,0.5089046233533736,hormiga,pato,wra,rctrl,rctrl,0.033367089952662354
6,1,0.35172459069508477,raton,cabra,wra,rctrl,rctrl,0.0333785439197527
7,1,0.41069046484881255,rinoceronte,tenedor,nr,lctrl,rctrl,0.033360385188643704
8,1,0.47236422506284725,gallina,olla,nr,lctrl,rctrl,0.03336736931669293
9,1,0.45097351758340665,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.033376588366081705
10,1,0.5106612711952039,elefante,mesa,nr,lctrl,rctrl,0.033388321700840606
11,0,0.3912866020673391,pincel,pato,nr,lctrl,rctrl,0.0332466835861851
12,1,0.4604576838664798,pipa,cigarrillo,sro,lctrl,rctrl,0.03339698201853025
13,1,0.37381901889784785,serrucho,caballo,nr,rctrl,rctrl,0.03305112800626375
14,1,0.41146430621665786,media,olla,wro,lctrl,rctrl,0.033378823285602266
15,1,0.4847414964751806,escarabajo,leon,wra,rctrl,rctrl,0.03338720423926134
16,1,0.40468607043658267,candado,cebra,nr,rctrl,rctrl,0.033352562964864774
17,1,0.45045138418390707,oveja,cabra,sra,rctrl,rctrl,0.033379940747181536
18,1,0.3844589186610392,taza,cabra,nr,rctrl,rctrl,0.033377705825841986
19,1,0.431340296043345,bowl,caballo,nr,rctrl,rctrl,0.03333496296363592
20,1,0.3980737775345915,cuchara,cigarrillo,wro,lctrl,rctrl,0.033409274083169294
21,1,0.36066483310059994,conejo,clavo,nr,lctrl,rctrl,0.03340480424230918
22,1,0.3873366587104101,tortuga,tornillo,nr,lctrl,rctrl,0.03339809947829053
23,1,0.6274682955518074,botella,vaso,sro,lctrl,rctrl,0.033341388361805
24,1,0.39836487598404346,regla,clavo,wro,lctrl,rctrl,0.033383293128281366
25,1,0.36436446531661204,gallo,cigarrillo,nr,lctrl,rctrl,0.03338999789048103
26,1,0.4032138162820047,pinguino,clavo,nr,lctrl,rctrl,0.033315407405098085
27,1,0.5046037974097999,hacha,vaso,wro,lctrl,rctrl,0.033365972489264095
28,1,0.6664908528873639,mariposa,vaso,nr,lctrl,rctrl,0.03336234074595268
29,1,0.4787647592074791,gorila,mono,sra,rctrl,rctrl,0.0333712804276729
30,1,0.43036028322057973,sapo,cebra,wra,rctrl,rctrl,0.033382734396582237
31,1,0.4213485233467509,chancho,tornillo,nr,lctrl,rctrl,0.03337966138133197
32,1,0.443335954711074,tigre,leon,sra,rctrl,rctrl,0.03335675344169431
33,1,0.3647966431490204,cuchillo,tenedor,sro,lctrl,rctrl,0.033384410588041646
34,0,0.38620662681933027,pava,zorro,nr,lctrl,rctrl,0.033363737569743535
35,1,0.49280229749820137,llave,zapato,wro,lctrl,rctrl,0.033381058206941816
36,1,0.6062060960248346,pinza,mesa,wro,lctrl,rctrl,0.03335731217157445
37,1,0.32799224482369027,burro,caballo,sra,rctrl,rctrl,0.033374353444742155
38,1,0.6766049875059252,jarra,cabra,nr,rctrl,rctrl,0.03339335027339985
39,1,0.4893378907090664,avestruz,zapato,nr,lctrl,rctrl,0.033385528049620916
40,1,1.2744996920009726,ardilla,vaso,nr,lctrl,rctrl,0.03339167408194044
41,0,0.39580393597498187,copa,pato,nr,lctrl,rctrl,0.03337239788743318
42,1,0.4548533402976318,mosca,zorro,wra,rctrl,rctrl,0.03337183915937203
43,1,0.4528829781447712,ciervo,tenedor,nr,lctrl,rctrl,0.03338357249413093
44,1,0.4573148263261828,tuerca,gato,nr,rctrl,rctrl,0.033214277234947076
45,1,0.5129763699023897,sombrero,tenedor,wro,lctrl,rctrl,0.033383851859980496
46,1,0.5295105942241207,sobre,gato,nr,rctrl,rctrl,0.03332993439107668
47,1,0.43035106417300995,cisne,pato,sra,rctrl,rctrl,0.03341290583011869
48,1,0.7549881339655258,canguro,mesa,nr,lctrl,rctrl,0.03338189630085253
49,1,0.43104752140243363,escritorio,leon,nr,rctrl,rctrl,0.03338888042890176
50,1,0.346903866273351,bota,zapato,sro,lctrl,rctrl,0.03339335027339985
51,1,0.5136541096690053,lapiz,zorro,nr,rctrl,rctrl,0.033368766142302775
52,1,0.4777051273285906,puerta,mono,nr,rctrl,rctrl,0.03336457566547324
53,1,0.4067977913382492,perro,gato,sra,rctrl,rctrl,0.033356474077663734
54,1,0.5299089688760432,camello,zapato,nr,lctrl,rctrl,0.033372118523402605
55,1,0.5447946596559632,abeja,gato,wra,rctrl,rctrl,0.033379382017301396
56,1,0.43786514766543405,sarten,olla,sro,lctrl,rctrl,0.03334334391729499
57,1,0.49479919933946803,cama,mono,nr,rctrl,rctrl,0.033420448688048054
58,1,0.42045204069290776,aguila,mono,wra,rctrl,rctrl,0.03363611855638737
59,1,0.4462810217501101,destornillador,tornillo,sro,lctrl,rctrl,0.033379940745362546
60,1,0.447188679007013,oso,olla,nr,lctrl,rctrl,0.033360385188643704
61,1,0.541970278345616,tijera,leon,nr,rctrl,rctrl,0.03340480424230918
62,1,0.34404987225934747,martillo,clavo,sro,lctrl,rctrl,0.033416537575249095
63,1,0.4703357549624343,jirafa,cebra,sra,rctrl,rctrl,0.033363178839863394
64,1,0.459287423400383,silla,mesa,sro,lctrl,rctrl,0.03340787725755945
65,1,0.5143863256362238,ciervo,tenedor,nr,lctrl,rctrl,0.033242493111174554
66,1,0.3658132528016722,regla,clavo,wro,lctrl,rctrl,0.033492245522211306
67,1,0.35994043935897935,gallo,cigarrillo,nr,lctrl,rctrl,0.03340843598925858
68,1,0.4343987853208091,abeja,gato,wra,rctrl,rctrl,0.03340787725755945
69,1,0.4666207576647139,botella,vaso,sro,lctrl,rctrl,0.033368207412422635
70,1,0.45771180415431445,pinza,mesa,wro,lctrl,rctrl,0.03340899471913872
71,1,0.4283116988317488,gallina,olla,nr,lctrl,rctrl,0.0333785439197527
72,1,0.5608374807416112,lapiz,zorro,nr,rctrl,rctrl,0.033359547092914
73,1,0.48790167465449485,silla,mesa,sro,lctrl,rctrl,0.033383293128281366
74,1,0.555905569002789,ardilla,vaso,nr,lctrl,rctrl,0.03339502646304027
75,1,0.4824101945923758,destornillador,tornillo,sro,lctrl,rctrl,0.033388880430720747
76,1,0.3479847299022367,martillo,clavo,sro,lctrl,rctrl,0.03338580741547048
77,1,0.40701513739804795,hormiga,pato,wra,rctrl,rctrl,0.03339362963743042
78,1,0.5803198451212666,tijera,leon,nr,rctrl,rctrl,0.033357032807543874
79,1,0.555665035639322,media,olla,wro,lctrl,rctrl,0.03338189630267152
80,1,0.48215122313013126,jarra,cabra,nr,rctrl,rctrl,0.03338552804780193
81,1,0.45622641983936774,copa,pato,nr,rctrl,rctrl,0.03336625185511366
82,1,0.3705705613410828,puerta,mono,nr,rctrl,rctrl,0.033383851858161506
83,1,0.37887524811048934,escritorio,leon,nr,rctrl,rctrl,0.033368207412422635
84,1,0.5022750098123652,jirafa,cebra,sra,rctrl,rctrl,0.03337072169779276
85,1,0.48647411891761294,canguro,mesa,nr,lctrl,rctrl,0.03338692487523076
86,1,0.38661030941148056,pava,zorro,nr,rctrl,rctrl,0.03339223281182058
87,1,0.48872719856808544,conejo,clavo,nr,lctrl,rctrl,0.033371001063642325
88,1,0.3267306319648924,mosca,zorro,wra,rctrl,rctrl,0.03339754074841039
89,1,0.3976882536735502,hacha,vaso,wro,lctrl,rctrl,0.03338776296914148
90,1,0.3896777383724839,oveja,cabra,sra,rctrl,rctrl,0.03338999789048103
91,1,0.499410399925182,tigre,leon,sra,rctrl,rctrl,0.03338580741365149
92,1,0.5391056684584328,tuerca,gato,nr,rctrl,rctrl,0.03339055662036117
93,1,0.41415375417818723,peine,tornillo,wro,lctrl,rctrl,0.0333911153520603
94,0,0.30003394286177354,avestruz,zapato,nr,rctrl,rctrl,0.033367089952662354
95,0,0.39861239347374067,bota,zapato,sro,rctrl,rctrl,0.03338915979657031
96,1,0.673305406133295,taza,cabra,nr,rctrl,rctrl,0.03335172487095406
97,1,0.3945509834356926,cuchara,cigarrillo,wro,lctrl,rctrl,0.03340983281486842
98,1,0.38684609356641886,arana,caballo,wra,rctrl,rctrl,0.03340620106610004
99,1,0.4360160299693234,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03338022011121211
100,1,0.4157296527901053,serrucho,caballo,nr,rctrl,rctrl,0.03340843598743959
101,1,0.5268281303906406,sombrero,tenedor,wro,lctrl,rctrl,0.03338245503255166
102,1,0.48562345214304514,chancho,tornillo,nr,lctrl,rctrl,0.033383293128281366
103,1,0.48243282316616387,oso,olla,nr,lctrl,rctrl,0.03338999789048103
104,1,0.5294413116753276,sobre,gato,nr,rctrl,rctrl,0.03321455659897765
105,1,0.5379756365673529,gorila,mono,sra,rctrl,rctrl,0.033381058208760805
106,1,0.4869917824744334,pinguino,clavo,nr,lctrl,rctrl,0.03351515346184897
107,1,0.387386665064696,cisne,pato,sra,rctrl,rctrl,0.03340005503378052
108,1,0.48206350248437957,pincel,pato,nr,rctrl,rctrl,0.033382734396582237
109,1,0.35968230599246453,burro,caballo,sra,rctrl,rctrl,0.03338077884109225
110,1,0.3264487525648292,aguila,mono,wra,rctrl,rctrl,0.03341290583011869
111,1,0.4598486679169582,ventana,cebra,nr,rctrl,rctrl,0.033383293128281366
112,1,0.3971236567776941,bowl,caballo,nr,rctrl,rctrl,0.033383851859980496
113,1,0.5428597768714098,perro,gato,sra,rctrl,rctrl,0.03338357249231194
114,1,0.5512426858713297,sarten,olla,sro,lctrl,rctrl,0.033381058206941816
115,1,0.5352917759100819,sapo,cebra,wra,rctrl,rctrl,0.03337016296791262
116,1,0.4356777188168053,pipa,cigarrillo,sro,lctrl,rctrl,0.033303674070339184
117,1,0.4382881064502726,tortuga,tornillo,nr,lctrl,rctrl,0.03338860106669017
118,1,0.528882860809972,cuchillo,tenedor,sro,lctrl,rctrl,0.033379940745362546
119,1,0.5816088357587432,mariposa,vaso,nr,lctrl,rctrl,0.033379940747181536
120,1,0.41971172313787974,elefante,mesa,nr,lctrl,rctrl,0.03340843598925858
121,1,0.3526280574769771,rinoceronte,tenedor,nr,lctrl,rctrl,0.03337742645999242
122,0,0.7066976389469346,camello,zapato,nr,rctrl,rctrl,0.033265401050812216
123,1,0.8108217664539552,escarabajo,leon,wra,rctrl,rctrl,0.03339893757402024
124,1,0.652586571757638,raton,cabra,wra,rctrl,rctrl,0.03340089312951022
125,1,0.5618225221369357,zorrino,zorro,sra,rctrl,rctrl,0.03333216931241623
126,1,0.5010069715572172,candado,cebra,nr,rctrl,rctrl,0.03336513439535338
127,1,0.5520109399385547,cama,mono,nr,rctrl,rctrl,0.03334306455144542
128,1,1.1076681533559167,llave,zapato,wro,lctrl,rctrl,0.033417096306948224
129,1,0.668263145176752,aguila,mono,wra,rctrl,rctrl,0.0333874836051109
130,1,0.45219154948426876,pincel,pato,nr,rctrl,rctrl,0.033384410588041646
131,1,0.46876739920844557,escarabajo,leon,wra,rctrl,rctrl,0.03337463280877273
132,1,0.4542582926042087,jarra,cabra,nr,rctrl,rctrl,0.033359267727064434
133,1,0.46194418564482476,chancho,tornillo,nr,lctrl,rctrl,0.033407039161829744
134,0,0.42232322823110735,elefante,mesa,nr,rctrl,rctrl,0.033378264557541115
135,1,0.7307182896147424,lapiz,zorro,nr,rctrl,rctrl,0.033361502648403984
136,1,0.4816056230611139,tortuga,tornillo,nr,lctrl,rctrl,0.03337966138133197
137,1,0.4928444816305273,cisne,pato,sra,rctrl,rctrl,0.03336792804657307
138,1,0.5109068331294111,oveja,cabra,sra,rctrl,rctrl,0.033429947103286395
139,1,0.42653242241613043,taza,cabra,nr,rctrl,rctrl,0.0334056423362199
140,1,0.3877777762263577,cuchara,cigarrillo,wro,lctrl,rctrl,0.03338524868377135
141,0,0.46472023678870755,sarten,olla,sro,rctrl,rctrl,0.03338971852645045
142,1,0.5021300193166098,arana,caballo,wra,rctrl,rctrl,0.033367089950843365
143,1,0.45418649577004544,gorila,mono,sra,rctrl,rctrl,0.03338301376425079
144,1,0.46101417917634535,gallo,cigarrillo,nr,lctrl,rctrl,0.03336289947401383
145,1,0.4911512496710202,candado,cebra,nr,rctrl,rctrl,0.03333999153437617
146,1,0.4426012244584854,martillo,clavo,sro,lctrl,rctrl,0.03338245503255166
147,1,0.7466538344942819,bota,zapato,sro,lctrl,rctrl,0.033365413759383955
148,1,0.5467164122801478,silla,mesa,sro,lctrl,rctrl,0.033381616936821956
149,1,0.5118656142058171,ventana,cebra,nr,rctrl,rctrl,0.03338468995389121
150,1,0.6068466802353214,hacha,vaso,wro,lctrl,rctrl,0.0333902772545116
151,1,0.47534672702931857,tigre,leon,sra,rctrl,rctrl,0.033367089950843365
152,1,0.5313862516049994,pinza,mesa,wro,lctrl,rctrl,0.03335898836303386
153,1,0.5246862380554376,pinguino,clavo,nr,lctrl,rctrl,0.03338748360329191
154,1,0.6428688562373281,camello,zapato,nr,lctrl,rctrl,0.03322740739349683
155,1,0.37168522815045435,regla,clavo,wro,lctrl,rctrl,0.033418772498407634
156,1,0.6833033248640277,cama,mono,nr,rctrl,rctrl,0.03339670265268069
157,1,0.44889113001772785,cuchillo,tenedor,sro,lctrl,rctrl,0.03351347727220855
158,1,0.4330190010186925,destornillador,tornillo,sro,lctrl,rctrl,0.03337742645999242
159,1,0.6206847518333234,pava,zorro,nr,rctrl,rctrl,0.033419331226468785
160,1,0.4990787935348635,raton,cabra,wra,rctrl,rctrl,0.0333830137624318
161,1,0.44860673633229453,sobre,gato,nr,rctrl,rctrl,0.03339530582888983
162,1,0.4104560775176651,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.0334173756709788
163,1,0.40529508638610423,sombrero,tenedor,wro,lctrl,rctrl,0.03337407407889259
164,1,0.5203057930539217,escritorio,leon,nr,rctrl,rctrl,0.03337742645999242
165,1,0.576521317652805,copa,pato,nr,rctrl,rctrl,0.03344475345329556
166,1,0.4337769185749494,perro,gato,sra,rctrl,rctrl,0.033379382015482406
167,1,0.40828848359160475,jirafa,cebra,sra,rctrl,rctrl,0.03342463916487759
168,0,0.40253440032211074,gallina,olla,nr,rctrl,rctrl,0.03339754074841039
169,1,0.4918094338809169,zorrino,zorro,sra,rctrl,rctrl,0.0333874836051109
170,1,0.6745005300963385,llave,zapato,wro,lctrl,rctrl,0.03339809948010952
171,1,0.6216952154536557,puerta,mono,nr,rctrl,rctrl,0.03338413122401107
172,1,0.38086907693650573,botella,vaso,sro,lctrl,rctrl,0.03338580741365149
173,1,0.6671350688429811,sapo,cebra,wra,rctrl,rctrl,0.03338022011121211
174,1,0.460681175960417,oso,olla,nr,lctrl,rctrl,0.033384410588041646
175,1,0.4820255088288832,peine,tornillo,wro,lctrl,rctrl,0.033386645509381196
176,1,0.8197008278984868,pipa,cigarrillo,sro,lctrl,rctrl,0.03339670265449968
177,1,0.4710059518729395,avestruz,zapato,nr,lctrl,rctrl,0.03338524868377135
178,1,0.535906937893742,abeja,gato,wra,rctrl,rctrl,0.033383293128281366
179,1,0.6830488232444623,mariposa,vaso,nr,lctrl,rctrl,0.03334557883681555
180,1,0.6700169993673626,serrucho,caballo,nr,rctrl,rctrl,0.03336066455449327
181,1,0.5834705248853425,burro,caballo,sra,rctrl,rctrl,0.03339446773316013
182,1,0.38112106426888204,rinoceronte,tenedor,nr,lctrl,rctrl,0.03333524232948548
183,1,0.7631553730989253,bowl,caballo,nr,rctrl,rctrl,0.033381616936821956
184,0,0.4695320215287211,hormiga,pato,wra,lctrl,rctrl,0.03340145185939036
185,1,0.5020453716879274,ardilla,vaso,nr,lctrl,rctrl,0.033355356616084464
186,1,0.5429617451391096,ciervo,tenedor,nr,lctrl,rctrl,0.03335563598193403
187,1,0.59094605599239,media,olla,wro,lctrl,rctrl,0.03333552169169707
188,1,0.5217920154664171,tuerca,gato,nr,rctrl,rctrl,0.03338413122401107
189,1,0.518828789692634,tijera,leon,nr,rctrl,rctrl,0.03338832169902162
190,1,0.5191550881463627,conejo,clavo,nr,lctrl,rctrl,0.03338413122401107
191,1,0.5527004130399291,canguro,mesa,nr,lctrl,rctrl,0.03338189630085253
192,1,0.5025644320721767,mosca,zorro,wra,rctrl,rctrl,0.033359267728883424
193,1,0.44805862197426904,elefante,mesa,nr,lctrl,rctrl,0.033376588366081705
194,1,0.4631231064267922,tuerca,gato,nr,rctrl,rctrl,0.03339586455876997
195,1,0.4431736435781204,canguro,mesa,nr,lctrl,rctrl,0.03334976931364508
196,1,0.5128864143352985,aguila,mono,wra,rctrl,rctrl,0.03340256932096963
197,1,0.4145647002624173,media,olla,wro,lctrl,rctrl,0.03332630264412728
198,1,0.38736431585675746,silla,mesa,sro,lctrl,rctrl,0.033359547092914
199,1,0.7030594670559367,candado,cebra,nr,rctrl,rctrl,0.033364855029503815
200,0,0.5904831479965651,copa,pato,nr,lctrl,rctrl,0.03337016296791262
201,1,0.4792681751441705,jirafa,cebra,sra,rctrl,rctrl,0.03336625185511366
202,1,0.47065674547957315,cisne,pato,sra,rctrl,rctrl,0.033359267728883424
203,1,1.3346757758317835,llave,zapato,wro,lctrl,rctrl,0.033383293128281366
