Nombre,233
Apellido,13_27
Edad,21
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano izquierda
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano izquierda
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.30048846990303,mapache,violin,sro,rctrl,lctrl,0.03340564233712939
-8,1,0.7988297395336303,serpiente,hilo,sro,rctrl,lctrl,0.03339698201853025
-7,1,0.5395702526438981,carro,buho,sra,lctrl,lctrl,0.03337351534901245
-6,1,0.5678827895721952,mapache,violin,sro,rctrl,lctrl,0.03337323598384501
-5,1,0.6879346397377049,violin,mapache,sra,lctrl,lctrl,0.033453693137062146
-4,1,0.5244577173916696,pavo,rueda,sro,rctrl,lctrl,0.033384410588496394
-3,0,0.5946660818622149,buho,carro,sro,lctrl,lctrl,0.03340564233735677
-2,1,0.5445521707365515,hilo,serpiente,sra,lctrl,lctrl,0.033357591537424014
-1,1,0.7025608003250454,hilo,serpiente,sra,lctrl,lctrl,0.033414302655728534
0,1,0.7935771166448831,buho,carro,sro,rctrl,lctrl,0.03334976931409983
1,1,0.6951847231980537,rinoceronte,tenedor,nr,rctrl,lctrl,0.033367369316465556
2,1,0.5537457973009623,peine,tornillo,wro,rctrl,lctrl,0.03319975024760424
3,1,0.5336248042699481,aguila,mono,wra,lctrl,lctrl,0.033373794714179894
4,1,0.6058166610559965,mosca,zorro,wra,lctrl,lctrl,0.03339809947920003
5,1,0.4229003965588163,perro,gato,sra,lctrl,lctrl,0.03339698201853025
6,1,0.42300571720716107,burro,caballo,sra,lctrl,lctrl,0.03335228360015208
7,1,0.5519204256406738,ciervo,tenedor,nr,rctrl,lctrl,0.033446709009240294
8,1,0.6854790203783523,botella,vaso,sro,rctrl,lctrl,0.033354518521264254
9,1,0.5269728415205464,cisne,pato,sra,lctrl,lctrl,0.03332686137468954
10,1,0.4599715885678961,oveja,cabra,sra,lctrl,lctrl,0.033391394716318246
11,1,0.5613137982622902,llave,zapato,wro,rctrl,lctrl,0.03325981374723597
12,1,0.5085386550526891,raton,cabra,wra,lctrl,lctrl,0.03338133757233663
13,1,0.6210769804538359,ardilla,vaso,nr,rctrl,lctrl,0.033387483604656154
14,1,0.5862409887290596,silla,mesa,sro,rctrl,lctrl,0.033350886774769606
15,1,0.46267025557745,abeja,gato,wra,lctrl,lctrl,0.03339055662104329
16,1,0.5987992887367,candado,cebra,nr,lctrl,lctrl,0.03363360427101725
17,1,0.7659222051966026,escritorio,leon,nr,lctrl,lctrl,0.033391394716318246
18,1,0.575243222253448,chancho,tornillo,nr,rctrl,lctrl,0.033357591537424014
19,1,0.4387490588883338,destornillador,tornillo,sro,rctrl,lctrl,0.033539178862156405
20,1,0.5526166035069764,puerta,mono,nr,lctrl,lctrl,0.033364296300305796
21,1,0.6175717863584396,pincel,pato,nr,lctrl,lctrl,0.03336010582347626
22,0,0.5953689644911719,pinza,mesa,wro,lctrl,lctrl,0.0333782645559495
23,1,0.9818331659471369,bota,zapato,sro,rctrl,lctrl,0.03338413122332895
24,1,0.4900823987404692,gorila,mono,sra,lctrl,lctrl,0.03340731852790668
25,1,0.5714692789169931,pinguino,clavo,nr,rctrl,lctrl,0.03334753439321503
26,1,0.5678688213165515,cuchillo,tenedor,sro,rctrl,lctrl,0.03340089313041972
27,1,0.4830664232467825,tuerca,gato,nr,lctrl,lctrl,0.03345955980421422
28,1,0.8029721654565947,elefante,mesa,nr,rctrl,lctrl,0.033417096306948224
29,1,0.47273578066460686,tigre,leon,sra,lctrl,lctrl,0.03337994074672679
30,1,0.670828834391159,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.0333698836025178
31,1,0.4771318701123164,sobre,gato,nr,lctrl,lctrl,0.03339949630480987
32,1,0.6057783880355601,bowl,caballo,nr,lctrl,lctrl,0.03339474709764545
33,1,0.4708374947094853,serrucho,caballo,nr,lctrl,lctrl,0.03342268360916023
34,1,0.4609191950371496,zorrino,zorro,sra,lctrl,lctrl,0.03341905186289296
35,1,0.476712543074882,tortuga,tornillo,nr,rctrl,lctrl,0.03339390900237049
36,1,0.5496553332895928,cuchara,cigarrillo,wro,rctrl,lctrl,0.0333782645559495
37,1,0.5341016805205072,gallina,olla,nr,rctrl,lctrl,0.03338692487454864
38,1,0.4683215324853336,lapiz,zorro,nr,lctrl,lctrl,0.033407597893074126
39,1,0.521309272547569,mariposa,vaso,nr,rctrl,lctrl,0.03337128042812765
40,1,0.4872879094968994,arana,caballo,wra,lctrl,lctrl,0.033371839158462535
41,1,0.5333325883598263,regla,clavo,wro,rctrl,lctrl,0.03340731852790668
42,1,0.5733580664582405,gallo,cigarrillo,nr,rctrl,lctrl,0.0333899978907084
43,1,0.45546570863052693,pava,zorro,nr,lctrl,lctrl,0.033396143923255295
44,1,0.5478883489381587,canguro,mesa,nr,rctrl,lctrl,0.033349769314327204
45,1,0.680757191207249,ventana,cebra,nr,lctrl,lctrl,0.03337463280945485
46,1,0.4943572437277908,sombrero,tenedor,wro,rctrl,lctrl,0.03338580741410624
47,1,0.592143135510014,hormiga,pato,wra,lctrl,lctrl,0.03338915979543344
48,1,0.4642478303808275,sarten,olla,sro,rctrl,lctrl,0.03340508360702188
49,1,0.5200389993697172,martillo,clavo,sro,rctrl,lctrl,0.03333440423284628
50,1,0.4599190679264211,cama,mono,nr,lctrl,lctrl,0.03337463280945485
51,1,0.5885499414030164,jirafa,cebra,sra,lctrl,lctrl,0.03340340741624459
52,1,0.4528279432161071,sapo,cebra,wra,lctrl,lctrl,0.03338301376288655
53,1,0.46991084062392474,tijera,leon,nr,lctrl,lctrl,0.03334865185365743
54,1,0.5205734248347653,hacha,vaso,wro,rctrl,lctrl,0.033360105823703634
55,1,0.49359066585293476,pipa,cigarrillo,sro,rctrl,lctrl,0.033491128062451025
56,1,0.45417587989550157,camello,zapato,nr,rctrl,lctrl,0.03309945817136395
57,1,0.4795332926391893,media,olla,wro,rctrl,lctrl,0.03339279154170072
58,1,0.49591386614747535,jarra,cabra,nr,lctrl,lctrl,0.03337351534901245
59,1,0.500507746095991,oso,olla,nr,rctrl,lctrl,0.033527445527397504
60,1,0.5072865406077653,copa,pato,nr,lctrl,lctrl,0.033386645509381196
61,1,0.6356827473882731,taza,cabra,nr,lctrl,lctrl,0.03330562962628392
62,1,0.5227399013001559,avestruz,zapato,nr,rctrl,lctrl,0.033387483604656154
63,1,0.5755619778492473,escarabajo,leon,wra,lctrl,lctrl,0.03337155979306772
