Nombre,233
Apellido,14_25
Edad,21
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.6586622042746058,violin,mapache,sra,rctrl,rctrl,0.03340396614657948
-8,1,0.732024321526751,violin,mapache,sra,rctrl,rctrl,0.0333698836025178
-7,1,0.6793109180075589,hilo,serpiente,sra,rctrl,rctrl,0.03339418836776531
-6,1,0.6049347053885867,buho,carro,sro,lctrl,rctrl,0.03336848677690796
-5,1,0.5846539155113533,mapache,violin,sro,lctrl,rctrl,0.03336206137919362
-4,1,0.7404709257743889,hilo,pavo,sra,rctrl,rctrl,0.03338273439794648
-3,1,0.49136719890384484,pavo,rueda,sro,lctrl,rctrl,0.03335563598147928
-2,1,0.5670502815301006,carro,buho,sra,rctrl,rctrl,0.03339251217676065
-1,1,0.6373969317332921,hilo,pavo,sra,rctrl,rctrl,0.033383851858161506
0,1,0.5070680770877516,carro,buho,sra,rctrl,rctrl,0.033389997890935774
1,1,0.4775162765099594,aguila,mono,wra,rctrl,rctrl,0.03339726138347032
2,1,0.49241984665650307,pipa,cigarrillo,sro,lctrl,rctrl,0.03338329312782662
3,1,0.49479947870486285,sapo,cebra,wra,rctrl,rctrl,0.033404524876914365
4,1,0.5412344306328123,martillo,clavo,sro,lctrl,rctrl,0.033405083606794506
5,1,0.5381999667556556,tigre,leon,sra,rctrl,rctrl,0.03336122328391866
6,1,0.48486162347444406,raton,cabra,wra,rctrl,rctrl,0.033336359788791015
7,1,0.45121544777339295,serrucho,caballo,nr,rctrl,rctrl,0.03338329312782662
8,1,0.5161281671275901,mosca,zorro,wra,rctrl,rctrl,0.03338022011166686
