Nombre,233
Apellido,18_45
Edad,22
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.5538148004843606,mapache,violin,sro,lctrl,rctrl,0.03339809947920003
-8,1,0.5447401834589982,violin,mapache,sra,rctrl,rctrl,0.033566556643108925
-7,0,0.4605146743510886,violin,mapache,sra,lctrl,rctrl,0.03337155979306772
-6,1,0.5585380264810738,mapache,violin,sro,lctrl,rctrl,0.03338273439794648
-5,1,0.6747139650428835,serpiente,hilo,sro,lctrl,rctrl,0.0335017439369949
-4,1,0.471822256739415,pavo,rueda,sro,lctrl,rctrl,0.03339083598621073
-3,1,0.458247905809003,serpiente,hilo,sro,lctrl,rctrl,0.0333581502677589
-2,1,0.4803099276582543,hilo,serpiente,sra,rctrl,rctrl,0.03339335027249035
-1,1,0.43320617564540953,hilo,pavo,sra,rctrl,rctrl,0.03343860742097604
0,1,0.4264542001847076,buho,carro,sro,lctrl,rctrl,0.03328942644975541
1,1,0.4577037025651407,peine,tornillo,wro,lctrl,rctrl,0.033380499477061676
2,1,0.4393225954695481,ardilla,vaso,nr,lctrl,rctrl,0.033381896302216774
3,1,0.34169538307241965,perro,gato,sra,rctrl,rctrl,0.033401451860754605
4,1,0.4496800571023414,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03338860106532593
5,1,0.4620855443918117,gallo,cigarrillo,nr,lctrl,rctrl,0.033411229639568774
6,1,0.5923048879117232,burro,caballo,sra,rctrl,rctrl,0.03346263282082873
7,1,0.48035434671146504,conejo,clavo,nr,lctrl,rctrl,0.033386366144441126
8,1,0.4084868328236553,cama,mono,nr,rctrl,rctrl,0.03341821376716325
9,1,0.43550088069878257,taza,cabra,nr,rctrl,rctrl,0.033366810585903295
10,1,0.35829414073577937,serrucho,caballo,nr,rctrl,rctrl,0.03335563598193403
11,0,0.3502869778144486,tijera,leon,nr,lctrl,rctrl,0.03340955344856411
12,1,0.5116474300507434,aguila,mono,wra,rctrl,rctrl,0.033374912174622295
13,1,0.3992177776781318,candado,cebra,nr,rctrl,rctrl,0.03339530582798034
14,1,0.4300457181011552,hormiga,pato,wra,rctrl,rctrl,0.03340648043240435
15,1,0.5072471501266591,sombrero,tenedor,wro,lctrl,rctrl,0.03342156614871783
16,1,0.45645521986762105,chancho,tornillo,nr,lctrl,rctrl,0.03340703916273924
17,1,0.3986878220557628,oveja,cabra,sra,rctrl,rctrl,0.03340173122523993
18,1,0.4067391246653642,escarabajo,leon,wra,rctrl,rctrl,0.033380778842001746
19,1,0.4498661142688434,llave,zapato,wro,lctrl,rctrl,0.03337044233285269
20,1,0.36088189979409435,gorila,mono,sra,rctrl,rctrl,0.03340703916273924
21,1,0.34558973277307814,escritorio,leon,nr,rctrl,rctrl,0.033374912174622295
22,1,0.32098157726750287,abeja,gato,wra,rctrl,rctrl,0.033401451860754605
23,1,0.46388130334980815,silla,mesa,sro,lctrl,rctrl,0.03337630900023214
24,1,0.28867523665712724,lapiz,zorro,nr,rctrl,rctrl,0.03342324233972249
25,1,0.3082690677165374,sapo,cebra,wra,rctrl,rctrl,0.03335898836303386
26,0,0.3289870639982837,cuchillo,tenedor,sro,rctrl,rctrl,0.03338496931883128
27,1,0.549871561888267,raton,cabra,wra,rctrl,rctrl,0.03337016296791262
28,1,0.4452074216137589,tortuga,tornillo,nr,lctrl,rctrl,0.033472969329977786
29,1,0.49318251341992436,pava,zorro,nr,rctrl,rctrl,0.033259255016673706
30,1,0.43535952195043137,bota,zapato,sro,lctrl,rctrl,0.033365693126143015
31,1,0.4934244436094559,jarra,cabra,nr,rctrl,rctrl,0.033410112178899
32,1,0.4612589030170966,oso,olla,nr,lctrl,rctrl,0.03338860106532593
33,1,0.4213650058877647,bowl,caballo,nr,rctrl,rctrl,0.033396982018985
34,1,0.3976131044587419,pinza,mesa,wro,lctrl,rctrl,0.033402010590634745
35,1,0.5817672357798074,mariposa,vaso,nr,lctrl,rctrl,0.03342100741883769
36,1,0.5755988540445287,botella,vaso,sro,lctrl,rctrl,0.03336262010952851
37,1,0.42325826327078175,elefante,mesa,nr,lctrl,rctrl,0.033367648681633
38,1,0.4041876830710862,gallina,olla,nr,lctrl,rctrl,0.03337519154001711
39,1,0.39821373945551386,avestruz,zapato,nr,lctrl,rctrl,0.03373194079131281
40,1,0.3741914125957919,sobre,gato,nr,rctrl,rctrl,0.03346654393226345
41,1,0.5040928386151791,regla,clavo,wro,lctrl,rctrl,0.03338329312782662
42,1,0.3801332292232473,jirafa,cebra,sra,rctrl,rctrl,0.03338608677904631
43,1,0.4443310532483338,pincel,pato,nr,rctrl,rctrl,0.03338552804871142
44,1,0.3698310818836035,cisne,pato,sra,rctrl,rctrl,0.033133820080365695
45,1,0.49942520627610065,mosca,zorro,wra,rctrl,rctrl,0.033356474077208986
