Nombre,233
Apellido,18_47
Edad,19
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.0525779114395846,mapache,violin,sro,lctrl,rctrl,0.033544486799655715
-8,1,0.7952493962220615,hilo,serpiente,sra,rctrl,rctrl,0.03332853756364784
-7,1,0.6209588090096076,serpiente,hilo,sro,lctrl,rctrl,0.033357591539243
-6,1,0.49530932003835915,violin,mapache,sra,rctrl,rctrl,0.03338915979475132
-5,1,0.5205999645222619,pavo,rueda,sro,lctrl,rctrl,0.03336625185693265
-4,1,0.449395384050149,violin,mapache,sra,rctrl,rctrl,0.0334363724978175
-3,1,0.4890805954382813,hilo,serpiente,sra,rctrl,rctrl,0.03339642328865011
-2,1,0.42405501257962896,hilo,serpiente,sra,rctrl,rctrl,0.03340117249535979
-1,1,0.6263991652558616,carro,buho,sra,rctrl,rctrl,0.03340592170570744
0,1,0.5980137140322768,violin,mapache,sra,rctrl,rctrl,0.033388880430720747
1,1,0.9338251090557605,hacha,vaso,wro,lctrl,rctrl,0.03337910264963284
2,1,0.53333649947308,escarabajo,leon,wra,rctrl,rctrl,0.033483305836853106
3,1,0.5305003848225169,cisne,pato,sra,rctrl,rctrl,0.03340452487464063
4,1,0.4585401217191247,serrucho,caballo,nr,rctrl,rctrl,0.033246404222154524
5,1,0.5030144892698445,regla,clavo,wro,lctrl,rctrl,0.033267077240452636
6,1,0.44021321145555703,jirafa,cebra,sra,rctrl,rctrl,0.03340731852586032
7,1,0.469792669180606,abeja,gato,wra,rctrl,rctrl,0.03339307090936927
8,1,0.6326996866919217,raton,cabra,wra,rctrl,rctrl,0.0333522836008342
9,1,0.4222586948890239,mariposa,vaso,nr,lctrl,rctrl,0.03335004867767566
10,1,0.456686534180335,pinguino,clavo,nr,lctrl,rctrl,0.03336904550451436
11,1,0.4947480755217839,pipa,cigarrillo,sro,lctrl,rctrl,0.033360943918523844
12,1,0.5234318886905385,tortuga,tornillo,nr,lctrl,rctrl,0.033377147094142856
13,1,0.6486771363379376,peine,tornillo,wro,lctrl,rctrl,0.03335144550510449
14,1,0.44063086230380577,oveja,cabra,sra,rctrl,rctrl,0.03340592170206946
15,1,0.4918004941973777,pinza,mesa,wro,lctrl,rctrl,0.033360385186824715
16,1,0.4965874154368066,escritorio,leon,nr,rctrl,rctrl,0.03334837248985423
17,1,0.5575666739750886,bota,zapato,sro,lctrl,rctrl,0.033361502650222974
18,1,0.5903099416282203,cuchara,cigarrillo,wro,lctrl,rctrl,0.03337519153865287
19,1,0.5046021212183405,gallina,olla,nr,lctrl,rctrl,0.03340312805084977
20,1,0.39341396741656354,silla,mesa,sro,lctrl,rctrl,0.03340089313132921
21,1,0.5355035346692603,taza,cabra,nr,rctrl,rctrl,0.03340201059108949
22,1,0.4744600221529254,hormiga,pato,wra,rctrl,rctrl,0.03339418836549157
23,1,0.5406391035721754,botella,vaso,sro,lctrl,rctrl,0.0334073185294983
