Nombre,233
Apellido,19_16
Edad,37
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.2124515825335038,violin,mapache,sra,rctrl,rctrl,0.0333793820163919
-8,1,0.6241161935386117,violin,mapache,sra,rctrl,rctrl,0.03339865820998966
-7,1,0.6562781023840216,hilo,pavo,sra,rctrl,rctrl,0.033434696309086576
-6,1,0.43014349589066114,carro,buho,sra,rctrl,rctrl,0.03334781375906459
-5,1,0.42934227674231806,hilo,serpiente,sra,rctrl,rctrl,0.03340927408407879
-4,1,0.4330947089647452,serpiente,hilo,sro,lctrl,rctrl,0.0334489439292156
-3,1,0.40292187973591354,serpiente,hilo,sro,lctrl,rctrl,0.03338636614353163
-2,1,0.4567485532379578,buho,carro,sro,lctrl,rctrl,0.03336569312523352
-1,1,0.47392112684701715,pavo,rueda,sro,lctrl,rctrl,0.03336485503041331
0,1,0.5133121667704472,violin,mapache,sra,rctrl,rctrl,0.033362061380103114
1,1,0.5947641390175704,hormiga,pato,wra,rctrl,rctrl,0.033386366144441126
2,1,0.47194182500788884,chancho,tornillo,nr,lctrl,rctrl,0.0334064804328591
3,1,0.46773263082286576,pinguino,clavo,nr,lctrl,rctrl,0.033420728052988125
4,1,0.4201209930306504,media,olla,wro,lctrl,rctrl,0.03334082963101537
5,1,0.4637108906299545,cama,mono,nr,rctrl,rctrl,0.03338161693773145
6,1,0.3893092557846103,cuchillo,tenedor,sro,lctrl,rctrl,0.033386086779501056
7,1,0.5674947514280575,candado,cebra,nr,rctrl,rctrl,0.033363178839863394
8,1,0.4940510595615706,regla,clavo,wro,lctrl,rctrl,0.03346207409049384
9,1,0.4253579714741136,pipa,cigarrillo,sro,lctrl,rctrl,0.033381616936821956
10,1,0.415384636874478,puerta,mono,nr,rctrl,rctrl,0.03340033439963008
11,1,0.4447682596528466,martillo,clavo,sro,lctrl,rctrl,0.033359826458763564
12,1,0.49315290071808704,sarten,olla,sro,lctrl,rctrl,0.033386086779501056
13,1,0.4356469886542982,cisne,pato,sra,rctrl,rctrl,0.03340927408407879
14,1,0.46543373529311793,gallo,cigarrillo,nr,lctrl,rctrl,0.03335032804443472
15,1,0.45513382287390414,tortuga,tornillo,nr,lctrl,rctrl,0.0333992169398698
16,1,0.46212297931742796,botella,vaso,sro,lctrl,rctrl,0.03336513439535338
17,1,0.42968198472135555,sombrero,tenedor,wro,lctrl,rctrl,0.03339893757492973
18,1,0.4321647024962658,rinoceronte,tenedor,nr,lctrl,rctrl,0.03333272804229637
19,0,0.42342308868865075,bowl,caballo,nr,lctrl,rctrl,0.03340452487736911
20,1,0.6027059305015428,peine,tornillo,wro,lctrl,rctrl,0.03335423915541469
21,1,0.43703180152806453,escarabajo,leon,wra,rctrl,rctrl,0.03335423915541469
22,1,0.3990417776558388,pincel,pato,nr,rctrl,rctrl,0.03340256932096963
23,1,0.43117016268752195,conejo,clavo,nr,lctrl,rctrl,0.033386645509381196
24,1,0.4519311811973239,oveja,cabra,sra,rctrl,rctrl,0.03339362963743042
25,1,0.4767002510097882,mariposa,vaso,nr,lctrl,rctrl,0.03340536297218932
26,1,0.38585993471224356,zorrino,zorro,sra,rctrl,rctrl,0.033376029634382576
27,1,0.5132574112076327,llave,zapato,wro,lctrl,rctrl,0.033380778842001746
28,1,0.4163610179502939,aguila,mono,wra,rctrl,rctrl,0.03356041061033466
29,1,0.4683779642382433,ciervo,tenedor,nr,lctrl,rctrl,0.03340759789352887
30,1,0.4481645013538582,raton,cabra,wra,rctrl,rctrl,0.03338804233499104
31,1,0.3990275300348003,pava,zorro,nr,rctrl,rctrl,0.03338105820785131
32,1,0.5062693722247786,pinza,mesa,wro,lctrl,rctrl,0.033369883602063055
33,1,0.49939531420841377,oso,olla,nr,lctrl,rctrl,0.03340061376457015
34,1,0.43059131817062735,cuchara,cigarrillo,wro,lctrl,rctrl,0.03355426457892463
35,1,0.3906122146809139,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03340955344901886
36,1,0.4136827445945528,serrucho,caballo,nr,rctrl,rctrl,0.033421845514567394
37,1,0.4605973664256453,camello,zapato,nr,lctrl,rctrl,0.03339279154170072
38,0,0.3757474762860511,mosca,zorro,wra,lctrl,rctrl,0.03333552169351606
39,1,0.42630641603864206,gorila,mono,sra,rctrl,rctrl,0.03335172487004456
40,1,0.41465102408255916,perro,gato,sra,rctrl,rctrl,0.03339027725633059
41,1,0.4075682803259042,escritorio,leon,nr,rctrl,rctrl,0.033378543920662196
42,1,0.49479724378397805,abeja,gato,wra,rctrl,rctrl,0.03337966138133197
43,1,0.39438923103352863,jarra,cabra,nr,rctrl,rctrl,0.03337351534901245
44,1,0.41035187433044484,jirafa,cebra,sra,rctrl,rctrl,0.0333793820163919
45,1,0.3810364166401996,tigre,leon,sra,rctrl,rctrl,0.033331889947476157
46,1,0.480993254729583,bota,zapato,sro,lctrl,rctrl,0.03333999153528566
47,1,0.5803039213087686,tijera,leon,nr,rctrl,rctrl,0.03340452487736911
48,1,0.4037865147665798,hacha,vaso,wro,lctrl,rctrl,0.03313242325475585
49,1,0.41031136638866883,ventana,cebra,nr,rctrl,rctrl,0.03341849313255807
50,1,0.3921121259818392,arana,caballo,wra,rctrl,rctrl,0.03343302011853666
51,1,0.3682007070729014,sapo,cebra,wra,rctrl,rctrl,0.0331500232568942
52,1,0.43137046747597196,canguro,mesa,nr,lctrl,rctrl,0.033295851846560254
53,1,0.5163354560427251,ardilla,vaso,nr,lctrl,rctrl,0.033375750269442506
54,1,0.5292049687877807,elefante,mesa,nr,lctrl,rctrl,0.03336178201425355
55,1,0.5686066245852999,sobre,gato,nr,rctrl,rctrl,0.033312893118818465
56,1,0.38601805536745815,tuerca,gato,nr,rctrl,rctrl,0.03340173122523993
57,1,0.430638530874603,copa,pato,nr,rctrl,rctrl,0.03339698201853025
58,1,0.4791854830709781,gallina,olla,nr,lctrl,rctrl,0.03334446137705527
59,1,0.42165051703523204,lapiz,zorro,nr,rctrl,rctrl,0.03341262646517862
60,1,0.47162390750781924,silla,mesa,sro,lctrl,rctrl,0.03337100106273283
61,1,0.5476648568464952,taza,cabra,nr,rctrl,rctrl,0.03350984552525915
62,1,0.41267339843489026,destornillador,tornillo,sro,lctrl,rctrl,0.033376029634382576
63,1,0.3932642277159175,burro,caballo,sra,rctrl,rctrl,0.03333635978833627
64,1,0.4779624225984662,avestruz,zapato,nr,lctrl,rctrl,0.03339307090755028
65,1,0.4795500545451432,mariposa,vaso,nr,lctrl,rctrl,0.033372118523402605
66,1,0.44894700304030266,tortuga,tornillo,nr,lctrl,rctrl,0.03340424551151955
67,1,0.5047686228272141,taza,cabra,nr,rctrl,rctrl,0.033484702665191435
68,1,0.4229654886303251,conejo,clavo,nr,lctrl,rctrl,0.03339754074841039
69,1,0.4779311337051695,canguro,mesa,nr,lctrl,rctrl,0.033369045507242845
70,1,0.4359811093308963,camello,zapato,nr,lctrl,rctrl,0.033355356616084464
71,1,0.5030843305503367,tuerca,gato,nr,rctrl,rctrl,0.03329026454412087
72,1,0.5599368076109386,gallo,cigarrillo,nr,lctrl,rctrl,0.033383293128281366
73,1,0.3600510679434592,cama,mono,nr,rctrl,rctrl,0.033362340745043184
74,1,0.47887315287243837,cuchara,cigarrillo,wro,lctrl,rctrl,0.03333468359778635
75,1,0.3768129748332285,sobre,gato,nr,rctrl,rctrl,0.03340759789261938
76,0,0.3436098722049792,hormiga,pato,wra,lctrl,rctrl,0.03341067090968863
77,1,0.4551930482784883,candado,cebra,nr,rctrl,rctrl,0.03338608677859156
78,1,0.38406473448503675,ventana,cebra,nr,rctrl,rctrl,0.03335340106059448
79,1,0.3695355135914724,zorrino,zorro,sra,rctrl,rctrl,0.03338608677859156
