Nombre,233
Apellido,19_19
Edad,19
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,No preferencia
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.1342053249791206,pavo,rueda,sro,rctrl,lctrl,0.03337379471395252
-8,1,0.5280196226058251,mapache,violin,sro,rctrl,lctrl,0.03335423915541469
-7,1,0.5162753925433208,hilo,serpiente,sra,lctrl,lctrl,0.033354239156324184
-6,1,0.43361265188741527,pavo,rueda,sro,rctrl,lctrl,0.03338161693773145
-5,1,0.5287448544440849,hilo,serpiente,sra,lctrl,lctrl,0.0333721185243121
-4,1,0.4840319090835692,mapache,violin,sro,rctrl,lctrl,0.03337966138133197
-3,1,0.5421024180441236,hilo,pavo,sra,lctrl,lctrl,0.03367969951523264
-2,1,0.4751260285875105,mapache,violin,sro,rctrl,lctrl,0.033384689952981716
-1,1,0.3844645059634786,pavo,rueda,sro,rctrl,lctrl,0.03340536297218932
0,1,0.3853026013084673,hilo,pavo,sra,lctrl,lctrl,0.03334557883772504
1,1,0.5167301989495172,ardilla,vaso,nr,rctrl,lctrl,0.03340871535419865
2,1,0.3407399543802967,arana,caballo,wra,lctrl,lctrl,0.03336820741151314
3,0,0.39425541514356155,candado,cebra,nr,rctrl,lctrl,0.033361502648403984
4,1,0.4515618605155396,mariposa,vaso,nr,rctrl,lctrl,0.0333874836051109
5,1,0.5384466461518969,destornillador,tornillo,sro,rctrl,lctrl,0.033385807414560986
6,1,0.3833101693098797,pava,zorro,nr,lctrl,lctrl,0.03324808041270444
7,0,0.48668811259540234,elefante,mesa,nr,lctrl,lctrl,0.03338804233499104
8,0,0.39976477457275905,sapo,cebra,wra,rctrl,lctrl,0.03339670265359018
9,0,0.47304894895842153,ventana,cebra,nr,rctrl,lctrl,0.033352283599924704
10,0,0.5262780604798536,hormiga,pato,wra,rctrl,lctrl,0.03338496931883128
11,1,0.5659182940844403,martillo,clavo,sro,rctrl,lctrl,0.03324947723740479
12,1,0.3799661688844935,gorila,mono,sra,lctrl,lctrl,0.033419610593227844
13,1,0.5020747050257341,pipa,cigarrillo,sro,rctrl,lctrl,0.03338022011121211
14,1,0.6227109870105778,raton,cabra,wra,lctrl,lctrl,0.03337463280877273
15,1,0.5132761286695313,regla,clavo,wro,rctrl,lctrl,0.03349895028532046
16,1,0.44444978342289687,pinguino,clavo,nr,rctrl,lctrl,0.03338971852554096
17,1,0.4979736251398208,pincel,pato,nr,lctrl,lctrl,0.03345648678805446
18,1,0.4345909885196306,gallina,olla,nr,rctrl,lctrl,0.0333360804233962
19,1,0.4914336878009635,chancho,tornillo,nr,rctrl,lctrl,0.033380778842001746
20,1,0.4275347844495627,zorrino,zorro,sra,lctrl,lctrl,0.03334893121882487
21,1,0.592153472019163,taza,cabra,nr,lctrl,lctrl,0.033376029634382576
22,1,0.4402467352692838,conejo,clavo,nr,rctrl,lctrl,0.03335004867949465
23,1,0.5229673045032541,bowl,caballo,nr,lctrl,lctrl,0.033378264555722126
24,1,0.5193154437229168,ciervo,tenedor,nr,rctrl,lctrl,0.03336485503041331
25,1,0.36016616636970866,jirafa,cebra,sra,lctrl,lctrl,0.03334893121973437
26,1,0.38524421399870334,hacha,vaso,wro,rctrl,lctrl,0.03335675344169431
27,1,0.4513322223911018,bota,zapato,sro,rctrl,lctrl,0.033381058206941816
28,1,0.6302099847880527,media,olla,wro,rctrl,lctrl,0.03336457566547324
29,1,0.4851722774819791,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03331317248466803
30,1,0.4028299686133323,botella,vaso,sro,rctrl,lctrl,0.03333105185083696
31,1,0.4722706377478971,sombrero,tenedor,wro,rctrl,lctrl,0.03358583283625194
32,1,0.38879941445065924,jarra,cabra,nr,lctrl,lctrl,0.03340173122614942
33,1,0.4906645956398279,rinoceronte,tenedor,nr,rctrl,lctrl,0.03341039154474856
34,0,0.4974704885671599,cisne,pato,sra,rctrl,lctrl,0.03332322962796752
35,1,0.4943698151582794,sarten,olla,sro,rctrl,lctrl,0.03338133757279138
36,1,0.406325664295764,perro,gato,sra,lctrl,lctrl,0.03337686773011228
37,1,0.5846935853578543,aguila,mono,wra,lctrl,lctrl,0.03356376299234398
38,1,0.429186391008443,tigre,leon,sra,lctrl,lctrl,0.03337351534901245
39,1,0.41274463653917337,burro,caballo,sra,lctrl,lctrl,0.03336513439535338
40,1,0.4787167084077737,peine,tornillo,wro,rctrl,lctrl,0.033377426460901916
41,1,0.5818714389679371,sobre,gato,nr,lctrl,lctrl,0.033431343927986745
42,1,0.6253954063995479,silla,mesa,sro,rctrl,lctrl,0.033375191539562366
43,1,0.3889332303406263,tuerca,gato,nr,lctrl,lctrl,0.03339782011425996
44,0,0.451963866915321,oveja,cabra,sra,rctrl,lctrl,0.0334218455136579
45,1,0.4134723826628033,escarabajo,leon,wra,lctrl,lctrl,0.033317642326437635
46,1,0.5701674374822687,llave,zapato,wro,rctrl,lctrl,0.033354518521264254
47,1,0.5326417184305683,cuchara,cigarrillo,wro,rctrl,lctrl,0.033380778842001746
48,1,0.5199931834913514,canguro,mesa,nr,rctrl,lctrl,0.0333712804276729
49,1,0.551401644622274,abeja,gato,wra,lctrl,lctrl,0.03333300740723644
50,1,0.6266955716437224,tijera,leon,nr,lctrl,lctrl,0.03340480424139969
51,1,0.4396664939258699,puerta,mono,nr,lctrl,lctrl,0.033301718513939704
52,1,0.44956914915201196,oso,olla,nr,rctrl,lctrl,0.03334921058376494
53,1,0.5825740422324088,tortuga,tornillo,nr,rctrl,lctrl,0.03340005503469001
54,0,0.4922664752084529,cuchillo,tenedor,sro,lctrl,lctrl,0.03339055662127066
55,0,0.5490742538504492,avestruz,zapato,nr,lctrl,lctrl,0.03326903279594262
56,1,0.6251498444626122,gallo,cigarrillo,nr,rctrl,lctrl,0.03334948994870501
57,1,0.5254611968839527,pinza,mesa,wro,rctrl,lctrl,0.033317642326437635
58,1,0.46006238223071705,escritorio,leon,nr,lctrl,lctrl,0.033355077251144394
59,1,0.8754534445015452,serrucho,caballo,nr,lctrl,lctrl,0.03335898836303386
60,1,0.5430293514964433,copa,pato,nr,lctrl,lctrl,0.03333300740814593
61,1,0.47742296856085886,camello,zapato,nr,rctrl,lctrl,0.03334669629748532
62,1,0.7812336484112166,lapiz,zorro,nr,lctrl,lctrl,0.0333793820163919
63,0,0.6969799234257152,cama,mono,nr,rctrl,lctrl,0.03338496931883128
64,1,0.5641647192596793,mosca,zorro,wra,lctrl,lctrl,0.033139407382805075
65,1,0.49752272984460433,escarabajo,leon,wra,lctrl,lctrl,0.03317265183159179
66,1,0.4809625245661664,cama,mono,nr,lctrl,lctrl,0.03339083598621073
67,1,0.393223719775051,tijera,leon,nr,lctrl,lctrl,0.033367369315783435
68,1,0.39877777762285405,raton,cabra,wra,lctrl,lctrl,0.033362899474923324
69,1,0.39136482430058095,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033261489938013256
70,1,0.393781891274557,conejo,clavo,nr,rctrl,lctrl,0.03340536297218932
71,1,0.43545227116828755,hacha,vaso,wro,rctrl,lctrl,0.03332462645448686
72,1,0.4144959764444138,jarra,cabra,nr,lctrl,lctrl,0.03335172487004456
73,1,0.44601115504883637,rinoceronte,tenedor,nr,rctrl,lctrl,0.033436651865486056
74,0,0.43838895725548355,silla,mesa,sro,lctrl,lctrl,0.033371559793522465
75,1,0.7346070520143257,burro,caballo,sra,lctrl,lctrl,0.033366531220963225
76,1,0.39343631662723055,pinguino,clavo,nr,rctrl,lctrl,0.03337966138133197
