Nombre,233
Apellido,8_21
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano izquierda
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.9351101885854405,pavo,rueda,sro,rctrl,lctrl,0.03330423280067407
-8,1,0.417351367282663,pavo,rueda,sro,rctrl,lctrl,0.03335479788665907
-7,1,0.4266659589416122,violin,mapache,sra,lctrl,lctrl,0.033405083606794506
-6,1,0.43833001121674897,hilo,serpiente,sra,lctrl,lctrl,0.03336429630007842
-5,1,0.3917123545029426,mapache,violin,sro,rctrl,lctrl,0.03337826455617687
-4,0,0.46816788167234336,serpiente,hilo,sro,lctrl,lctrl,0.033357591537424014
-3,1,0.6367384681575459,violin,mapache,sra,lctrl,lctrl,0.033367648681633
-2,1,0.6585102296521654,hilo,pavo,sra,lctrl,lctrl,0.03338943916060089
-1,1,0.5078310232165677,buho,carro,sro,rctrl,lctrl,0.03337910265145183
0,1,0.6040770544859697,carro,buho,sra,lctrl,lctrl,0.03337407407934734
1,1,0.5771973812311444,tuerca,gato,nr,lctrl,lctrl,0.03335954709336875
2,1,0.535837375979554,chancho,tornillo,nr,rctrl,lctrl,0.033350886774769606
3,1,0.5110596458489454,regla,clavo,wro,rctrl,lctrl,0.033348093123549916
4,1,0.4336688042753849,mosca,zorro,wra,lctrl,lctrl,0.033455928057719575
5,1,0.5267865049886495,bota,zapato,sro,rctrl,lctrl,0.03340256932096963
6,1,0.4987446728564464,silla,mesa,sro,rctrl,lctrl,0.033377985190782056
7,1,0.44648076780686097,tijera,leon,nr,lctrl,lctrl,0.03337072169779276
8,1,0.4392334779977318,serrucho,caballo,nr,lctrl,lctrl,0.03337630900023214
