Nombre,233
Apellido,8_43
Edad,19
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,Si
Trabaja?,No
Horas de sueño la noche anterior?,7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.7260249556857161,buho,carro,sro,rctrl,lctrl,0.03337575026989725
-8,1,0.5297480545714279,pavo,rueda,sro,rctrl,lctrl,0.03339167408148569
-7,1,0.5333515851871198,serpiente,hilo,sro,rctrl,lctrl,0.033384131223556324
-6,1,0.5142142367253655,buho,carro,sro,rctrl,lctrl,0.03337938201684665
-5,1,0.5009661842500464,serpiente,hilo,sro,rctrl,lctrl,0.03336262010952851
-4,1,0.5069085596073819,carro,buho,sra,lctrl,lctrl,0.033384689953436464
-3,1,0.5159904401257336,mapache,violin,sro,rctrl,lctrl,0.033527445527397504
-2,1,0.4184584912327409,buho,carro,sro,rctrl,lctrl,0.03337072169779276
-1,1,0.46919343100898914,serpiente,hilo,sro,rctrl,lctrl,0.03337267725373749
0,1,0.4241709491011534,serpiente,hilo,sro,rctrl,lctrl,0.033374912174622295
1,1,0.4932272118385299,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03338189630267152
2,1,0.5792599338747095,tuerca,gato,nr,lctrl,lctrl,0.033402010590634745
3,1,0.474130930047977,taza,cabra,nr,lctrl,lctrl,0.03338133757233663
4,0,0.3670676021674808,mariposa,vaso,nr,lctrl,lctrl,0.0333793820163919
5,1,0.47247652983833177,pinguino,clavo,nr,rctrl,lctrl,0.03342212487905272
6,1,0.47471983171044485,elefante,mesa,nr,rctrl,lctrl,0.03338692487432127
7,1,0.40226676854172183,tigre,leon,sra,lctrl,lctrl,0.033422404244447534
8,1,0.45481059743633523,zorrino,zorro,sra,lctrl,lctrl,0.03338049947660693
9,0,0.4498144317221886,ventana,cebra,nr,rctrl,lctrl,0.03337630899977739
10,1,0.5309512801209166,hacha,vaso,wro,rctrl,lctrl,0.03343525503942146
11,1,0.5155889924558323,jarra,cabra,nr,lctrl,lctrl,0.033384410588496394
