Nombre,317
Apellido,10_26
Edad,22
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,serpiente,hilo,sro,,lctrl,0.033095267694534414
-8,1,0.49601164393789077,hilo,pavo,sra,lctrl,lctrl,0.0333441820121152
-7,1,0.5661484909396677,hilo,pavo,sra,lctrl,lctrl,0.03340396614657948
-6,1,0.7002878857506403,pavo,rueda,sro,rctrl,lctrl,0.033398658209534915
-5,1,0.4525826606454757,hilo,pavo,sra,lctrl,lctrl,0.033380499477061676
-4,1,0.45802273752678957,buho,carro,sro,rctrl,lctrl,0.03340480424230918
-3,1,0.47627114619308486,hilo,serpiente,sra,lctrl,lctrl,0.03337435344428741
-2,1,0.4846596424968084,hilo,serpiente,sra,lctrl,lctrl,0.03338692487432127
-1,1,0.546251269365257,carro,buho,sra,lctrl,lctrl,0.033363458204803464
0,1,0.5758114508967083,pavo,rueda,sro,rctrl,lctrl,0.03338105820739656
1,1,1.3677330498708216,bota,zapato,sro,rctrl,lctrl,0.03340536297218932
2,1,0.5485149648911829,cama,mono,nr,lctrl,lctrl,0.033366531220963225
3,1,0.3670972148693181,tijera,leon,nr,lctrl,lctrl,0.03339698201853025
4,1,0.5517933145133611,conejo,clavo,nr,rctrl,lctrl,0.03338301376288655
5,1,0.39000487492103275,pincel,pato,nr,lctrl,lctrl,0.033363458204803464
6,1,0.523947596691869,sarten,olla,sro,rctrl,lctrl,0.03338496931883128
7,1,0.454007702096078,abeja,gato,wra,lctrl,lctrl,0.03340983281395893
8,1,0.4474775425369444,raton,cabra,wra,lctrl,lctrl,0.033384410588496394
9,1,0.41501531619223897,sobre,gato,nr,lctrl,lctrl,0.03340508360724925
10,1,0.43284802956804924,burro,caballo,sra,lctrl,lctrl,0.03350844869964931
11,1,0.38309086769413625,gorila,mono,sra,lctrl,lctrl,0.03338580741410624
12,1,0.4810787404539951,oso,olla,nr,rctrl,lctrl,0.03339530582798034
13,1,0.5396956875802061,silla,mesa,sro,rctrl,lctrl,0.03336513439535338
14,1,0.398790628417828,jirafa,cebra,sra,lctrl,lctrl,0.03321204231269803
15,1,0.3505557270545978,cisne,pato,sra,lctrl,lctrl,0.03338133757233663
16,1,0.4555430927675843,perro,gato,sra,lctrl,lctrl,0.03337994074672679
17,1,0.4038792639848907,tigre,leon,sra,lctrl,lctrl,0.033410950274173956
18,1,0.4135584271184598,hormiga,pato,wra,lctrl,lctrl,0.033414582020668604
19,1,0.5791132671893138,arana,caballo,wra,lctrl,lctrl,0.03338608677904631
20,1,0.5066805976739488,rinoceronte,tenedor,nr,rctrl,lctrl,0.033336639153731085
21,1,0.6479058092581909,botella,vaso,sro,rctrl,lctrl,0.03336038518818896
22,1,0.4541465465586043,oveja,cabra,sra,lctrl,lctrl,0.03340368678118466
23,1,0.5102207124091365,canguro,mesa,nr,rctrl,lctrl,0.033437769325246336
24,1,0.5089037852576439,tortuga,tornillo,nr,rctrl,lctrl,0.03337742646044717
25,1,0.4551651117667461,martillo,clavo,sro,rctrl,lctrl,0.03338133757233663
26,1,0.3737299014260316,zorrino,zorro,sra,lctrl,lctrl,0.03338133757233663
27,1,0.4737705490501867,ventana,cebra,nr,lctrl,lctrl,0.033383572493221436
28,1,0.5722322250453544,escritorio,leon,nr,lctrl,lctrl,0.03340145186029986
29,1,0.4441871802141577,ciervo,tenedor,nr,rctrl,lctrl,0.03340228995602956
30,1,0.39386039287137464,puerta,mono,nr,lctrl,lctrl,0.03338301376288655
31,1,0.4329153565604429,chancho,tornillo,nr,rctrl,lctrl,0.03337072169779276
32,1,0.5150148971447379,llave,zapato,wro,rctrl,lctrl,0.03334055026562055
33,1,0.5925202784151224,cuchara,cigarrillo,wro,rctrl,lctrl,0.03340815662340901
34,1,0.5045624513727489,candado,cebra,nr,lctrl,lctrl,0.03340089313041972
35,1,0.8614642363763778,mariposa,vaso,nr,rctrl,lctrl,0.03338273439749173
36,1,0.5963841773186687,avestruz,zapato,nr,rctrl,lctrl,0.03337854392111694
37,1,0.6030685464215821,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033393350272035605
38,1,0.5014486478030449,regla,clavo,wro,rctrl,lctrl,0.03336010582324889
39,1,0.4485324252104874,pipa,cigarrillo,sro,rctrl,lctrl,0.03337128042812765
40,1,0.4270612605791939,peine,tornillo,wro,rctrl,lctrl,0.033359267728428676
41,1,0.4040312386068763,copa,pato,nr,lctrl,lctrl,0.03338915979520607
42,1,0.49302718641592946,destornillador,tornillo,sro,rctrl,lctrl,0.033384969318376534
43,1,0.42011484699878565,taza,cabra,nr,lctrl,lctrl,0.03336094391897859
44,1,0.714731900283823,serrucho,caballo,nr,lctrl,lctrl,0.033381616937276704
45,1,0.5813716547772856,pava,zorro,nr,lctrl,lctrl,0.03338357249276669
46,1,0.5149741098380218,gallo,cigarrillo,nr,rctrl,lctrl,0.033317083595648
47,1,0.39315974516330243,aguila,mono,wra,lctrl,lctrl,0.03338273439794648
48,1,0.5328512422665881,ardilla,vaso,nr,rctrl,lctrl,0.03343246138820177
49,1,0.5090532455942594,sombrero,tenedor,wro,rctrl,lctrl,0.03338552804916617
50,1,0.5501188000152979,lapiz,zorro,nr,lctrl,lctrl,0.03336653122141797
51,1,0.7124617793601828,cuchillo,tenedor,sro,rctrl,lctrl,0.03339977566974994
52,1,0.6094869599346566,pinza,mesa,wro,rctrl,lctrl,0.03339698201853025
53,1,0.40293500989673703,sapo,cebra,wra,lctrl,lctrl,0.03340089313041972
54,1,0.4122171952021745,tuerca,gato,nr,lctrl,lctrl,0.033363458204803464
55,1,0.4685852531533783,gallina,olla,nr,rctrl,lctrl,0.03338133757233663
56,1,0.40430306086364,elefante,mesa,nr,rctrl,lctrl,0.033384969318376534
57,1,0.594748215205982,media,olla,wro,rctrl,lctrl,0.03335870899809379
58,1,0.38682067134232057,bowl,caballo,nr,lctrl,lctrl,0.033369324872182915
59,1,0.6224531330099126,camello,zapato,nr,rctrl,lctrl,0.03339390900237049
60,1,0.449052603054497,hacha,vaso,wro,rctrl,lctrl,0.03339195344642576
61,1,0.398396444240916,mosca,zorro,wra,lctrl,lctrl,0.03339251217676065
62,1,0.5796633371001008,escarabajo,leon,wra,lctrl,lctrl,0.03340340741624459
63,1,0.6446140501093396,jarra,cabra,nr,lctrl,lctrl,0.03324528676148475
64,1,0.551744146252986,pinguino,clavo,nr,rctrl,lctrl,0.03339139471609087
65,1,0.6408306083594653,elefante,mesa,nr,rctrl,lctrl,0.03336876614184803
66,1,0.5939377770077954,camello,zapato,nr,rctrl,lctrl,0.033386924874776014
67,1,0.43385681699783163,cuchillo,tenedor,sro,rctrl,lctrl,0.03340173122523993
68,1,0.40696708659925207,sombrero,tenedor,wro,rctrl,lctrl,0.03340228995602956
69,1,0.4768005430860285,tuerca,gato,nr,lctrl,lctrl,0.03337407407934734
70,1,0.5460629772778702,zorrino,zorro,sra,lctrl,lctrl,0.03338245503255166
71,1,0.5248035714034813,pipa,cigarrillo,sro,rctrl,lctrl,0.033383851858161506
72,1,0.53603628394103,ciervo,tenedor,nr,rctrl,lctrl,0.033381058206941816
73,1,0.4799168609415574,tijera,leon,nr,lctrl,lctrl,0.03339726138392507
74,1,0.7194548469151414,escritorio,leon,nr,lctrl,lctrl,0.033399216939415055
75,1,0.44090799249670454,canguro,mesa,nr,rctrl,lctrl,0.03334138836089551
76,1,0.41864929760640734,bowl,caballo,nr,lctrl,lctrl,0.03337630899977739
77,1,0.465794116291363,jirafa,cebra,sra,lctrl,lctrl,0.03338133757233663
78,1,0.6066134103634795,silla,mesa,sro,rctrl,lctrl,0.03343329948347673
79,1,0.615405309893049,taza,cabra,nr,lctrl,lctrl,0.033482747108791955
80,1,0.5689871198715082,burro,caballo,sra,lctrl,lctrl,0.033384689953436464
81,1,0.5040081909855871,escarabajo,leon,wra,lctrl,lctrl,0.03337547090495718
82,1,0.34101345282715556,regla,clavo,wro,rctrl,lctrl,0.03336681058635804
83,1,0.30811904864958706,hormiga,pato,wra,lctrl,lctrl,0.03340983281395893
84,1,0.42984625140888966,peine,tornillo,wro,rctrl,lctrl,0.03338720423926134
85,1,0.6397869002903462,tortuga,tornillo,nr,rctrl,lctrl,0.033413464560453576
86,1,0.6285318385434948,mosca,zorro,wra,lctrl,lctrl,0.033380778842001746
87,1,0.5406986083430638,sapo,cebra,wra,lctrl,lctrl,0.03339167408148569
88,1,0.5864410141512053,gorila,mono,sra,lctrl,lctrl,0.03335954709336875
89,1,0.7786511972890366,mariposa,vaso,nr,rctrl,lctrl,0.03336820741196789
90,1,0.7263861747792362,bota,zapato,sro,rctrl,lctrl,0.033365693126143015
91,1,0.4889990208253039,media,olla,wro,rctrl,lctrl,0.033381896302216774
92,1,0.614207951010485,avestruz,zapato,nr,rctrl,lctrl,0.03338552804871142
93,1,0.5468301138830611,sarten,olla,sro,rctrl,lctrl,0.03338329312782662
94,1,0.6550625847698939,ventana,cebra,nr,lctrl,lctrl,0.03337547090495718
95,1,0.47585796518796997,aguila,mono,wra,lctrl,lctrl,0.033380778842001746
96,1,0.5235687775957558,hacha,vaso,wro,rctrl,lctrl,0.03336876614184803
97,1,0.5495637015319517,lapiz,zorro,nr,lctrl,lctrl,0.03337602963529207
98,1,0.574740365046182,ardilla,vaso,nr,rctrl,lctrl,0.033389997890935774
99,1,0.5153059955946446,serrucho,caballo,nr,lctrl,lctrl,0.033389718525995704
100,1,0.5899367098327275,cuchara,cigarrillo,wro,rctrl,lctrl,0.033385807414560986
101,1,0.39743598697532434,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033362899474923324
102,1,0.4774495082474459,pincel,pato,nr,lctrl,lctrl,0.03337016296791262
103,1,0.7543450354723973,sobre,gato,nr,lctrl,lctrl,0.03339083598621073
104,1,0.5551842482773282,botella,vaso,sro,rctrl,lctrl,0.03339670265268069
105,1,0.589414855798168,chancho,tornillo,nr,rctrl,lctrl,0.03338161693773145
106,1,0.5409352305950961,pinza,mesa,wro,rctrl,lctrl,0.03339558519292041
107,1,0.554388895795455,abeja,gato,wra,lctrl,lctrl,0.03340759789352887
108,1,0.6198156469608875,pava,zorro,nr,lctrl,lctrl,0.03339251217676065
109,1,0.5688491135051663,tigre,leon,sra,lctrl,lctrl,0.03356013124630408
110,1,0.5119991507299346,oso,olla,nr,rctrl,lctrl,0.0333712804276729
111,1,0.5173596085533063,pinguino,clavo,nr,rctrl,lctrl,0.033433858214266365
112,1,0.4654658622812349,arana,caballo,wra,lctrl,lctrl,0.03333021375601675
113,1,0.5275785050889681,cama,mono,nr,lctrl,lctrl,0.0333874836051109
114,1,0.5282048416765974,raton,cabra,wra,lctrl,lctrl,0.033360943918523844
115,1,0.5188357738206832,gallina,olla,nr,rctrl,lctrl,0.03340620106700953
116,1,0.5053876959227637,candado,cebra,nr,lctrl,lctrl,0.03338580741365149
117,1,0.6207992915306022,puerta,mono,nr,lctrl,lctrl,0.03337295661913231
118,1,0.5275198384151736,martillo,clavo,sro,rctrl,lctrl,0.03334585820266511
119,1,0.588634309668123,gallo,cigarrillo,nr,rctrl,lctrl,0.03345034075573494
120,1,0.4316629627510338,perro,gato,sra,lctrl,lctrl,0.033357032807543874
121,1,0.5273846256995967,llave,zapato,wro,rctrl,lctrl,0.033376029634382576
122,1,0.5361052871239735,jarra,cabra,nr,lctrl,lctrl,0.033383572493221436
123,1,0.4822763787024087,oveja,cabra,sra,lctrl,lctrl,0.03339139471609087
124,1,0.3924110466559796,cisne,pato,sra,lctrl,lctrl,0.033308702642898425
125,1,0.5100178933353163,destornillador,tornillo,sro,rctrl,lctrl,0.0333902772554211
126,1,0.513639023954056,conejo,clavo,nr,rctrl,lctrl,0.03337016296791262
127,1,0.4852555282859612,copa,pato,nr,lctrl,lctrl,0.033386366144441126
128,1,0.8221947202782758,rinoceronte,tenedor,nr,rctrl,lctrl,0.03338189630267152
129,1,0.6768583716639114,abeja,gato,wra,lctrl,lctrl,0.033383851858161506
