Nombre,317
Apellido,12_14
Edad,19
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano izquierda
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.8401565003387077,pavo,rueda,sro,rctrl,lctrl,0.03340759789352887
-8,1,0.5843192361044203,pavo,rueda,sro,rctrl,lctrl,0.0332232169166673
-7,1,0.6713336471530056,serpiente,hilo,sro,rctrl,lctrl,0.03317013754531217
-6,1,0.5470538853387552,serpiente,hilo,sro,rctrl,lctrl,0.03334641693254525
-5,1,0.6609510426605993,pavo,rueda,sro,rctrl,lctrl,0.033414302655728534
-4,1,0.6160389099732129,violin,mapache,sra,lctrl,lctrl,0.03339530582888983
-3,1,0.6528681717918516,buho,carro,sro,rctrl,lctrl,0.03345034075573494
-2,1,0.511090376012362,pavo,rueda,sro,rctrl,lctrl,0.03335340106059448
-1,1,0.4574204263390129,pavo,rueda,sro,rctrl,lctrl,0.03340592170206946
0,1,0.5471022155052196,mapache,violin,sro,rctrl,lctrl,0.03328523597156163
1,1,0.5094479885010514,oveja,cabra,sra,lctrl,lctrl,0.03339698201853025
2,1,0.44371421507457853,arana,caballo,wra,lctrl,lctrl,0.0330921946788294
3,1,0.49991577141736343,rinoceronte,tenedor,nr,rctrl,lctrl,0.03336122328437341
4,1,0.5344215535769763,abeja,gato,wra,lctrl,lctrl,0.03340089313132921
5,1,0.42677519070093695,perro,gato,sra,lctrl,lctrl,0.03329110263985058
6,1,0.47230360283356276,bota,zapato,sro,rctrl,lctrl,0.03340089312951022
7,1,0.5119178554832615,bowl,caballo,nr,lctrl,lctrl,0.03323327406178578
8,1,0.4904757448221062,avestruz,zapato,nr,rctrl,lctrl,0.03334697566242539
