Nombre,317
Apellido,12_28
Edad,19
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,No preferencia
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.2250470381004561,violin,mapache,sra,rctrl,rctrl,0.03339195344597101
-8,1,0.5664046687488735,pavo,rueda,sro,lctrl,rctrl,0.03340340741669934
-7,1,0.5993342729307187,buho,carro,sro,lctrl,rctrl,0.03336234074413369
-6,1,0.5327875470211438,buho,carro,sro,lctrl,rctrl,0.03338580741365149
-5,1,0.44588767566892784,pavo,rueda,sro,lctrl,rctrl,0.0333712804276729
-4,1,0.4439410595496156,hilo,serpiente,sra,rctrl,rctrl,0.033359547092914
-3,1,0.4280616670548625,pavo,rueda,sro,lctrl,rctrl,0.03335032804534421
-2,1,0.6187741738121986,mapache,violin,sro,lctrl,rctrl,0.03341122964047827
-1,1,0.5344486519934435,hilo,serpiente,sra,rctrl,rctrl,0.03339558519292041
0,1,0.5129109984645766,mapache,violin,sro,lctrl,rctrl,0.03341262646608811
1,1,0.5380952048362815,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03336010582279414
2,1,0.501512063685368,hacha,vaso,wro,lctrl,rctrl,0.033379382015482406
3,1,0.46233445870893775,mariposa,vaso,nr,lctrl,rctrl,0.0333874836051109
4,1,0.5312870769903384,escarabajo,leon,wra,rctrl,rctrl,0.03338245503255166
5,1,0.5086341979204008,mosca,zorro,wra,rctrl,rctrl,0.03338468995389121
6,1,0.494515923111976,copa,pato,nr,rctrl,rctrl,0.03337910265145183
7,1,0.5081056391245511,burro,caballo,sra,rctrl,rctrl,0.03343525503987621
8,1,0.44576922485975956,raton,cabra,wra,rctrl,rctrl,0.03340340741488035
9,1,0.4373407793445949,martillo,clavo,sro,lctrl,rctrl,0.03340256932096963
10,1,0.6827971152742975,peine,tornillo,wro,lctrl,rctrl,0.03340508360633976
11,1,0.49782947274070466,taza,cabra,nr,rctrl,rctrl,0.03336122328437341
12,1,0.41513432573083264,jarra,cabra,nr,rctrl,rctrl,0.03336736931669293
