Nombre,317
Apellido,13_56
Edad,25
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.2583065724832068,buho,carro,sro,lctrl,rctrl,0.03335787090259146
-8,1,0.5294664545356227,mapache,violin,sro,lctrl,rctrl,0.033376867730339654
-7,1,0.5101058933466902,buho,carro,sro,lctrl,rctrl,0.033377705825841986
-6,1,0.5257584413661789,hilo,pavo,sra,rctrl,rctrl,0.0333570328073165
-5,1,0.5137647382559862,violin,mapache,sra,rctrl,rctrl,0.03339362963720305
-4,1,0.5002219555835836,serpiente,hilo,sro,lctrl,rctrl,0.03337854392111694
-3,1,0.576740339903381,violin,mapache,sra,rctrl,rctrl,0.03332071534214265
-2,1,0.5697070437722687,carro,buho,sra,rctrl,rctrl,0.03335172487004456
-1,1,0.43418479164256496,mapache,violin,sro,lctrl,rctrl,0.03338468995366384
0,1,0.49969702853286435,hilo,serpiente,sra,rctrl,rctrl,0.033331610581853965
1,1,0.589153090686068,burro,caballo,sra,rctrl,rctrl,0.03335898836303386
2,0,0.44560998674410257,canguro,mesa,nr,rctrl,rctrl,0.033363458204803464
3,1,0.5909924306022276,regla,clavo,wro,lctrl,rctrl,0.033351166139709676
4,1,0.656668654815121,raton,cabra,wra,rctrl,rctrl,0.03338133757210926
5,1,0.5593375694397764,aguila,mono,wra,rctrl,rctrl,0.03336094391875122
6,1,0.49833624105849594,oveja,cabra,sra,rctrl,rctrl,0.03336010582347626
7,1,0.49647287574248367,pinguino,clavo,nr,lctrl,rctrl,0.03338329312805399
8,1,0.6685805039467141,cuchillo,tenedor,sro,lctrl,rctrl,0.03338413122332895
9,1,0.8048330164867821,cisne,pato,sra,rctrl,rctrl,0.033388880430266
10,1,0.5810302706070161,oso,olla,nr,lctrl,rctrl,0.033363178839863394
11,1,0.49955371422902317,conejo,clavo,nr,lctrl,rctrl,0.03338804233499104
12,1,0.5924847990456783,rinoceronte,tenedor,nr,lctrl,rctrl,0.033386645509381196
13,1,0.8111346553821477,tortuga,tornillo,nr,lctrl,rctrl,0.03349392171344334
14,1,0.6613172903259965,mariposa,vaso,nr,lctrl,rctrl,0.03335982645830882
15,1,0.42213186312778817,arana,caballo,wra,rctrl,rctrl,0.033360105823703634
16,1,0.6320155215257728,escritorio,leon,nr,rctrl,rctrl,0.033361502649086106
17,1,0.9864915792370539,sobre,gato,nr,rctrl,rctrl,0.03341206773484373
18,1,0.5237084601535571,sapo,cebra,wra,rctrl,rctrl,0.03338580741410624
19,1,0.6752536984447488,avestruz,zapato,nr,lctrl,rctrl,0.03332071534237002
20,1,0.5176381355731792,tigre,leon,sra,rctrl,rctrl,0.03335535661653921
21,1,0.5730552346738023,gallo,cigarrillo,nr,lctrl,rctrl,0.03337016296745787
22,1,0.5681847832613585,gallina,olla,nr,lctrl,rctrl,0.03338915979543344
23,1,0.5359602966298098,ardilla,vaso,nr,lctrl,rctrl,0.03337044233285269
24,1,0.6172971704504562,escarabajo,leon,wra,rctrl,rctrl,0.03339418836731056
25,1,0.5922434275864816,abeja,gato,wra,rctrl,rctrl,0.03335982645830882
26,1,0.5638864716047465,zorrino,zorro,sra,rctrl,rctrl,0.033386645509381196
27,1,0.539169084338937,pava,zorro,nr,rctrl,rctrl,0.03336066455381115
28,1,0.6684844023473033,elefante,mesa,nr,lctrl,rctrl,0.03335926772797393
29,1,0.4601210489042842,jirafa,cebra,sra,rctrl,rctrl,0.033388880430266
30,1,0.3630983826158172,hacha,vaso,wro,lctrl,rctrl,0.03339977566974994
31,1,0.578952073517712,chancho,tornillo,nr,lctrl,rctrl,0.03338161693750408
32,1,0.42837511471429934,bota,zapato,sro,lctrl,rctrl,0.03343357884887155
33,1,0.5055768261049707,sombrero,tenedor,wro,lctrl,rctrl,0.03336373756997091
34,1,0.5796957434533851,ventana,cebra,nr,rctrl,rctrl,0.03339251217676065
35,1,0.5264747335206721,mosca,zorro,wra,rctrl,rctrl,0.03341737567211567
36,1,0.5805145626050034,taza,cabra,nr,rctrl,rctrl,0.033388601065098555
37,1,0.5379510524380748,tijera,leon,nr,rctrl,rctrl,0.033413464560453576
38,1,0.5212796598450495,puerta,mono,nr,rctrl,rctrl,0.033386645509381196
39,1,0.5925370403222132,sarten,olla,sro,lctrl,rctrl,0.03339055662104329
40,1,0.629775013304652,copa,pato,nr,rctrl,rctrl,0.03339362963720305
41,1,0.46801842133550053,llave,zapato,wro,lctrl,rctrl,0.03335647407698161
42,1,0.5202759009873716,perro,gato,sra,rctrl,rctrl,0.03338161693750408
43,1,0.3740944729008788,camello,zapato,nr,lctrl,rctrl,0.033355635981706655
44,1,0.6132550366039595,hormiga,pato,wra,rctrl,rctrl,0.03338971852576833
45,1,0.6430957007105462,serrucho,caballo,nr,rctrl,rctrl,0.03340675979779917
46,1,0.578698689358589,pipa,cigarrillo,sro,lctrl,rctrl,0.03337910265145183
47,1,0.5738053300069623,ciervo,tenedor,nr,lctrl,rctrl,0.03340843598834908
48,1,0.6921957958345502,silla,mesa,sro,lctrl,rctrl,0.03336513439558075
49,1,0.5123522682351904,martillo,clavo,sro,lctrl,rctrl,0.03341178836990366
50,1,0.5262783398447937,peine,tornillo,wro,lctrl,rctrl,0.03337882328605701
51,1,0.6861025633147619,cama,mono,nr,rctrl,rctrl,0.033271267716827424
52,1,0.5308372991539727,tuerca,gato,nr,rctrl,rctrl,0.03339055662104329
53,1,0.6454574533916002,cuchara,cigarrillo,wro,lctrl,rctrl,0.033136334366645315
