Nombre,317
Apellido,13_57
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,No preferencia
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.7677604276521492,buho,carro,sro,lctrl,rctrl,0.03338189630250099
-8,1,0.4910668814052883,carro,buho,sra,rctrl,rctrl,0.03341625821155958
-7,1,0.4092148583129642,buho,carro,sro,lctrl,rctrl,0.033267077240282106
-6,1,0.8298901117320838,mapache,violin,sro,lctrl,rctrl,0.03338301376294339
-5,1,0.8845238710506464,carro,buho,sra,rctrl,rctrl,0.0333872042396024
-4,1,1.1941459040185691,mapache,violin,sro,lctrl,rctrl,0.0333763090001753
-3,1,1.5207382502524638,carro,buho,sra,rctrl,rctrl,0.033379382016448744
-2,1,0.6702642374938819,hilo,pavo,sra,rctrl,rctrl,0.03334865185382796
-1,1,0.2711554122102484,hilo,serpiente,sra,rctrl,rctrl,0.033384969318717594
0,1,0.27888795922388,pavo,rueda,sro,lctrl,rctrl,0.03335340106076501
1,1,0.5704568597405455,ardilla,vaso,nr,lctrl,rctrl,0.03338804233499104
2,1,0.4906699035771567,sombrero,tenedor,wro,lctrl,rctrl,0.033367648681633
3,1,0.3990264125747558,hacha,vaso,wro,lctrl,rctrl,0.033215394694025235
4,0,0.4283441051865111,pipa,cigarrillo,sro,rctrl,rctrl,0.033384410588496394
5,1,0.5732611267633274,sobre,gato,nr,rctrl,rctrl,0.03338161693739039
6,1,0.5754988413332285,escritorio,leon,nr,rctrl,rctrl,0.033385528048938795
7,1,0.5383625572523556,silla,mesa,sro,lctrl,rctrl,0.0333802201117237
8,1,0.4462748757174495,sapo,cebra,wra,rctrl,rctrl,0.033403128051190834
9,1,0.47103221219458646,media,olla,wro,lctrl,rctrl,0.033403407416301434
10,1,0.5274902257129952,elefante,mesa,nr,lctrl,rctrl,0.03335870899792326
