Nombre,317
Apellido,14_55
Edad,19
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,Menos de 5
Dibujar,Alta preferencia de mano izquierda
Arrojar un objeto,Alta preferencia de mano izquierda
Escribir,Alta preferencia de mano izquierda
Usar tijeras,Alta preferencia de mano izquierda
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano izquierda
Encender un fósforo,Alta preferencia de mano izquierda
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.738194100088208,mapache,violin,sro,lctrl,rctrl,0.03321679151963508
-8,1,0.6030953654724271,buho,carro,sro,lctrl,rctrl,0.03338580741399255
-7,1,0.5870254459714488,carro,buho,sra,rctrl,rctrl,0.03337994074672679
-6,1,0.44706771391338407,hilo,serpiente,sra,rctrl,rctrl,0.03341122963945509
-5,1,0.6958373201063068,buho,carro,sro,lctrl,rctrl,0.033379661381559345
-4,1,0.48275828352484496,hilo,serpiente,sra,rctrl,rctrl,0.03334725502816127
-3,1,0.595417015290991,violin,mapache,sra,rctrl,rctrl,0.033355077251485454
-2,1,0.5940595801980635,hilo,serpiente,sra,rctrl,rctrl,0.03342072805344287
-1,1,0.6110603442616593,serpiente,hilo,sro,lctrl,rctrl,0.03335395979104305
0,1,0.5345274329558833,buho,carro,sro,lctrl,rctrl,0.033387483604656154
1,1,0.6557040070734956,destornillador,tornillo,sro,lctrl,rctrl,0.03325422644502396
2,1,0.5533069147055585,pinguino,clavo,nr,lctrl,rctrl,0.03338301376288655
3,1,0.47302240927274397,puerta,mono,nr,rctrl,rctrl,0.03338915979543344
4,1,0.5187595071440683,llave,zapato,wro,lctrl,rctrl,0.033376309000118454
5,1,0.5777200733613199,bowl,caballo,nr,rctrl,rctrl,0.03340201059074843
6,1,0.5657179892975819,conejo,clavo,nr,lctrl,rctrl,0.03338049947694799
7,1,0.46473448441076926,pava,zorro,nr,rctrl,rctrl,0.03337575027001094
8,1,0.5610685156912041,pinza,mesa,wro,lctrl,rctrl,0.033529680448282306
9,1,0.4991346665567562,pincel,pato,nr,rctrl,rctrl,0.033419331227946714
10,1,0.5423264688669178,sombrero,tenedor,wro,lctrl,rctrl,0.033409553448791485
11,1,0.5545699243898525,gallina,olla,nr,lctrl,rctrl,0.033407597893074126
12,1,0.59700408850847,tijera,leon,nr,rctrl,rctrl,0.03337211852351629
13,1,0.4510576064834595,arana,caballo,wra,rctrl,rctrl,0.03337323598395869
14,1,0.5242060094229828,jarra,cabra,nr,rctrl,rctrl,0.033367648681633
15,1,0.4950176628593681,martillo,clavo,sro,lctrl,rctrl,0.033356194711927856
16,1,0.5995306666070519,mariposa,vaso,nr,lctrl,rctrl,0.033384410588496394
