Nombre,317
Apellido,18_33
Edad,24
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.4683416467732968,violin,mapache,sra,rctrl,rctrl,0.03337686773011228
-8,1,0.6262667461924138,pavo,rueda,sro,lctrl,rctrl,0.033399216939415055
-7,1,0.3242722189552296,violin,mapache,sra,rctrl,rctrl,0.033565997913228784
-6,1,0.7798971657011862,mapache,violin,sro,lctrl,rctrl,0.0333654137607482
-5,1,0.3168087005469715,violin,mapache,sra,rctrl,rctrl,0.033363458204803464
-4,0,0.4873613825220673,hilo,pavo,sra,lctrl,rctrl,0.03337351534901245
-3,1,0.857067867564183,hilo,pavo,sra,rctrl,rctrl,0.03337966138133197
-2,1,0.678441533770183,buho,carro,sro,lctrl,rctrl,0.0333779851912368
-1,1,0.5856431473830526,hilo,pavo,sra,rctrl,rctrl,0.03340089313041972
0,1,0.603494857586611,hilo,pavo,sra,rctrl,rctrl,0.03336094391897859
1,1,0.8815902579799513,pinza,mesa,wro,lctrl,rctrl,0.03336010582324889
2,1,0.6761434763357101,gallo,cigarrillo,nr,lctrl,rctrl,0.03338022011166686
3,1,0.5661979385645282,avestruz,zapato,nr,lctrl,rctrl,0.03339223281182058
4,1,0.48720493805785736,escritorio,leon,nr,rctrl,rctrl,0.033455648692779505
5,1,0.9087414741256907,ciervo,tenedor,nr,lctrl,rctrl,0.03340983281395893
6,1,0.6145633034366256,sapo,cebra,wra,rctrl,rctrl,0.03338329312782662
7,1,0.491283948099408,camello,zapato,nr,lctrl,rctrl,0.03334390264672038
8,1,0.6205998248383366,escarabajo,leon,wra,rctrl,rctrl,0.03316147722671303
9,1,0.4984655871066934,hormiga,pato,wra,rctrl,rctrl,0.03336569312568827
10,1,0.5403239797237802,conejo,clavo,nr,lctrl,rctrl,0.03336122328437341
11,1,0.6547723244157169,pinguino,clavo,nr,lctrl,rctrl,0.03334446137705527
12,1,0.4558029023241943,burro,caballo,sra,rctrl,rctrl,0.033386645509381196
13,1,1.3737525300002744,raton,cabra,wra,rctrl,rctrl,0.03337183915800779
14,1,0.5376518524003586,zorrino,zorro,sra,rctrl,rctrl,0.03337100106318758
15,1,0.5078285089307428,ardilla,vaso,nr,lctrl,rctrl,0.033417096306948224
16,1,0.6471213520153469,sarten,olla,sro,lctrl,rctrl,0.033198912152329285
17,1,0.5810542960070961,jarra,cabra,nr,rctrl,rctrl,0.03333971217034559
18,1,0.44659865988569436,tigre,leon,sra,rctrl,rctrl,0.03331680423070793
19,1,0.5360636617224372,taza,cabra,nr,rctrl,rctrl,0.03337547090495718
20,1,0.5252564222550973,tuerca,gato,nr,rctrl,rctrl,0.03337072169779276
21,1,0.3935933198213206,llave,zapato,wro,lctrl,rctrl,0.03337882328605701
22,1,0.45036673655431514,oveja,cabra,sra,rctrl,rctrl,0.03337602963529207
23,1,0.5000314285757668,copa,pato,nr,rctrl,rctrl,0.03333216931196148
24,1,0.6637530747625533,lapiz,zorro,nr,rctrl,rctrl,0.033437210595366196
25,1,0.4291263275081292,bowl,caballo,nr,rctrl,rctrl,0.03334529947278497
26,1,0.3704375835477549,mosca,zorro,wra,rctrl,rctrl,0.033350886774769606
27,1,0.3949423739609301,martillo,clavo,sro,lctrl,rctrl,0.03334613756760518
28,1,0.3429097832267871,perro,gato,sra,rctrl,rctrl,0.03317600421269162
29,1,0.3506912191351148,ventana,cebra,nr,rctrl,rctrl,0.0334863788552866
30,1,0.4502002349458962,gorila,mono,sra,rctrl,rctrl,0.03339809947874528
31,1,0.4180679388023236,pincel,pato,nr,rctrl,rctrl,0.03338580741410624
32,1,0.40495509904167193,chancho,tornillo,nr,lctrl,rctrl,0.03335200423543938
33,1,0.35169246370696783,arana,caballo,wra,rctrl,rctrl,0.03341206773484373
34,1,0.3825069946037729,jirafa,cebra,sra,rctrl,rctrl,0.03333216931241623
35,1,0.8283147718493638,regla,clavo,wro,lctrl,rctrl,0.03336820741196789
36,1,0.4444972754918126,tortuga,tornillo,nr,lctrl,rctrl,0.03365679157559498
37,1,0.581976200885947,pipa,cigarrillo,sro,lctrl,rctrl,0.03337519154001711
38,1,0.4497990666413898,oso,olla,nr,lctrl,rctrl,0.03334948994915976
39,1,0.5547392196494911,cisne,pato,sra,rctrl,rctrl,0.0334028486859097
40,1,0.5520698859772892,destornillador,tornillo,sro,lctrl,rctrl,0.03337100106273283
41,1,0.3783441750279053,aguila,mono,wra,rctrl,rctrl,0.03335312169565441
42,1,0.6083072010546857,tijera,leon,nr,rctrl,rctrl,0.03339977566974994
43,1,0.5043057148327534,candado,cebra,nr,rctrl,rctrl,0.03340648043240435
44,1,0.776951819295391,peine,tornillo,wro,lctrl,rctrl,0.03366573125913419
45,1,0.45201135898560096,canguro,mesa,nr,lctrl,rctrl,0.03314890579667917
46,1,0.5170109608902749,abeja,gato,wra,rctrl,rctrl,0.03339167408148569
47,1,0.355423664180762,sobre,gato,nr,rctrl,rctrl,0.033386086779501056
48,1,0.5493821142072193,sombrero,tenedor,wro,lctrl,rctrl,0.03337267725373749
49,1,0.7671628656712528,puerta,mono,nr,rctrl,rctrl,0.03330590899122399
50,1,0.4667081989473445,cama,mono,nr,rctrl,rctrl,0.033404524876914365
51,1,0.5501995365334551,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03339782011380521
52,1,0.556643092907052,cuchara,cigarrillo,wro,lctrl,rctrl,0.03332965502568186
53,1,0.6057130165986564,bota,zapato,sro,lctrl,rctrl,0.033381896302216774
54,1,0.6100660838178555,botella,vaso,sro,lctrl,rctrl,0.0333288169304069
55,1,0.6228020600383388,cuchillo,tenedor,sro,lctrl,rctrl,0.03339418836731056
56,1,0.45897453447332737,rinoceronte,tenedor,nr,lctrl,rctrl,0.03337379471395252
57,1,0.4525396384178748,gallina,olla,nr,lctrl,rctrl,0.03337602963483732
58,1,0.580073724453996,pava,zorro,nr,rctrl,rctrl,0.033384131223556324
59,1,0.6291377814777661,silla,mesa,sro,lctrl,rctrl,0.03341514075100349
60,1,1.2462067106293944,elefante,mesa,nr,lctrl,rctrl,0.03334893121927962
61,1,0.5970200123197174,mariposa,vaso,nr,lctrl,rctrl,0.03340843598834908
62,1,1.5457221518377082,media,olla,wro,lctrl,rctrl,0.033374912174622295
63,1,0.4661788020544009,hacha,vaso,wro,lctrl,rctrl,0.03365176300349049
64,1,0.4900885447732435,serrucho,caballo,nr,rctrl,rctrl,0.033404524876914365
65,1,0.7423130593415408,raton,cabra,wra,rctrl,rctrl,0.03332630264458203
66,1,0.405604622933879,sapo,cebra,wra,rctrl,rctrl,0.03340005503469001
67,1,0.551226482695256,tijera,leon,nr,rctrl,rctrl,0.03338273439794648
68,1,0.34850714266758587,ventana,cebra,nr,rctrl,rctrl,0.03338273439794648
69,1,0.5162167258686168,pinguino,clavo,nr,lctrl,rctrl,0.03331903915204748
70,1,0.4004193270370706,tortuga,tornillo,nr,lctrl,rctrl,0.03341318519505876
71,1,0.5880621699125186,pipa,cigarrillo,sro,lctrl,rctrl,0.03338133757233663
72,1,0.6445084500965095,peine,tornillo,wro,lctrl,rctrl,0.033374912174622295
73,1,0.6041170036974108,oso,olla,nr,lctrl,rctrl,0.03341597884627845
74,1,0.49515175811438894,cama,mono,nr,rctrl,rctrl,0.03332630264458203
75,1,0.4876876809762507,destornillador,tornillo,sro,lctrl,rctrl,0.03335032804443472
76,1,0.4911174464909891,escritorio,leon,nr,rctrl,rctrl,0.03334390264672038
77,1,0.48504237270344674,zorrino,zorro,sra,rctrl,rctrl,0.03329668994228996
78,1,0.39352543409813734,pincel,pato,nr,rctrl,rctrl,0.03340256932096963
79,1,0.868440821389413,ciervo,tenedor,nr,lctrl,rctrl,0.03339390900237049
80,1,0.547398901257111,pinza,mesa,wro,lctrl,rctrl,0.03338022011166686
81,1,0.4345865186774063,gallina,olla,nr,lctrl,rctrl,0.033381896302216774
82,1,0.4362783538131225,cuchara,cigarrillo,wro,lctrl,rctrl,0.03335060740937479
