Nombre,317
Apellido,18_49
Edad,19
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.5496061650292177,mapache,violin,sro,rctrl,lctrl,0.03340005503469001
-8,1,0.5452556120962981,buho,carro,sro,rctrl,lctrl,0.03340452487645962
-7,1,0.4532279940603985,hilo,pavo,sra,lctrl,lctrl,0.033344740742450085
-6,1,0.48324382009468536,carro,buho,sra,lctrl,lctrl,0.03335954709336875
-5,1,0.43961341455406,buho,carro,sro,rctrl,lctrl,0.03340703916273924
-4,1,0.6020114288266996,buho,carro,sro,rctrl,lctrl,0.03340899471868397
-3,1,0.4484494537714454,mapache,violin,sro,rctrl,lctrl,0.0334534137718947
-2,1,0.47579734295823073,hilo,serpiente,sra,lctrl,lctrl,0.033415978846733196
-1,0,0.4882089762804753,hilo,serpiente,sra,rctrl,lctrl,0.033398937574474985
0,1,0.6240916094084241,carro,buho,sra,lctrl,lctrl,0.0333654137607482
1,0,0.4186445483992429,candado,cebra,nr,rctrl,lctrl,0.033700931263410894
2,1,0.4506854921505692,pava,zorro,nr,lctrl,lctrl,0.03340256932096963
3,1,0.47931538784951044,martillo,clavo,sro,rctrl,lctrl,0.03340787725846894
4,1,0.7150327765120892,rinoceronte,tenedor,nr,rctrl,lctrl,0.03334697566333489
5,1,0.42887964811188795,escarabajo,leon,wra,lctrl,lctrl,0.03337016296791262
6,1,0.4679608721216937,bowl,caballo,nr,lctrl,lctrl,0.03320896929653827
7,1,0.4811765182448653,ardilla,vaso,nr,rctrl,lctrl,0.03328523597247113
8,1,0.4148834558582166,destornillador,tornillo,sro,rctrl,lctrl,0.033402010590634745
9,1,0.40668800084904433,aguila,mono,wra,lctrl,lctrl,0.03333216931196148
10,1,0.49903521257601824,ciervo,tenedor,nr,rctrl,lctrl,0.033422962974327675
11,1,0.731908105639377,raton,cabra,wra,lctrl,lctrl,0.033378264555722126
12,1,0.662031906289485,oveja,cabra,sra,lctrl,lctrl,0.03338161693773145
13,1,0.5012874541316705,sombrero,tenedor,wro,rctrl,lctrl,0.03335060740937479
14,0,0.3432595483509431,camello,zapato,nr,lctrl,lctrl,0.033324626453577366
15,1,0.5286110385541178,llave,zapato,wro,rctrl,lctrl,0.033418213766708504
16,1,0.5073703501420823,sobre,gato,nr,lctrl,lctrl,0.033150023257803696
17,1,0.5590992709967395,sarten,olla,sro,rctrl,lctrl,0.03338468995389121
18,1,0.5187466563493217,peine,tornillo,wro,rctrl,lctrl,0.03338217566761159
19,1,0.5172182498054099,media,olla,wro,rctrl,lctrl,0.03344615027890541
20,1,0.4586658360203728,cama,mono,nr,lctrl,lctrl,0.0333983788441401
21,1,0.40471875615457975,burro,caballo,sra,lctrl,lctrl,0.033359826458763564
22,1,0.4250400539731345,mosca,zorro,wra,lctrl,lctrl,0.03338133757279138
23,1,0.6289383147859553,bota,zapato,sro,rctrl,lctrl,0.03343106456213718
24,1,0.7879954016498232,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033372677253282745
25,1,0.49095764964567934,puerta,mono,nr,lctrl,lctrl,0.03337323598407238
26,1,0.5320248802572678,cuchillo,tenedor,sro,rctrl,lctrl,0.0333207153416879
27,1,0.3695383072426921,tigre,leon,sra,lctrl,lctrl,0.03334921058376494
