Nombre,317
Apellido,18_59
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,Mas de 7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.7983668315387149,hilo,pavo,sra,rctrl,rctrl,0.03338636614432744
-8,1,0.5529456956121521,serpiente,hilo,sro,lctrl,rctrl,0.03339502646292658
-7,1,0.6333553566164483,pavo,rueda,sro,lctrl,rctrl,0.0333570328073165
-6,1,0.5231550378609882,serpiente,hilo,sro,lctrl,rctrl,0.03339726138381138
-5,1,0.5528766924287538,serpiente,hilo,sro,lctrl,rctrl,0.0333665312211906
-4,1,0.5898808368102664,buho,carro,sro,lctrl,rctrl,0.0333777058257283
-3,1,0.5265099335250625,pavo,rueda,sro,lctrl,rctrl,0.0333883217000448
-2,1,0.468353938838618,violin,mapache,sra,rctrl,rctrl,0.03347352806019899
-1,1,0.6155863384872191,buho,carro,sro,lctrl,rctrl,0.03339279154192809
0,1,0.5450955358851388,carro,buho,sra,rctrl,rctrl,0.03337323598384501
1,1,0.7652559193975321,abeja,gato,wra,rctrl,rctrl,0.03338552804905248
2,1,0.7405080813342693,jirafa,cebra,sra,rctrl,rctrl,0.033411229639568774
3,1,0.7238355712806879,raton,cabra,wra,rctrl,rctrl,0.03340061376513859
4,1,0.5756879715160039,peine,tornillo,wro,lctrl,rctrl,0.033393629637316735
5,1,0.5924473641202894,copa,pato,nr,rctrl,rctrl,0.03367355348234469
6,1,0.6802752863841306,cuchillo,tenedor,sro,lctrl,rctrl,0.033400055034917386
7,1,0.7400177955578329,pipa,cigarrillo,sro,lctrl,rctrl,0.033247521682255865
8,1,0.5679224594188099,pinguino,clavo,nr,lctrl,rctrl,0.03338273439783279
9,1,0.620921374085242,martillo,clavo,sro,lctrl,rctrl,0.03342882964182081
10,1,0.5746221936028633,ardilla,vaso,nr,lctrl,rctrl,0.033248639142698266
11,1,0.5006024508702467,gallina,olla,nr,lctrl,rctrl,0.03340843598834908
12,1,0.5749987777775232,gallo,cigarrillo,nr,lctrl,rctrl,0.03337407407923365
