Nombre,317
Apellido,20_14
Edad,19
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,hilo,pavo,sra,,rctrl,0.03338077884109225
-8,1,1.0283234321686905,hilo,serpiente,sra,rctrl,rctrl,0.033383293128281366
-7,1,0.8602112838343601,buho,carro,sro,lctrl,rctrl,0.03335898836303386
-6,1,0.7178403959187563,violin,mapache,sra,rctrl,rctrl,0.03319276612091926
-5,1,0.6269919780315831,carro,buho,sra,rctrl,rctrl,0.033381616940459935
-4,1,0.6166649671940831,carro,buho,sra,rctrl,rctrl,0.033386086779501056
-3,1,0.816611608461244,serpiente,hilo,sro,lctrl,rctrl,0.03337239788743318
-2,1,0.539889287607366,hilo,pavo,sra,rctrl,rctrl,0.033369324872182915
-1,1,0.5783070194665925,hilo,serpiente,sra,rctrl,rctrl,0.03351571219172911
0,1,0.7105268965751748,pavo,rueda,sro,lctrl,rctrl,0.03342855027585756
1,1,0.6327963470212126,bota,zapato,sro,lctrl,rctrl,0.0333578708996356
2,1,0.598083555312769,ardilla,vaso,nr,lctrl,rctrl,0.033376588366081705
3,1,0.6675960212814971,tortuga,tornillo,nr,lctrl,rctrl,0.03340703916546772
4,1,0.5405927289648389,mariposa,vaso,nr,lctrl,rctrl,0.03340145185939036
5,1,0.4900114400043094,chancho,tornillo,nr,lctrl,rctrl,0.03339642328865011
6,1,0.4402551162238524,elefante,mesa,nr,lctrl,rctrl,0.03339251217767014
7,1,0.47009578032884747,rinoceronte,tenedor,nr,lctrl,rctrl,0.033379382017301396
8,1,0.8881718207194353,mosca,zorro,wra,rctrl,rctrl,0.03335479788802331
9,1,0.5727862060666666,ventana,cebra,nr,rctrl,rctrl,0.034468067868147045
10,1,0.5370981507403485,media,olla,wro,lctrl,rctrl,0.03336736931669293
11,1,0.6372583666343417,tigre,leon,sra,rctrl,rctrl,0.03335088677704334
12,1,0.5638261287385831,destornillador,tornillo,sro,lctrl,rctrl,0.03334837248985423
13,1,0.7240355967041978,pava,zorro,nr,rctrl,rctrl,0.03334390264717513
14,1,0.7651980908194673,gallo,cigarrillo,nr,lctrl,rctrl,0.03321343913557939
15,1,0.5621675380534725,burro,caballo,sra,rctrl,rctrl,0.03337854392157169
16,1,0.6222251710751152,pinguino,clavo,nr,lctrl,rctrl,0.03357130584845436
17,1,0.5732178251673758,aguila,mono,wra,rctrl,rctrl,0.03351263917647884
18,1,0.6035135750498739,lapiz,zorro,nr,rctrl,rctrl,0.033125718491646694
19,1,0.6580523502307187,raton,cabra,wra,rctrl,rctrl,0.03326903279594262
20,1,0.5975957838236354,escritorio,leon,nr,rctrl,rctrl,0.03348358520452166
21,1,0.5248275968006055,sapo,cebra,wra,rctrl,rctrl,0.03340675979779917
22,1,0.5555298229228356,zorrino,zorro,sra,rctrl,rctrl,0.03322237882457557
23,1,0.6721907393257425,sarten,olla,sro,lctrl,rctrl,0.03341039154474856
24,0,0.5945487485150807,copa,pato,nr,lctrl,rctrl,0.03357382013564347
25,1,0.7398666590306675,tijera,leon,nr,rctrl,rctrl,0.033352004233165644
26,1,0.744344602459023,canguro,mesa,nr,lctrl,rctrl,0.03335898836303386
27,1,0.6762094065015845,pipa,cigarrillo,sro,lctrl,rctrl,0.033382734400220215
28,1,0.6684818880603416,tuerca,gato,nr,rctrl,rctrl,0.03340648043376859
29,1,0.5361555728450185,sobre,gato,nr,rctrl,rctrl,0.03345173758134479
30,1,0.6227053997099574,serrucho,caballo,nr,rctrl,rctrl,0.033365413761202944
31,1,0.6427643736860773,botella,vaso,sro,lctrl,rctrl,0.03338608677586308
32,1,0.7643141795961128,jirafa,cebra,sra,rctrl,rctrl,0.03326623914472293
33,1,0.7562416452346952,taza,cabra,nr,rctrl,rctrl,0.03339111535024131
34,1,0.5262752668313624,perro,gato,sra,rctrl,rctrl,0.03321204231178854
35,1,0.6892322906933259,pinza,mesa,wro,lctrl,rctrl,0.033410950272809714
36,1,1.0135757477546576,sombrero,tenedor,wro,lctrl,rctrl,0.03337966138133197
37,1,0.5885991096620273,cuchillo,tenedor,sro,lctrl,rctrl,0.033372118523402605
38,1,1.0174200910987565,bowl,caballo,nr,rctrl,rctrl,0.03340089313132921
39,1,0.7891377256055421,pincel,pato,nr,rctrl,rctrl,0.033365972489264095
40,1,0.8925930530276673,cama,mono,nr,rctrl,rctrl,0.033422683609387605
41,1,0.7382466207272955,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.033406480430130614
42,1,0.9163404846149206,jarra,cabra,nr,rctrl,rctrl,0.03340312805084977
43,1,0.5366818967195286,cisne,pato,sra,rctrl,rctrl,0.0333894391587819
44,1,0.5861415347462753,silla,mesa,sro,lctrl,rctrl,0.033369883603882045
45,1,0.5832774835907912,abeja,gato,wra,rctrl,rctrl,0.03340731852586032
46,1,0.5177110498698312,oveja,cabra,sra,rctrl,rctrl,0.03333440423375578
47,1,0.61255243334017,ciervo,tenedor,nr,lctrl,rctrl,0.033378823285602266
48,1,0.9711167201385251,oso,olla,nr,lctrl,rctrl,0.03314052484347485
49,1,0.6230923203911516,peine,tornillo,wro,lctrl,rctrl,0.033360385190462694
50,1,0.6777023336762795,llave,zapato,wro,lctrl,rctrl,0.03339111535024131
51,1,0.5229742886331223,gorila,mono,sra,rctrl,rctrl,0.033357591535605025
52,1,0.6957794915288105,martillo,clavo,sro,lctrl,rctrl,0.03338301376061281
53,1,0.5224719901525532,regla,clavo,wro,lctrl,rctrl,0.033389439162419876
54,1,0.5282020480262872,cuchara,cigarrillo,wro,lctrl,rctrl,0.03335619471181417
55,1,0.6070444707329443,gallina,olla,nr,lctrl,rctrl,0.03349811219231924
56,1,0.4604149410042737,conejo,clavo,nr,lctrl,rctrl,0.033432740754506085
