Nombre,317
Apellido,8_32
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,No preferencia
Usar una cuchara,No preferencia
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.6384333763089671,hilo,pavo,sra,lctrl,lctrl,0.03338133757222295
-8,1,0.49353618965540136,serpiente,hilo,sro,rctrl,lctrl,0.03320924866147834
-7,1,0.4554659879956944,serpiente,hilo,sro,rctrl,lctrl,0.03329920422845589
-6,1,0.6264396731986608,buho,carro,sro,rctrl,lctrl,0.03343553440447522
-5,1,0.5233307585181137,pavo,rueda,sro,rctrl,lctrl,0.03337547090472981
-4,1,0.5380873826143215,serpiente,hilo,sro,rctrl,lctrl,0.033359826458422503
-3,1,0.5084816645691035,carro,buho,sra,lctrl,lctrl,0.03338413122332895
-2,1,0.5097633917159783,hilo,serpiente,sra,lctrl,lctrl,0.033380220111780545
-1,1,0.4087078106296076,hilo,serpiente,sra,lctrl,lctrl,0.0333782645559495
0,1,0.5762017239621855,hilo,pavo,sra,lctrl,lctrl,0.03338580741410624
1,1,0.4893923669069409,camello,zapato,nr,rctrl,lctrl,0.033326861374916916
2,1,0.44178994816377326,burro,caballo,sra,lctrl,lctrl,0.033386645509381196
3,1,0.40630555000700497,cisne,pato,sra,lctrl,lctrl,0.033403128051190834
4,1,0.5581326676993967,hormiga,pato,wra,lctrl,lctrl,0.03340284868602339
5,0,0.5302073308199624,peine,tornillo,wro,lctrl,lctrl,0.03335060740960216
6,1,0.6150960527105553,zorrino,zorro,sra,lctrl,lctrl,0.03339642328842274
7,1,0.7157082813598663,bowl,caballo,nr,lctrl,lctrl,0.03338133757222295
8,1,0.5528881463985726,tijera,leon,nr,lctrl,lctrl,0.03338524868377135
9,1,0.5347350012361858,regla,clavo,wro,rctrl,lctrl,0.033346416932886314
10,1,0.7471941266277327,destornillador,tornillo,sro,rctrl,lctrl,0.03339530582798034
11,1,0.558789175719312,tortuga,tornillo,nr,rctrl,lctrl,0.03355482330846371
12,1,0.43560201087007044,mosca,zorro,wra,lctrl,lctrl,0.03332602327952827
13,1,0.9236928157071134,candado,cebra,nr,lctrl,lctrl,0.03335368042587561
14,1,0.6462949900056856,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033359826458422503
15,1,0.5584832709184866,cama,mono,nr,lctrl,lctrl,0.03338189630244415
16,1,0.5436157388718357,ardilla,vaso,nr,rctrl,lctrl,0.033388880430266
17,1,0.7654182305293489,aguila,mono,wra,lctrl,lctrl,0.03335368042587561
18,1,0.5822812675912701,taza,cabra,nr,lctrl,lctrl,0.033390277255875844
19,1,0.530204257803689,sombrero,tenedor,wro,rctrl,lctrl,0.03338273439783279
20,1,0.65949750596792,cuchara,cigarrillo,wro,rctrl,lctrl,0.03340731852790668
21,1,0.95852238203463,mariposa,vaso,nr,rctrl,lctrl,0.03341681694178078
22,1,0.5562751690508776,gorila,mono,sra,lctrl,lctrl,0.03337575026989725
