Nombre,317
Apellido,_1847
Edad,34
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,Menos de 5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,mapache,violin,sro,,rctrl,0.033414302655728534
-8,1,0.5237330442832899,mapache,violin,sro,lctrl,rctrl,0.03335898836303386
-7,1,0.7424519038031576,hilo,pavo,sra,rctrl,rctrl,0.0331698581803721
-6,1,0.6299993434918179,carro,buho,sra,rctrl,rctrl,0.03339977566974994
-5,1,0.6765141938431043,hilo,serpiente,sra,rctrl,rctrl,0.03340005503514476
-4,1,0.5278659717923802,mapache,violin,sro,lctrl,rctrl,0.033402010590634745
-3,1,0.4441036500447808,hilo,pavo,sra,rctrl,rctrl,0.033255343905693735
-2,1,0.5009530540892229,hilo,pavo,sra,rctrl,rctrl,0.03345760424872424
-1,1,0.7753116667058748,serpiente,hilo,sro,lctrl,rctrl,0.03341318519505876
0,1,0.6058728134444209,carro,buho,sra,rctrl,rctrl,0.033413185195513506
1,1,0.7574856580931737,mosca,zorro,wra,rctrl,rctrl,0.03337295661867756
2,1,0.5196490056696348,escarabajo,leon,wra,rctrl,rctrl,0.03342212487905272
3,1,0.5096083440771508,ciervo,tenedor,nr,lctrl,rctrl,0.0333911153511508
4,1,0.5302157117735078,rinoceronte,tenedor,nr,lctrl,rctrl,0.033381896302216774
5,1,0.5634660271066423,hormiga,pato,wra,rctrl,rctrl,0.03369562332636633
6,1,0.5908320750263556,hacha,vaso,wro,lctrl,rctrl,0.033380778842001746
7,1,0.5757066889786984,regla,clavo,wro,lctrl,rctrl,0.03338971852554096
8,1,0.7640937605196996,canguro,mesa,nr,lctrl,rctrl,0.03335982645830882
9,1,0.6157883194650822,sombrero,tenedor,wro,lctrl,rctrl,0.03336569312568827
10,1,0.7611341664933207,avestruz,zapato,nr,lctrl,rctrl,0.03340256932096963
11,1,0.8326100104900434,pinza,mesa,wro,lctrl,rctrl,0.033426035990487435
12,1,0.6289668100275776,copa,pato,nr,rctrl,rctrl,0.03340340741669934
13,1,0.6974526092003543,pava,zorro,nr,rctrl,rctrl,0.03335898836303386
14,1,0.6627015444701101,bowl,caballo,nr,rctrl,rctrl,0.033372677253282745
15,1,0.8966329519535066,tijera,leon,nr,rctrl,rctrl,0.033359267728428676
16,1,0.5958891423351815,abeja,gato,wra,rctrl,rctrl,0.03334055026562055
17,1,0.49275396733401067,peine,tornillo,wro,lctrl,rctrl,0.03336178201425355
18,1,0.51008130921673,taza,cabra,nr,rctrl,rctrl,0.03336122328391866
19,1,0.6506332508743071,tuerca,gato,nr,rctrl,rctrl,0.033360664553583774
20,1,0.722086745661727,cisne,pato,sra,rctrl,rctrl,0.033395585193375155
21,1,0.5756133810305073,tortuga,tornillo,nr,lctrl,rctrl,0.033152258177779004
22,1,0.8077160644720607,media,olla,wro,lctrl,rctrl,0.03335870899763904
23,1,0.5944599104077497,destornillador,tornillo,sro,lctrl,rctrl,0.033388880430266
24,1,0.5550677530245594,raton,cabra,wra,rctrl,rctrl,0.033388880430266
25,1,0.7225354060360587,cuchara,cigarrillo,wro,lctrl,rctrl,0.03340927408362404
26,1,0.553171143259533,martillo,clavo,sro,lctrl,rctrl,0.033317642326437635
27,1,0.5723015075936928,jarra,cabra,nr,rctrl,rctrl,0.033384689953436464
28,1,0.6620293920036602,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03336206137964837
29,1,0.5853956298915364,aguila,mono,wra,rctrl,rctrl,0.03337742646044717
30,1,0.6364442966914794,cama,mono,nr,rctrl,rctrl,0.03339502646304027
31,1,0.5359052617022826,oveja,cabra,sra,rctrl,rctrl,0.03340815662340901
32,1,0.6873767476035937,mariposa,vaso,nr,lctrl,rctrl,0.03340815662340901
33,1,0.6142261097429582,chancho,tornillo,nr,lctrl,rctrl,0.033384131223556324
34,1,0.5516670414817781,sarten,olla,sro,lctrl,rctrl,0.03340005503514476
35,1,0.6297275212355089,sapo,cebra,wra,rctrl,rctrl,0.03325590263602862
36,1,0.5717899900682823,burro,caballo,sra,rctrl,rctrl,0.03340675979779917
37,1,0.636428652244831,sobre,gato,nr,rctrl,rctrl,0.033393070907095534
38,1,0.5304665816465786,perro,gato,sra,rctrl,rctrl,0.033374912174622295
39,1,0.6762423715863406,puerta,mono,nr,rctrl,rctrl,0.03337323598407238
40,1,0.5374359031666245,elefante,mesa,nr,lctrl,rctrl,0.03337770582538724
41,1,0.6372927285451624,gorila,mono,sra,rctrl,rctrl,0.03340312805130452
42,1,0.6349047155435983,arana,caballo,wra,rctrl,rctrl,0.03337547090495718
43,1,0.614650185987557,llave,zapato,wro,lctrl,rctrl,0.033390277255875844
44,1,0.8435295547337773,ventana,cebra,nr,rctrl,rctrl,0.03335256296577427
45,1,0.5557496832698234,ardilla,vaso,nr,lctrl,rctrl,0.0331053248387434
46,1,0.628157209924666,lapiz,zorro,nr,rctrl,rctrl,0.03338049947660693
47,1,0.5915883163920626,camello,zapato,nr,lctrl,rctrl,0.03323299469593621
48,1,0.5689765039969643,jirafa,cebra,sra,rctrl,rctrl,0.033371839158462535
49,1,0.5258090064517091,conejo,clavo,nr,lctrl,rctrl,0.033374632809682225
50,1,0.5438185579450874,candado,cebra,nr,rctrl,rctrl,0.033383293128281366
51,1,0.564708922502632,bota,zapato,sro,lctrl,rctrl,0.033210924852028256
52,1,0.5163980338284091,cuchillo,tenedor,sro,lctrl,rctrl,0.03348386456946173
53,1,0.6189895643160526,gallina,olla,nr,lctrl,rctrl,0.03336457566547324
54,1,0.5735270823524843,gallo,cigarrillo,nr,lctrl,rctrl,0.03328607406820083
55,1,0.47325595850861646,zorrino,zorro,sra,rctrl,rctrl,0.03337882328651176
56,1,0.5376890079605801,pipa,cigarrillo,sro,lctrl,rctrl,0.03337351534901245
57,1,0.5498668126811026,silla,mesa,sro,lctrl,rctrl,0.03339139471654562
58,1,0.606525689717273,pinguino,clavo,nr,lctrl,rctrl,0.03340005503514476
59,1,0.5733725934442191,oso,olla,nr,lctrl,rctrl,0.03337575026989725
60,1,0.540047966990187,botella,vaso,sro,lctrl,rctrl,0.03337854392111694
61,1,0.5025077209534174,tigre,leon,sra,rctrl,rctrl,0.03328132486103641
62,1,0.5868768237301083,serrucho,caballo,nr,rctrl,rctrl,0.03344475345329556
63,1,0.5023138415635913,escritorio,leon,nr,rctrl,rctrl,0.033428550276767055
64,1,0.4897404558400922,pincel,pato,nr,rctrl,rctrl,0.033389997890935774
65,1,0.6540510036888918,llave,zapato,wro,lctrl,rctrl,0.03337295661867756
66,1,0.5682448467614449,mariposa,vaso,nr,lctrl,rctrl,0.03336457566547324
67,1,0.5782626004142912,candado,cebra,nr,rctrl,rctrl,0.0333698836025178
68,1,0.5315345944804903,conejo,clavo,nr,lctrl,rctrl,0.03340312805130452
69,1,0.47842365440283174,hacha,vaso,wro,lctrl,rctrl,0.033347534393669775
70,1,0.516254998889508,perro,gato,sra,rctrl,rctrl,0.03338524868377135
71,1,0.5437246912665614,arana,caballo,wra,rctrl,rctrl,0.03339949630480987
72,1,0.573713977614716,copa,pato,nr,rctrl,rctrl,0.03337323598407238
73,1,0.5674126180838357,sarten,olla,sro,lctrl,rctrl,0.03334893121882487
74,1,0.49798452037885,raton,cabra,wra,rctrl,rctrl,0.033384410588496394
75,1,1.2387320176167123,sombrero,tenedor,wro,lctrl,rctrl,0.03337630900023214
76,1,0.6654468654533048,puerta,mono,nr,rctrl,rctrl,0.033371839158462535
77,1,0.5636138112527078,elefante,mesa,nr,lctrl,rctrl,0.03337630900023214
78,1,0.5731203267455385,pava,zorro,nr,rctrl,rctrl,0.03333552169351606
79,1,0.6006816508802331,avestruz,zapato,nr,lctrl,rctrl,0.03339809947920003
80,1,0.5205876724553491,silla,mesa,sro,lctrl,rctrl,0.03322684866407144
81,1,0.4734054188452319,oveja,cabra,sra,rctrl,rctrl,0.03335759153787876
82,1,0.5130526365778678,pinguino,clavo,nr,lctrl,rctrl,0.033396143923255295
83,1,0.6141034684574151,pinza,mesa,wro,lctrl,rctrl,0.033366810585903295
84,1,0.5126693476404398,zorrino,zorro,sra,rctrl,rctrl,0.03340033440008483
85,1,0.544650507256847,jarra,cabra,nr,rctrl,rctrl,0.033414302655728534
86,1,0.5753080349595621,serrucho,caballo,nr,rctrl,rctrl,0.03338189630267152
87,1,0.5660127194933011,hormiga,pato,wra,rctrl,rctrl,0.03334585820266511
88,1,0.5395875732810964,ventana,cebra,nr,rctrl,rctrl,0.03337379471395252
89,1,0.5349934139671859,peine,tornillo,wro,lctrl,rctrl,0.03337155979306772
90,1,0.544244869110571,oso,olla,nr,lctrl,rctrl,0.0333983788441401
91,1,0.5452720946377667,bowl,caballo,nr,rctrl,rctrl,0.03337575026989725
92,1,0.45488881966866757,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03339726138392507
93,1,0.43260637874345775,sobre,gato,nr,rctrl,rctrl,0.033401731225694675
94,1,0.5217154694241799,tortuga,tornillo,nr,lctrl,rctrl,0.03339809947874528
95,1,0.5769400859603593,burro,caballo,sra,rctrl,rctrl,0.033401731225694675
96,1,0.6713057106417182,gallo,cigarrillo,nr,lctrl,rctrl,0.03340871535328915
97,1,0.6624794492036017,taza,cabra,nr,rctrl,rctrl,0.03322321691757679
98,1,0.4853798457625089,chancho,tornillo,nr,lctrl,rctrl,0.033380778842001746
99,1,0.5731921235797017,gallina,olla,nr,lctrl,rctrl,0.033381616937276704
100,1,0.5970035297782488,aguila,mono,wra,rctrl,rctrl,0.033353959790929366
101,1,0.5401021638226666,ardilla,vaso,nr,lctrl,rctrl,0.03336820741196789
102,1,0.5306034705527054,abeja,gato,wra,rctrl,rctrl,0.0334629121857688
103,1,0.5683361991536913,cuchillo,tenedor,sro,lctrl,rctrl,0.033352004234984634
104,1,0.6225685108020116,pipa,cigarrillo,sro,lctrl,rctrl,0.03338860106532593
105,1,0.5798954895103634,sapo,cebra,wra,rctrl,rctrl,0.033342226456170465
106,1,0.6566220008407981,tijera,leon,nr,rctrl,rctrl,0.03337602963483732
107,1,0.6134603699633772,tuerca,gato,nr,rctrl,rctrl,0.0333559153468741
108,1,0.5664010370032884,jirafa,cebra,sra,rctrl,rctrl,0.03326204866834814
109,1,0.5735525045784016,regla,clavo,wro,lctrl,rctrl,0.033372397888342675
