Nombre,66
Apellido,11_23
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano izquierda
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.0483784950320114,hilo,serpiente,sra,rctrl,rctrl,0.033434696309086576
-8,1,0.5469695170759223,mapache,violin,sro,lctrl,rctrl,0.03340592170206946
-7,1,0.4830630708647732,carro,buho,sra,rctrl,rctrl,0.033329375661196536
-6,1,0.4894018653212697,carro,buho,sra,rctrl,rctrl,0.03333580105845613
-5,1,0.47694972405679437,violin,mapache,sra,rctrl,rctrl,0.03337994074627204
-4,1,0.45284079401153576,hilo,serpiente,sra,rctrl,rctrl,0.0333793820163919
-3,1,0.4396555986859312,hilo,serpiente,sra,rctrl,rctrl,0.03333496296272642
-2,1,0.5263557239813963,buho,carro,sro,lctrl,rctrl,0.033383851858161506
-1,1,0.4689738500283056,pavo,rueda,sro,lctrl,rctrl,0.03338804233499104
0,1,0.4710453423549552,mapache,violin,sro,lctrl,rctrl,0.03338776297005097
1,1,0.5703236025810838,cuchara,cigarrillo,wro,lctrl,rctrl,0.03338273439749173
2,1,0.3860426394976457,canguro,mesa,nr,lctrl,rctrl,0.033364016934683605
3,1,0.37333962836055434,bowl,caballo,nr,rctrl,rctrl,0.0333522836008342
4,1,0.4356902902463844,pava,zorro,nr,rctrl,rctrl,0.033370442331943195
5,1,0.474007450667159,tortuga,tornillo,nr,lctrl,rctrl,0.03345564869323425
6,1,0.46082979820039327,botella,vaso,sro,lctrl,rctrl,0.03338552804871142
7,1,0.36880804683278257,ardilla,vaso,nr,lctrl,rctrl,0.033408994718229224
8,1,0.443778748416662,tigre,leon,sra,rctrl,rctrl,0.033366810585903295
9,1,0.39573744707740843,jirafa,cebra,sra,rctrl,rctrl,0.033358150267304154
10,1,0.41067426167319354,destornillador,tornillo,sro,lctrl,rctrl,0.03336206137919362
11,1,0.4536864322144538,conejo,clavo,nr,lctrl,rctrl,0.03337966138133197
12,1,0.46808127848726144,puerta,mono,nr,rctrl,rctrl,0.033365972491083085
13,1,0.42575746358852484,pipa,cigarrillo,sro,lctrl,rctrl,0.03341625821121852
14,1,0.456662229417816,abeja,gato,wra,rctrl,rctrl,0.03338161693773145
15,0,0.4057719626371181,pinguino,clavo,nr,rctrl,rctrl,0.03338888042981125
16,1,0.5921766593237408,sobre,gato,nr,rctrl,rctrl,0.03335032804534421
17,1,0.5103897283033803,aguila,mono,wra,rctrl,rctrl,0.033357591537424014
18,1,0.386454423676696,regla,clavo,wro,lctrl,rctrl,0.03340201059018
19,1,0.49504112952945434,media,olla,wro,lctrl,rctrl,0.03312404230109678
20,1,0.5708731137610812,ciervo,tenedor,nr,lctrl,rctrl,0.033386086779501056
21,0,0.5079019819559107,pinza,mesa,wro,rctrl,rctrl,0.03337658836517221
22,1,0.6442022659302893,escarabajo,leon,wra,rctrl,rctrl,0.03338273439749173
23,1,0.6911641004653575,oveja,cabra,sra,rctrl,rctrl,0.0335464423551457
24,1,0.49898353002936346,mariposa,vaso,nr,lctrl,rctrl,0.03338636614353163
25,1,0.7223440409325121,escritorio,leon,nr,rctrl,rctrl,0.03336708995175286
26,1,0.5085305534639701,sarten,olla,sro,lctrl,rctrl,0.033352562964864774
27,1,0.4793874640490685,hacha,vaso,wro,lctrl,rctrl,0.033380499477061676
28,1,0.5562327055531568,arana,caballo,wra,rctrl,rctrl,0.033545045529535855
29,1,0.5242817173693766,zorrino,zorro,sra,rctrl,rctrl,0.03338496931883128
30,1,0.41952762152777723,cuchillo,tenedor,sro,lctrl,rctrl,0.03339390900237049
31,1,0.48136201668148715,taza,cabra,nr,rctrl,rctrl,0.03338971852554096
32,1,0.515416903544974,pincel,pato,nr,rctrl,rctrl,0.03334110899595544
33,1,0.4688383579477886,candado,cebra,nr,rctrl,rctrl,0.03332797883558669
34,1,0.47464803487582685,copa,pato,nr,rctrl,rctrl,0.03340424551151955
35,1,0.4116763443398668,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03338636614353163
36,1,0.46626540523993754,peine,tornillo,wro,lctrl,rctrl,0.03338552804871142
37,1,0.49906566337358527,avestruz,zapato,nr,lctrl,rctrl,0.033359547092914
38,1,0.4703673232206711,sombrero,tenedor,wro,lctrl,rctrl,0.033385528049620916
39,1,0.5866357316363064,hormiga,pato,wra,rctrl,rctrl,0.03339055662127066
40,1,0.6862263220609748,gorila,mono,sra,rctrl,rctrl,0.03344978202494531
41,1,0.5310761563268898,llave,zapato,wro,lctrl,rctrl,0.033380499477061676
42,1,0.5707311962833046,oso,olla,nr,lctrl,rctrl,0.03333049312095682
43,1,0.4440664944850141,martillo,clavo,sro,lctrl,rctrl,0.03335032804443472
44,1,0.4503645016329756,rinoceronte,tenedor,nr,lctrl,rctrl,0.03336848677645321
45,1,0.4704430311676333,serrucho,caballo,nr,rctrl,rctrl,0.0333955851938299
46,1,0.5310725245808499,tuerca,gato,nr,rctrl,rctrl,0.033366251856023155
47,1,0.4943807103973086,chancho,tornillo,nr,lctrl,rctrl,0.03337072169779276
48,1,0.48600729981080804,lapiz,zorro,nr,rctrl,rctrl,0.03338217566761159
49,1,0.5458509391555708,tijera,leon,nr,rctrl,rctrl,0.03338692487523076
50,1,0.5407790654953715,gallina,olla,nr,lctrl,rctrl,0.033359826458763564
51,1,0.44525463431727985,perro,gato,sra,rctrl,rctrl,0.033381896301762026
52,1,0.4154860464113881,camello,zapato,nr,lctrl,rctrl,0.033359547092914
53,1,0.456395435732702,cama,mono,nr,rctrl,rctrl,0.03339167408103094
54,1,0.45119924459686445,cisne,pato,sra,rctrl,rctrl,0.03339223281091108
55,1,0.4704737613301404,elefante,mesa,nr,lctrl,rctrl,0.033471013774033054
56,1,0.5882750461305477,bota,zapato,sro,lctrl,rctrl,0.03338161693773145
57,1,0.4595952837580626,silla,mesa,sro,lctrl,rctrl,0.03341178837035841
58,1,0.5501892000238513,burro,caballo,sra,rctrl,rctrl,0.03339390900237049
59,1,0.58111854998333,sapo,cebra,wra,rctrl,rctrl,0.03328355978192121
60,1,0.49632257731082063,mosca,zorro,wra,rctrl,rctrl,0.033383013763341296
61,1,0.5228619838562736,jarra,cabra,nr,rctrl,rctrl,0.033360105823703634
62,1,0.49572389786953863,ventana,cebra,nr,rctrl,rctrl,0.03342156614871783
63,1,0.5192157103765567,gallo,cigarrillo,nr,lctrl,rctrl,0.03336262010907376
64,1,0.6295003973973508,raton,cabra,wra,rctrl,rctrl,0.033363178839863394
65,1,0.8019276192917459,sobre,gato,nr,rctrl,rctrl,0.03336457566547324
66,1,0.4739792347909315,ventana,cebra,nr,rctrl,rctrl,0.03336429630053317
67,1,0.5222479393332833,pinza,mesa,wro,lctrl,rctrl,0.03341067090968863
68,1,0.5302492355876893,ciervo,tenedor,nr,lctrl,rctrl,0.033381058206941816
69,1,0.4649275257052068,gallina,olla,nr,lctrl,rctrl,0.03338245503255166
70,1,0.5087168899954122,pipa,cigarrillo,sro,lctrl,rctrl,0.033383013763341296
71,1,0.5768730383333605,canguro,mesa,nr,lctrl,rctrl,0.033384410588041646
72,1,0.5243479269011004,tuerca,gato,nr,rctrl,rctrl,0.03341793440267793
73,1,0.5314605627245328,escritorio,leon,nr,rctrl,rctrl,0.033384410588041646
