Nombre,66
Apellido,19_58
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,No preferencia
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,No preferencia
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.9078874549695684,pavo,rueda,sro,rctrl,lctrl,0.03338273439749173
-8,1,0.4820892040743274,carro,buho,sra,lctrl,lctrl,0.03338468995389121
-7,1,0.5764224224030841,hilo,pavo,sra,lctrl,lctrl,0.033414302655728534
-6,1,0.5401275860476744,hilo,serpiente,sra,lctrl,lctrl,0.033239140728255734
-5,1,0.5229175775129988,carro,buho,sra,lctrl,lctrl,0.033357591537424014
-4,1,0.568160199131853,hilo,pavo,sra,lctrl,lctrl,0.03336681058681279
-3,1,0.6280910003924873,pavo,rueda,sro,rctrl,lctrl,0.03340675979779917
-2,1,0.6516965145010545,buho,carro,sro,rctrl,lctrl,0.03339055662036117
-1,1,0.9883423731225776,serpiente,hilo,sro,rctrl,lctrl,0.033357870902364084
0,1,0.5725481869903888,violin,mapache,sra,lctrl,lctrl,0.03362270903107856
1,1,0.5945213707327639,pava,zorro,nr,lctrl,lctrl,0.03340536297218932
2,1,0.6029447876753693,botella,vaso,sro,rctrl,lctrl,0.033377705825841986
3,1,0.5575499120695895,gallina,olla,nr,rctrl,lctrl,0.033416537577068084
4,1,0.5979553267243318,pincel,pato,nr,lctrl,lctrl,0.03338804233499104
5,1,0.6112229347590983,peine,tornillo,wro,rctrl,lctrl,0.033381337571881886
6,1,0.6054244324341198,sombrero,tenedor,wro,rctrl,lctrl,0.03335815026821365
7,1,0.6416628370370745,gallo,cigarrillo,nr,rctrl,lctrl,0.03335535661699396
8,1,0.4997813967975162,aguila,mono,wra,lctrl,lctrl,0.03340201059108949
9,1,0.7396347859848902,pinza,mesa,wro,rctrl,lctrl,0.03325059469898406
10,1,0.644821897755719,jirafa,cebra,sra,lctrl,lctrl,0.033388880430720747
11,1,0.6659541925027952,gorila,mono,sra,lctrl,lctrl,0.03334781375906459
12,1,0.6048330164867366,cama,mono,nr,lctrl,lctrl,0.03340703916273924
13,1,0.5888502589023119,perro,gato,sra,lctrl,lctrl,0.03338776297005097
14,1,0.6255068730797575,arana,caballo,wra,lctrl,lctrl,0.03339223281182058
15,1,0.48819612548504665,ardilla,vaso,nr,rctrl,lctrl,0.0334299471023769
16,1,0.5609081601160142,taza,cabra,nr,lctrl,lctrl,0.03337658836517221
17,1,0.6556076261094859,camello,zapato,nr,rctrl,lctrl,0.033313172483758535
18,1,0.6361361569697692,raton,cabra,wra,lctrl,lctrl,0.033411509004508844
19,1,0.5453514343298593,destornillador,tornillo,sro,rctrl,lctrl,0.033443077262745646
20,1,0.4531374797634271,chancho,tornillo,nr,rctrl,lctrl,0.03339921693896031
21,1,0.4886280239534244,tigre,leon,sra,lctrl,lctrl,0.03343385821335687
22,1,0.5798980037961883,copa,pato,nr,lctrl,lctrl,0.03339027725633059
23,1,0.5391011986166632,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03342324234017724
24,1,0.5231734759590836,martillo,clavo,sro,rctrl,lctrl,0.033368486777362705
25,1,0.5436330595084655,bowl,caballo,nr,lctrl,lctrl,0.03338971852554096
26,1,0.5279143019570256,pipa,cigarrillo,sro,rctrl,lctrl,0.03338468995389121
27,1,0.432394061256673,puerta,mono,nr,lctrl,lctrl,0.03337379471395252
28,1,0.7781354892867967,canguro,mesa,nr,rctrl,lctrl,0.033481350284091604
29,1,0.5923853450649403,tijera,leon,nr,lctrl,lctrl,0.03336485503041331
30,1,0.5511301017313599,hacha,vaso,wro,rctrl,lctrl,0.03338524868377135
31,1,0.5174288911020994,cisne,pato,sra,lctrl,lctrl,0.03339809947920003
32,1,0.4545552577210401,candado,cebra,nr,lctrl,lctrl,0.03335926772797393
33,1,0.5075829469951714,cuchillo,tenedor,sro,rctrl,lctrl,0.03339390900237049
34,1,0.48836486201435036,conejo,clavo,nr,rctrl,lctrl,0.03340703916273924
35,1,0.5197967898157003,silla,mesa,sro,rctrl,lctrl,0.033502582032269856
36,1,0.4833843407468521,lapiz,zorro,nr,lctrl,lctrl,0.03310895658523805
37,1,0.44749961238085234,tuerca,gato,nr,lctrl,lctrl,0.03337910265145183
38,1,0.3524257971330371,burro,caballo,sra,lctrl,lctrl,0.033437489960306266
39,1,0.33247130571089656,ventana,cebra,nr,lctrl,lctrl,0.033439445516705746
40,1,0.40433407039199665,hormiga,pato,wra,lctrl,lctrl,0.03338552804871142
41,1,0.3876185381104733,abeja,gato,wra,lctrl,lctrl,0.033378264555722126
42,1,0.4852940806722472,oso,olla,nr,rctrl,lctrl,0.03338776297005097
43,1,0.5961000629968112,ciervo,tenedor,nr,rctrl,lctrl,0.033365972491083085
44,1,0.5252969301964185,avestruz,zapato,nr,rctrl,lctrl,0.033377426460901916
45,1,0.6013920763671194,mosca,zorro,wra,lctrl,lctrl,0.03340759789261938
46,1,0.5092753408598583,pinguino,clavo,nr,rctrl,lctrl,0.03337630900023214
47,1,0.5565718548023142,bota,zapato,sro,rctrl,lctrl,0.03339809947920003
48,1,0.421961729773102,llave,zapato,wro,rctrl,lctrl,0.03340815662340901
49,1,0.49012234795191034,media,olla,wro,rctrl,lctrl,0.03327657565387199
50,1,0.5038117973099361,zorrino,zorro,sra,lctrl,lctrl,0.033295293116680114
51,1,0.43792660799044825,sarten,olla,sro,rctrl,lctrl,0.03336736931669293
52,1,0.5917757703846291,escritorio,leon,nr,lctrl,lctrl,0.03327434073344193
53,1,0.445722570885664,regla,clavo,wro,rctrl,lctrl,0.03331149629320862
54,1,0.44545857085176976,oveja,cabra,sra,lctrl,lctrl,0.03336820741151314
55,1,0.45352887028911937,tortuga,tornillo,nr,rctrl,lctrl,0.03338692487432127
56,1,0.4742113872016489,elefante,mesa,nr,rctrl,lctrl,0.03327434073344193
57,1,0.40344540996102296,sapo,cebra,wra,lctrl,lctrl,0.0333830137624318
58,1,0.45188899706499797,rinoceronte,tenedor,nr,rctrl,lctrl,0.033365134396262874
59,1,0.47898070844166796,cuchara,cigarrillo,wro,rctrl,lctrl,0.033386645509381196
60,1,0.4785253433046819,sobre,gato,nr,lctrl,lctrl,0.03335004867949465
61,1,0.5849536742798591,jarra,cabra,nr,lctrl,lctrl,0.03327853121027147
62,1,0.4348114075955891,escarabajo,leon,wra,lctrl,lctrl,0.03344419472341542
63,1,0.3640750430568005,serrucho,caballo,nr,lctrl,lctrl,0.03340396614657948
64,1,0.5180557864196089,mariposa,vaso,nr,rctrl,lctrl,0.03338580741365149
65,1,0.5984478474219941,lapiz,zorro,nr,lctrl,lctrl,0.03342491852981766
66,1,0.4125655634998111,serrucho,caballo,nr,lctrl,lctrl,0.033377705825841986
67,1,0.426660092273778,jirafa,cebra,sra,lctrl,lctrl,0.0333992169398698
68,1,0.40139822239962086,tijera,leon,nr,lctrl,lctrl,0.03342128678377776
69,1,0.4591879694207819,ardilla,vaso,nr,rctrl,lctrl,0.03338720424017083
70,1,0.5671894053566575,silla,mesa,sro,rctrl,lctrl,0.03339027725633059
71,1,0.4468118154682088,bowl,caballo,nr,lctrl,lctrl,0.03340005503469001
72,1,0.4823124168015056,mariposa,vaso,nr,rctrl,lctrl,0.033369604237122985
73,1,0.38465698852814967,candado,cebra,nr,lctrl,lctrl,0.03338468995389121
74,1,0.5734770759972889,tuerca,gato,nr,lctrl,lctrl,0.03332937566028704
75,1,0.46681072594401485,regla,clavo,wro,rctrl,lctrl,0.033384410588041646
