Nombre,66
Apellido,8_18
Edad,26
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,pavo,rueda,sro,,lctrl,0.033388880430266
-8,1,0.7565995119493891,hilo,serpiente,sra,lctrl,lctrl,0.033388880430266
-7,1,0.6446051104262551,mapache,violin,sro,rctrl,lctrl,0.03337994074627204
-6,1,0.6223902758592885,violin,mapache,sra,lctrl,lctrl,0.03335256296531952
-5,1,0.4955252692730028,violin,mapache,sra,lctrl,lctrl,0.033374912174622295
-4,1,0.5799016355426829,buho,carro,sro,rctrl,lctrl,0.033381616937276704
-3,1,0.3784159718625233,violin,mapache,sra,lctrl,lctrl,0.03334753439321503
-2,1,0.49736181553817005,carro,buho,sra,lctrl,lctrl,0.033377985190782056
-1,1,0.6384719286947984,buho,carro,sro,rctrl,lctrl,0.03337435344428741
0,1,0.5632140397733565,buho,carro,sro,rctrl,lctrl,0.03338915979520607
1,1,0.7999807238070389,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033354797886204324
2,1,0.4461455296695931,cisne,pato,sra,lctrl,lctrl,0.03341765503728311
3,1,0.49023632891885427,bota,zapato,sro,rctrl,lctrl,0.03337658836517221
4,1,0.5927496371746201,hormiga,pato,wra,lctrl,lctrl,0.03340815662340901
5,1,0.5737720855581756,puerta,mono,nr,lctrl,lctrl,0.033422962974327675
6,1,0.6239186824022909,cuchara,cigarrillo,wro,rctrl,lctrl,0.0333992169398698
7,1,0.6430811737245676,sobre,gato,nr,lctrl,lctrl,0.033360664553583774
8,1,0.6125756206442929,pinguino,clavo,nr,rctrl,lctrl,0.033352004234984634
9,1,0.7343103662615249,oso,olla,nr,rctrl,lctrl,0.033363178839863394
10,1,1.4832055470737942,pinza,mesa,wro,rctrl,lctrl,0.03317181373586209
