Nombre,66
Apellido,8_25
Edad,18
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.154256756095947,hilo,pavo,sra,lctrl,lctrl,0.03338385185838888
-8,1,0.5225289806387536,pavo,rueda,sro,rctrl,lctrl,0.03338915979543344
-7,1,0.4781518321462954,hilo,pavo,sra,lctrl,lctrl,0.033383851858161506
-6,1,0.5403773384605302,buho,carro,sro,rctrl,lctrl,0.03340117249535979
-5,1,0.5162323703152651,buho,carro,sro,rctrl,lctrl,0.03337155979306772
-4,1,0.4537291750766599,carro,buho,sra,lctrl,lctrl,0.03336066455381115
-3,1,0.585477483870136,mapache,violin,sro,rctrl,lctrl,0.033370721698020134
-2,1,0.41761564668126994,mapache,violin,sro,rctrl,lctrl,0.03338804233499104
-1,1,0.48737674760332084,hilo,serpiente,sra,lctrl,lctrl,0.03339083598598336
0,1,0.5697483898093196,pavo,rueda,sro,rctrl,lctrl,0.033399216939415055
1,1,0.5461646661797204,mariposa,vaso,nr,rctrl,lctrl,0.03336010582347626
2,1,0.5697581675883612,ciervo,tenedor,nr,rctrl,lctrl,0.03335340106082185
3,1,0.41477115108205,mosca,zorro,wra,lctrl,lctrl,0.03338580741410624
4,1,0.4408694401104185,perro,gato,sra,lctrl,lctrl,0.033382734397719105
5,1,0.4837852296871006,taza,cabra,nr,lctrl,lctrl,0.03336457566547324
6,1,0.3938112246109995,pava,zorro,nr,lctrl,lctrl,0.033380778842001746
7,1,0.39698928215739215,silla,mesa,sro,rctrl,lctrl,0.033384410588496394
8,1,0.4760982191869516,jirafa,cebra,sra,lctrl,lctrl,0.033371839158462535
9,1,0.45932513769207617,candado,cebra,nr,lctrl,lctrl,0.033174048656974264
10,1,0.4803705498882209,cama,mono,nr,lctrl,lctrl,0.033389997890935774
11,1,0.42425866974713244,puerta,mono,nr,lctrl,lctrl,0.033394188367537936
12,1,0.46078621724268487,copa,pato,nr,lctrl,lctrl,0.03335228360015208
13,1,0.5020680002623976,regla,clavo,wro,rctrl,lctrl,0.03343385821381162
14,1,0.580529089590982,cuchara,cigarrillo,wro,rctrl,lctrl,0.03341095027440133
15,1,0.5352124362173072,media,olla,wro,rctrl,lctrl,0.03336485503041331
16,1,0.5309884356811381,pipa,cigarrillo,sro,rctrl,lctrl,0.03338133757233663
17,1,0.46277669368578245,ventana,cebra,nr,lctrl,lctrl,0.03340536297218932
18,1,0.5400418209576401,tijera,leon,nr,lctrl,lctrl,0.03342743281609728
19,1,0.4295691212150814,lapiz,zorro,nr,lctrl,lctrl,0.033379661381559345
20,1,0.533404385194217,gorila,mono,sra,lctrl,lctrl,0.033417375671888294
21,1,0.41960528502909256,arana,caballo,wra,lctrl,lctrl,0.033369045507242845
22,1,0.538972131932951,avestruz,zapato,nr,rctrl,lctrl,0.03340536297218932
23,1,0.5847089504393352,martillo,clavo,sro,rctrl,lctrl,0.03344754710428788
24,1,0.4819280104034078,sombrero,tenedor,wro,rctrl,lctrl,0.03338189630244415
25,1,0.4029615495824146,rinoceronte,tenedor,nr,rctrl,lctrl,0.03338217566761159
26,1,0.43523157272784374,cisne,pato,sra,lctrl,lctrl,0.03339307090686816
27,1,0.45680191197493514,pinza,mesa,wro,rctrl,lctrl,0.03338217566761159
28,1,0.5281593051631717,sapo,cebra,wra,lctrl,lctrl,0.03337742646067454
29,1,0.5181837356421966,abeja,gato,wra,lctrl,lctrl,0.03335898836303386
30,1,0.5646603129725918,hormiga,pato,wra,lctrl,lctrl,0.03340284868613708
31,1,0.46951442152567324,ardilla,vaso,nr,rctrl,lctrl,0.03338608677927368
32,1,0.5239269236731161,tortuga,tornillo,nr,rctrl,lctrl,0.03366517252902668
33,1,0.5234807775848367,aguila,mono,wra,lctrl,lctrl,0.033357591537424014
34,1,0.5628033730545212,botella,vaso,sro,rctrl,lctrl,0.033207572470928426
35,1,0.5014366351028912,burro,caballo,sra,lctrl,lctrl,0.033382455032779035
36,1,0.4783546512196608,zorrino,zorro,sra,lctrl,lctrl,0.03334306455144542
37,1,0.4592047313276453,raton,cabra,wra,lctrl,lctrl,0.03338245503255166
38,1,0.48596958552002434,escritorio,leon,nr,lctrl,lctrl,0.03339670265359018
39,1,0.45152191130432584,destornillador,tornillo,sro,rctrl,lctrl,0.03338692487454864
40,1,0.5695788151845136,cuchillo,tenedor,sro,rctrl,lctrl,0.03341178836990366
41,1,0.47716455583054085,escarabajo,leon,wra,lctrl,lctrl,0.03339698201853025
42,1,0.491257129048563,chancho,tornillo,nr,rctrl,lctrl,0.033346975663107514
43,1,0.5473659361734917,canguro,mesa,nr,rctrl,lctrl,0.03338971852576833
44,1,0.5158080147059536,oso,olla,nr,rctrl,lctrl,0.03336569312591564
45,1,0.4996215999519791,oveja,cabra,sra,lctrl,lctrl,0.033382455032779035
46,1,0.6685173674306952,camello,zapato,nr,rctrl,lctrl,0.03342324233949512
47,1,0.5187935896881299,pinguino,clavo,nr,rctrl,lctrl,0.03332602327964196
48,1,0.5410296560037295,tuerca,gato,nr,lctrl,lctrl,0.033360385188643704
49,1,0.5119779189813016,serrucho,caballo,nr,lctrl,lctrl,0.033377705825841986
50,1,0.5441029516321123,hacha,vaso,wro,rctrl,lctrl,0.0333570328073165
51,1,0.9296279275718007,llave,zapato,wro,rctrl,lctrl,0.03323159787055374
52,1,0.6065759754380906,peine,tornillo,wro,rctrl,lctrl,0.03339083598621073
53,1,0.4694361992935683,conejo,clavo,nr,rctrl,lctrl,0.03340703916273924
54,1,0.5197733231459551,bota,zapato,sro,rctrl,lctrl,0.03334753439321503
55,1,0.446335218582135,sobre,gato,nr,lctrl,lctrl,0.03335172487004456
56,1,0.4988371427093625,sarten,olla,sro,rctrl,lctrl,0.0333782645559495
57,1,0.543057567372216,tigre,leon,sra,lctrl,lctrl,0.03340033440008483
58,1,0.4935180309230418,pincel,pato,nr,lctrl,lctrl,0.033204778819708736
59,1,0.5302998006729922,gallina,olla,nr,rctrl,lctrl,0.03333216931196148
60,1,0.5601642108144915,gallo,cigarrillo,nr,rctrl,lctrl,0.03338524868377135
61,1,0.5456078915055969,elefante,mesa,nr,rctrl,lctrl,0.033372118523402605
62,1,0.6077110358999107,jarra,cabra,nr,lctrl,lctrl,0.033396143923255295
63,1,0.47585573026731254,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03334893121882487
64,1,0.5568068008644786,bowl,caballo,nr,lctrl,lctrl,0.03340201059086212
65,1,0.5520902796304199,gallina,olla,nr,rctrl,lctrl,0.03338301376288655
66,1,0.3684954372693028,zorrino,zorro,sra,lctrl,lctrl,0.03330507089594903
67,1,0.3950340057185713,elefante,mesa,nr,rctrl,lctrl,0.0333899978907084
68,1,0.43441331230656033,mosca,zorro,wra,lctrl,lctrl,0.03339362963720305
69,1,0.4393723224600308,gallo,cigarrillo,nr,rctrl,lctrl,0.03338133757210926
70,1,0.4838687598564775,hormiga,pato,wra,lctrl,lctrl,0.03340564233712939
71,1,0.4449797390450385,cuchara,cigarrillo,wro,rctrl,lctrl,0.03336457566547324
72,1,0.3973088758486938,pipa,cigarrillo,sro,rctrl,lctrl,0.03340340741624459
73,1,0.42555660007064944,tijera,leon,nr,lctrl,lctrl,0.03336401693513835
74,1,0.437432131737296,sarten,olla,sro,rctrl,lctrl,0.03337994074672679
75,1,0.4237491077776667,arana,caballo,wra,lctrl,lctrl,0.03336876614184803
76,1,0.5230550251496879,bowl,caballo,nr,lctrl,lctrl,0.03340508360702188
