Nombre,66
Apellido,8_29
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano izquierda
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0.6940566468642828,carro,buho,sra,rctrl,lctrl,0.03338217566761159
-8,1,0.6623565285532322,buho,carro,sro,rctrl,lctrl,0.03333719788417966
-7,1,0.5212064661849354,serpiente,hilo,sro,rctrl,lctrl,0.03338692487443495
-6,1,0.4995280126383932,pavo,rueda,sro,rctrl,lctrl,0.03338133757222295
-5,1,0.481920188180311,mapache,violin,sro,rctrl,lctrl,0.03336429630019211
-4,1,0.4441693008468519,carro,buho,sra,lctrl,lctrl,0.03341039154418013
-3,1,0.4559984579045704,hilo,serpiente,sra,lctrl,lctrl,0.033403128051190834
-2,1,0.5067082548200688,serpiente,hilo,sro,rctrl,lctrl,0.033388321700158485
-1,1,0.46069765850131716,hilo,serpiente,sra,lctrl,lctrl,0.03339977566986363
0,1,0.5021322542389726,violin,mapache,sra,lctrl,lctrl,0.03345006139045381
1,1,0.46117229983144625,gorila,mono,sra,lctrl,lctrl,0.033360385188643704
2,1,0.43678121101982015,arana,caballo,wra,lctrl,lctrl,0.0333687661420754
3,1,0.4575106612712716,escritorio,leon,nr,lctrl,lctrl,0.0332835597820349
4,1,0.4550877276301435,tijera,leon,nr,lctrl,lctrl,0.03339362963720305
5,1,0.4128572206802801,aguila,mono,wra,lctrl,lctrl,0.03339586455820154
6,1,0.3498360825188911,copa,pato,nr,lctrl,lctrl,0.033372118523402605
7,1,0.401602997028931,escarabajo,leon,wra,lctrl,lctrl,0.033362061379307306
8,1,0.432956981962775,puerta,mono,nr,lctrl,lctrl,0.033393629637316735
9,1,0.5049314926897068,cuchara,cigarrillo,wro,rctrl,lctrl,0.033379102651338144
10,1,0.48478368060750654,candado,cebra,nr,lctrl,lctrl,0.03340983281395893
11,1,0.43367690586376284,regla,clavo,wro,rctrl,lctrl,0.033396702653476495
12,1,0.4795961497900407,conejo,clavo,nr,rctrl,lctrl,0.03338915979543344
13,1,0.3961179423641852,sapo,cebra,wra,lctrl,lctrl,0.03338301376288655
14,1,0.6033671877291908,camello,zapato,nr,rctrl,lctrl,0.03342156614871783
15,1,0.5431084118232548,sombrero,tenedor,wro,rctrl,lctrl,0.033391394716318246
16,1,0.48063203563583556,serrucho,caballo,nr,lctrl,lctrl,0.03338748360476984
17,1,0.4962586026995268,hacha,vaso,wro,rctrl,lctrl,0.033383293127940306
18,1,0.4913579798550245,gallina,olla,nr,rctrl,lctrl,0.03337295661879125
19,1,0.3807523023177737,elefante,mesa,nr,rctrl,lctrl,0.03340843598834908
20,1,0.45020889526460905,pinguino,clavo,nr,rctrl,lctrl,0.03335954709336875
21,1,0.3816904103733805,peine,tornillo,wro,rctrl,lctrl,0.03337463280945485
22,1,0.4550374419095533,cama,mono,nr,lctrl,lctrl,0.03341262646506493
23,1,0.4620972777266843,sarten,olla,sro,rctrl,lctrl,0.03338692487454864
24,1,0.38822112866307634,destornillador,tornillo,sro,rctrl,lctrl,0.03348162964846324
25,1,0.3910128242555402,sobre,gato,nr,lctrl,lctrl,0.03338468995355015
26,1,0.39400370717510214,rinoceronte,tenedor,nr,rctrl,lctrl,0.033395585193034094
27,1,0.5605201219708533,lapiz,zorro,nr,lctrl,lctrl,0.03338468995366384
28,1,0.4332673566052563,avestruz,zapato,nr,rctrl,lctrl,0.03337882328605701
29,1,0.3978790600481261,taza,cabra,nr,lctrl,lctrl,0.033360385188643704
30,1,0.4247296793307669,pipa,cigarrillo,sro,rctrl,lctrl,0.033352842330486965
31,1,0.3897322145689941,mariposa,vaso,nr,rctrl,lctrl,0.03338217566761159
32,1,0.5172123831380304,burro,caballo,sra,lctrl,lctrl,0.03337854392111694
33,1,0.561922255482159,raton,cabra,wra,lctrl,lctrl,0.03340284868613708
34,1,0.4419952815233046,ardilla,vaso,nr,rctrl,lctrl,0.03337742646067454
35,1,0.4140302747975966,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03340955344901886
36,1,0.5008466159804357,chancho,tornillo,nr,rctrl,lctrl,0.03341681694178078
37,1,0.5554792578386696,silla,mesa,sro,rctrl,lctrl,0.03337463280945485
38,1,0.42484701267881064,jirafa,cebra,sra,lctrl,lctrl,0.033384131223556324
39,1,0.42598710171273524,canguro,mesa,nr,rctrl,lctrl,0.0333793820163919
40,1,0.5433556499499446,perro,gato,sra,lctrl,lctrl,0.03338580741410624
41,1,0.3710829169629051,pava,zorro,nr,lctrl,lctrl,0.03338608677927368
42,1,0.4809248102760648,gallo,cigarrillo,nr,rctrl,lctrl,0.03339921693964243
43,1,0.45204823518088233,ventana,cebra,nr,lctrl,lctrl,0.03340396614657948
44,1,0.8445458850217165,cuchillo,tenedor,sro,rctrl,lctrl,0.03338357249299406
45,1,0.4574645660272836,bota,zapato,sro,rctrl,lctrl,0.03339362963720305
46,1,0.5062143372972514,oso,olla,nr,rctrl,lctrl,0.03338580741410624
47,1,0.4686766055460794,oveja,cabra,sra,lctrl,lctrl,0.03338413122332895
48,1,0.48433976943988455,llave,zapato,wro,rctrl,lctrl,0.03339251217676065
49,0,0.3343047789594493,zorrino,zorro,sra,rctrl,lctrl,0.03336848677690796
50,1,0.504626984714605,media,olla,wro,rctrl,lctrl,0.033374912174622295
51,1,0.4106468838917863,tigre,leon,sra,lctrl,lctrl,0.03339726138392507
52,1,0.42908470210591076,pinza,mesa,wro,rctrl,lctrl,0.03339251217698802
53,1,0.3489041204957175,martillo,clavo,sro,rctrl,lctrl,0.03337994074672679
54,1,0.4907372305699482,mosca,zorro,wra,lctrl,lctrl,0.0333899978907084
55,1,0.40763029938148065,hormiga,pato,wra,lctrl,lctrl,0.03339837884436747
56,1,0.5222577171120975,botella,vaso,sro,rctrl,lctrl,0.03338496931883128
57,1,0.46678251006756,ciervo,tenedor,nr,rctrl,lctrl,0.033358708997866415
58,1,0.43725585234983555,cisne,pato,sra,lctrl,lctrl,0.0333687661420754
59,1,0.5518226478504857,jarra,cabra,nr,lctrl,lctrl,0.03337547090495718
60,1,0.60521071812218,tuerca,gato,nr,lctrl,lctrl,0.033396143923255295
61,1,0.5359530331370479,tortuga,tornillo,nr,rctrl,lctrl,0.03335759153765139
62,1,0.5200736406443411,bowl,caballo,nr,lctrl,lctrl,0.03340620106746428
63,1,0.40648043256896926,abeja,gato,wra,lctrl,lctrl,0.033383851858161506
64,1,0.34085309725105617,pincel,pato,nr,lctrl,lctrl,0.03338692487454864
65,1,0.4526818352612736,arana,caballo,wra,lctrl,lctrl,0.033398658209534915
66,1,0.3987319617438061,pipa,cigarrillo,sro,rctrl,lctrl,0.03336792804657307
67,1,0.44153712273487145,puerta,mono,nr,lctrl,lctrl,0.03336401693491098
68,1,0.3633489731237205,martillo,clavo,sro,rctrl,lctrl,0.03337575026989725
69,1,0.42091187567143606,regla,clavo,wro,rctrl,lctrl,0.03338413122332895
70,0,0.3544310799277355,llave,zapato,wro,lctrl,lctrl,0.03340508360702188
71,1,0.38064781976481754,destornillador,tornillo,sro,rctrl,lctrl,0.033345020107390155
72,1,0.5162684084150442,serrucho,caballo,nr,lctrl,lctrl,0.03340256932096963
73,1,0.5148657161735173,bowl,caballo,nr,lctrl,lctrl,0.03338580741410624
74,1,0.45379734016455586,raton,cabra,wra,lctrl,lctrl,0.03340927408362404
75,1,0.42517386986332895,gallo,cigarrillo,nr,rctrl,lctrl,0.0333760296350647
76,1,0.42838098138190617,tuerca,gato,nr,lctrl,lctrl,0.033376867730339654
77,1,0.4119998491428305,ardilla,vaso,nr,rctrl,lctrl,0.033400893130192344
78,1,0.38542636005422537,pincel,pato,nr,lctrl,lctrl,0.033382734397719105
79,1,0.3518072827691867,aguila,mono,wra,lctrl,lctrl,0.033379382016619275
80,1,0.4025612193727284,cuchara,cigarrillo,wro,rctrl,lctrl,0.03340396614657948
81,1,0.423757209365931,botella,vaso,sro,rctrl,lctrl,0.03339474709764545
82,1,0.43252927397202257,cisne,pato,sra,lctrl,lctrl,0.03338608677904631
83,1,0.323276561685816,jarra,cabra,nr,lctrl,lctrl,0.033382455032779035
84,0,0.3275176034942433,taza,cabra,nr,rctrl,lctrl,0.0333570328073165
85,1,0.47072379310770884,jirafa,cebra,sra,lctrl,lctrl,0.03338329312805399
86,1,0.424454504692676,gallina,olla,nr,rctrl,lctrl,0.03334669629794007
87,1,0.4496241840793118,media,olla,wro,rctrl,lctrl,0.03338301376288655
88,0,0.6736459522089717,mariposa,vaso,nr,lctrl,lctrl,0.033384410588496394
89,1,0.5258025810542222,oso,olla,nr,rctrl,lctrl,0.033387204239716084
90,1,0.4469570853279947,gorila,mono,sra,lctrl,lctrl,0.03339558519292041
91,1,0.4785591464838035,mosca,zorro,wra,lctrl,lctrl,0.03340452487668699
92,1,0.41440713833731024,zorrino,zorro,sra,lctrl,lctrl,0.03338608677927368
93,1,0.3871391475731798,escarabajo,leon,wra,lctrl,lctrl,0.033434416944146506
94,1,0.4102367759030585,burro,caballo,sra,lctrl,lctrl,0.03339362963743042
95,1,0.38249051206230433,perro,gato,sra,lctrl,lctrl,0.03340284868613708
96,1,0.5226041298544715,sombrero,tenedor,wro,rctrl,lctrl,0.0333983788441401
