Nombre,66
Apellido,8_34
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Preferencia moderada de mano izquierda
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.8664028528764902,buho,carro,sro,lctrl,rctrl,0.03339530582798034
-8,1,0.6897611288586631,violin,mapache,sra,rctrl,rctrl,0.033390277255875844
-7,0,0.7309334007534289,mapache,violin,sro,rctrl,rctrl,0.03340284868602339
-6,1,1.2232970950219624,violin,mapache,sra,rctrl,rctrl,0.033450340755621255
-5,1,0.7866670205291939,carro,buho,sra,rctrl,rctrl,0.03339390900237049
-4,1,0.5139010684317782,hilo,serpiente,sra,rctrl,rctrl,0.03329808676801349
-3,1,0.4868194141993172,hilo,pavo,sra,rctrl,rctrl,0.0333581502677589
-2,1,0.5135038112387065,hilo,serpiente,sra,rctrl,rctrl,0.03342799154643217
-1,1,0.6033931686847609,hilo,pavo,sra,rctrl,rctrl,0.033360385188643704
0,1,0.5811970515806024,pavo,rueda,sro,lctrl,rctrl,0.03337798519100943
1,1,0.8544608323124976,pipa,cigarrillo,sro,lctrl,rctrl,0.033385528048938795
2,1,0.5378253381365994,martillo,clavo,sro,lctrl,rctrl,0.033381058206941816
3,1,0.5216839011663978,peine,tornillo,wro,lctrl,rctrl,0.03325702009624365
4,1,0.9035866290269041,ciervo,tenedor,nr,lctrl,rctrl,0.03352800425750502
5,0,0.39693871707163453,bowl,caballo,nr,lctrl,rctrl,0.033387204239716084
6,1,0.7049915561894977,gallo,cigarrillo,nr,lctrl,rctrl,0.033399216939415055
7,1,0.5227466060630377,lapiz,zorro,nr,rctrl,rctrl,0.03339446773270538
8,1,0.5943981707171133,tortuga,tornillo,nr,lctrl,rctrl,0.03340620106746428
9,1,0.5675056466673141,jirafa,cebra,sra,rctrl,rctrl,0.03334613756783256
10,1,0.5010977652186739,arana,caballo,wra,rctrl,rctrl,0.03338971852554096
11,1,0.5540363370205341,sobre,gato,nr,rctrl,rctrl,0.033403966146352104
12,1,0.747140488525929,hacha,vaso,wro,lctrl,rctrl,0.03337742646044717
13,1,0.43512960446105353,taza,cabra,nr,rctrl,rctrl,0.033370162967685246
14,1,0.6130678619767878,mosca,zorro,wra,rctrl,rctrl,0.033291382005245396
15,1,0.5240210697168095,llave,zapato,wro,lctrl,rctrl,0.0334028486859097
16,1,0.6955833772169626,mariposa,vaso,nr,lctrl,rctrl,0.03338720423948871
17,0,0.3024904003161737,cocodrilo,cigarrillo,nr,rctrl,rctrl,0.03339670265359018
18,1,0.7205762184858031,camello,zapato,nr,lctrl,rctrl,0.033381616937276704
19,1,0.49904359352944994,gorila,mono,sra,rctrl,rctrl,0.03340620106746428
20,1,0.6145864907412033,chancho,tornillo,nr,lctrl,rctrl,0.033383851858161506
21,0,0.64752782825758,cuchara,cigarrillo,wro,rctrl,rctrl,0.03330227724472934
22,1,0.7240302887655616,raton,cabra,wra,rctrl,rctrl,0.033377705825841986
23,1,0.7060316325118947,burro,caballo,sra,rctrl,rctrl,0.03336932487241029
24,1,0.6027374987604617,tigre,leon,sra,rctrl,rctrl,0.03323578834738328
25,1,0.5423298212483587,pinguino,clavo,nr,lctrl,rctrl,0.033397261383697696
26,1,0.51688133547691,media,olla,wro,lctrl,rctrl,0.033357032807089126
27,1,1.1791926068815428,candado,cebra,nr,rctrl,rctrl,0.033377705825841986
28,1,0.47578309533764696,sapo,cebra,wra,rctrl,rctrl,0.03340843598834908
29,1,0.6165423259101317,oso,olla,nr,lctrl,rctrl,0.03337239788857005
30,1,0.5854635156142649,oveja,cabra,sra,rctrl,rctrl,0.033394188367537936
31,1,0.5438825325566086,elefante,mesa,nr,lctrl,rctrl,0.0334006137650249
32,1,0.7509968445710911,cisne,pato,sra,rctrl,rctrl,0.033498950285547835
33,1,0.5068236326126225,tuerca,gato,nr,rctrl,rctrl,0.03362131220592346
34,1,0.4962119487252039,pincel,pato,nr,rctrl,rctrl,0.033388880430266
35,1,0.442177986308252,destornillador,tornillo,sro,lctrl,rctrl,0.03338329312805399
36,1,0.7353574267121985,pava,zorro,nr,rctrl,rctrl,0.03325813755668605
37,1,0.569139653224056,botella,vaso,sro,lctrl,rctrl,0.033406759797571794
38,1,0.6518063049911689,bota,zapato,sro,lctrl,rctrl,0.0333899978907084
39,1,0.7877107285983129,cama,mono,nr,rctrl,rctrl,0.03337239788857005
40,1,0.5588288455655857,puerta,mono,nr,rctrl,rctrl,0.03335172487004456
41,1,1.0809264864667512,serrucho,caballo,nr,rctrl,rctrl,0.033343902646947754
42,1,0.5550127180970321,hormiga,pato,wra,rctrl,rctrl,0.033387483604656154
43,1,0.6978381330586672,canguro,mesa,nr,lctrl,rctrl,0.033360664553583774
