Nombre,66
Apellido,8_41
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,No preferencia
Escribir,Alta preferencia de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,No preferencia
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.4959708566311747,serpiente,hilo,sro,lctrl,rctrl,0.03341569948133838
-8,1,0.5441529579877624,mapache,violin,sro,lctrl,rctrl,0.033388880430266
-7,1,0.47496483491613617,pavo,rueda,sro,lctrl,rctrl,0.03348498202990413
-6,1,0.5996672761482387,buho,carro,sro,lctrl,rctrl,0.03340871535351653
-5,1,0.6403176940086723,hilo,serpiente,sra,rctrl,rctrl,0.03338804233499104
-4,1,0.49333281185181477,violin,mapache,sra,rctrl,rctrl,0.0334028486859097
-3,1,0.5332482200949471,carro,buho,sra,rctrl,rctrl,0.03340536297218932
-2,1,0.6686182182372704,carro,buho,sra,rctrl,rctrl,0.03337435344428741
-1,1,0.8671666371005813,hilo,pavo,sra,rctrl,rctrl,0.03333635978856364
0,1,0.6601718933550274,buho,carro,sro,lctrl,rctrl,0.03340228995602956
1,1,0.6738551966800514,pincel,pato,nr,rctrl,rctrl,0.033409553448791485
2,1,0.5062372452364343,martillo,clavo,sro,lctrl,rctrl,0.03373864555419459
3,1,0.4664288338321967,aguila,mono,wra,rctrl,rctrl,0.033214277233582834
4,1,0.5668712084914205,sarten,olla,sro,lctrl,rctrl,0.03336792804657307
5,1,0.53440758532156,candado,cebra,nr,rctrl,rctrl,0.03356683600850374
6,1,0.538243547713364,camello,zapato,nr,lctrl,rctrl,0.03336234074436106
7,1,0.4201763073240272,arana,caballo,wra,rctrl,rctrl,0.03328942644930066
8,1,0.5435400309256693,pipa,cigarrillo,sro,lctrl,rctrl,0.03336401693513835
9,1,0.7332465439044427,taza,cabra,nr,rctrl,rctrl,0.03332993439107668
10,1,0.5714622947887165,gallo,cigarrillo,nr,lctrl,rctrl,0.03343860742074867
11,1,0.5108995696380134,bota,zapato,sro,lctrl,rctrl,0.03314722960612926
12,1,0.4421000434413145,chancho,tornillo,nr,lctrl,rctrl,0.033374912174622295
13,1,0.6938934976374185,conejo,clavo,nr,lctrl,rctrl,0.033139686747745145
14,1,0.7663024211178708,canguro,mesa,nr,lctrl,rctrl,0.03337854392111694
15,1,0.6507368953316472,mosca,zorro,wra,rctrl,rctrl,0.03337435344428741
16,1,0.4979677584719866,raton,cabra,wra,rctrl,rctrl,0.033463470915876314
17,1,0.4944466405647745,burro,caballo,sra,rctrl,rctrl,0.033387483604656154
18,1,0.5482607426363302,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03334390264672038
19,1,0.5389729700284533,peine,tornillo,wro,lctrl,rctrl,0.0333698836025178
20,1,0.5549015307810805,gallina,olla,nr,lctrl,rctrl,0.03336429630007842
21,1,0.5821597437661694,hacha,vaso,wro,lctrl,rctrl,0.03338413122332895
22,1,0.5313158515955365,abeja,gato,wra,rctrl,rctrl,0.03340033440008483
23,1,0.5288082703248165,rinoceronte,tenedor,nr,lctrl,rctrl,0.03336569312568827
24,1,0.5028063622610262,jirafa,cebra,sra,rctrl,rctrl,0.03338496931883128
25,1,0.5181756340539323,serrucho,caballo,nr,rctrl,rctrl,0.0335453248947033
26,1,0.5420281069241355,copa,pato,nr,rctrl,rctrl,0.03339167408148569
27,1,0.511001537905031,cuchara,cigarrillo,wro,lctrl,rctrl,0.03338217566761159
28,1,0.5050731308028844,zorrino,zorro,sra,rctrl,rctrl,0.03337630900023214
29,1,0.510635010874239,sombrero,tenedor,wro,lctrl,rctrl,0.03338413122332895
30,1,0.5002445841580538,elefante,mesa,nr,lctrl,rctrl,0.0333877629698236
31,1,0.6264173239894717,oveja,cabra,sra,rctrl,rctrl,0.03315784548044576
32,1,0.43390570589281197,jarra,cabra,nr,rctrl,rctrl,0.033397820114032584
33,1,0.4214887646335228,sobre,gato,nr,rctrl,rctrl,0.03340871535328915
34,1,0.43233986442419337,pinguino,clavo,nr,lctrl,rctrl,0.033377705825841986
35,1,0.596407085258079,regla,clavo,wro,lctrl,rctrl,0.03338413122332895
36,1,0.5546325021755365,hormiga,pato,wra,rctrl,rctrl,0.03312683595254384
37,1,0.47342190138692786,silla,mesa,sro,lctrl,rctrl,0.033355635981706655
38,1,0.5113339823915339,ventana,cebra,nr,rctrl,rctrl,0.033394467732478006
39,1,0.7323779977623417,tijera,leon,nr,rctrl,rctrl,0.0336277376036378
40,1,0.6046246101111592,avestruz,zapato,nr,lctrl,rctrl,0.03338217566761159
41,1,0.5970901329637854,puerta,mono,nr,rctrl,rctrl,0.033369324872182915
42,1,0.46360193823534246,perro,gato,sra,rctrl,rctrl,0.03337183915823516
43,1,0.48954964946665314,escarabajo,leon,wra,rctrl,rctrl,0.033380778842001746
44,1,0.5549336577694248,bowl,caballo,nr,rctrl,rctrl,0.03313521690597554
45,1,0.5837479344440908,pinza,mesa,wro,lctrl,rctrl,0.0332757375588244
46,1,0.6583982042411662,tigre,leon,sra,rctrl,rctrl,0.033403686781412034
47,1,0.5159926750468458,cuchillo,tenedor,sro,lctrl,rctrl,0.03337854392111694
48,1,0.46127985540056216,sapo,cebra,wra,rctrl,rctrl,0.03338496931883128
49,1,0.47024356447536775,gorila,mono,sra,rctrl,rctrl,0.03340592170229684
50,1,0.44958507296314565,media,olla,wro,lctrl,rctrl,0.03344195980207587
51,1,0.56361828109425,destornillador,tornillo,sro,lctrl,rctrl,0.033350886774769606
52,1,0.5379373635475986,cama,mono,nr,rctrl,rctrl,0.0332005883428792
53,1,0.488025712765193,tortuga,tornillo,nr,lctrl,rctrl,0.0333760296350647
54,1,0.5019646351702249,escritorio,leon,nr,rctrl,rctrl,0.033403966146352104
55,1,0.5861239347457285,mariposa,vaso,nr,lctrl,rctrl,0.033392791542155464
56,1,0.5579770613303481,oso,olla,nr,lctrl,rctrl,0.0333760296350647
57,1,0.5477042473276015,tuerca,gato,nr,rctrl,rctrl,0.033420169323107984
58,1,0.5701632470047571,cisne,pato,sra,rctrl,rctrl,0.033360664553583774
59,1,0.4200315961945762,pava,zorro,nr,rctrl,rctrl,0.033647013796326064
60,1,0.5145447256566058,ciervo,tenedor,nr,lctrl,rctrl,0.03315142008273142
61,1,0.5914550592324304,botella,vaso,sro,lctrl,rctrl,0.03315421373395111
62,0,0.5162150496780669,llave,zapato,wro,rctrl,rctrl,0.0335782899780952
63,1,0.7190841294075199,ardilla,vaso,nr,lctrl,rctrl,0.0334017312254673
64,1,0.5632766175588131,lapiz,zorro,nr,rctrl,rctrl,0.033434696309086576
65,1,0.5376202841423492,pinguino,clavo,nr,lctrl,rctrl,0.03335619471204154
66,1,0.48768293176931365,abeja,gato,wra,rctrl,rctrl,0.033404804241854436
67,1,0.4035775496604401,tuerca,gato,nr,rctrl,rctrl,0.03339418836731056
68,1,0.46016686478310476,escritorio,leon,nr,rctrl,rctrl,0.03336848677713533
69,1,0.4441653897354172,tijera,leon,nr,rctrl,rctrl,0.03335731217225657
70,1,0.4942505262540635,ardilla,vaso,nr,lctrl,rctrl,0.033380499477061676
71,1,0.4046458418599741,destornillador,tornillo,sro,lctrl,rctrl,0.03335619471181417
72,1,0.40169965735867663,sombrero,tenedor,wro,lctrl,rctrl,0.03337994074672679
73,1,0.49468158662625683,oso,olla,nr,lctrl,rctrl,0.03338301376288655
74,1,0.5033231877234812,puerta,mono,nr,rctrl,rctrl,0.03335507725137177
75,1,0.5129811191086446,aguila,mono,wra,rctrl,rctrl,0.033367369316465556
76,1,0.5416026338541542,sapo,cebra,wra,rctrl,rctrl,0.03338329312805399
77,1,0.5042196703770969,elefante,mesa,nr,lctrl,rctrl,0.033636397922009564
78,1,0.44760186001281,cisne,pato,sra,rctrl,rctrl,0.03337155979329509
79,1,0.5602829409883725,zorrino,zorro,sra,rctrl,rctrl,0.03337575026989725
80,1,0.5183253737554878,gallo,cigarrillo,nr,lctrl,rctrl,0.03338217566761159
81,1,0.6816841246582044,jirafa,cebra,sra,rctrl,rctrl,0.033352842330486965
82,1,0.5775055209530819,bota,zapato,sro,lctrl,rctrl,0.0332969693074574
83,1,0.5083665661418308,oveja,cabra,sra,rctrl,rctrl,0.033391394716318246
84,1,0.5777359971727947,martillo,clavo,sro,lctrl,rctrl,0.033368207411740514
85,1,0.5630291000670695,hacha,vaso,wro,lctrl,rctrl,0.033400055034917386
86,1,0.5599130615762533,pava,zorro,nr,rctrl,rctrl,0.03336206137919362
87,1,0.5777915908306568,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03337575026989725
88,1,0.44841118075078157,peine,tornillo,wro,lctrl,rctrl,0.03337547090472981
89,1,0.4719800980292348,perro,gato,sra,rctrl,rctrl,0.03339809947920003
90,1,0.3964149074811303,pincel,pato,nr,rctrl,rctrl,0.03337491217439492
91,1,0.5007764953368223,bowl,caballo,nr,rctrl,rctrl,0.03334948994915976
92,1,0.47157306305689417,chancho,tornillo,nr,lctrl,rctrl,0.033327699470191874
93,1,0.5666924148181351,serrucho,caballo,nr,rctrl,rctrl,0.033403686781412034
94,1,0.5504344825949374,pipa,cigarrillo,sro,lctrl,rctrl,0.033366251856023155
