Nombre,66
Apellido,_19_45
Edad,21 anos 
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,Si
Trabaja?,Si
Horas de sueño la noche anterior?,Mas de 7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0.7205653232467739,buho,carro,sro,lctrl,lctrl,0.03334613756760518
-8,1,0.735651877543205,hilo,pavo,sra,lctrl,lctrl,0.03337854392157169
-7,1,0.5409936179039505,pavo,rueda,sro,rctrl,lctrl,0.03340927408407879
-6,0,0.585319083849754,buho,carro,sro,lctrl,lctrl,0.03318606135690061
-5,1,0.5493812761123991,hilo,pavo,sra,lctrl,lctrl,0.033374912174622295
-4,1,0.5314312293876355,pavo,rueda,sro,rctrl,lctrl,0.03336234074413369
-3,1,0.64160640528371,carro,buho,sra,lctrl,lctrl,0.03336094391943334
-2,1,0.7976041647752936,mapache,violin,sro,rctrl,lctrl,0.03338217566761159
-1,1,0.6867518078415742,carro,buho,sra,lctrl,lctrl,0.033372118523402605
0,1,0.3572409342523315,buho,carro,sro,rctrl,lctrl,0.033357870902364084
1,1,0.5398666590308494,escarabajo,leon,wra,lctrl,lctrl,0.03339446773225063
2,1,0.5060710229936376,taza,cabra,nr,lctrl,lctrl,0.03337547090541193
3,1,0.45364005760529835,mosca,zorro,wra,lctrl,lctrl,0.033374632809682225
4,1,0.37190480913068313,serrucho,caballo,nr,lctrl,lctrl,0.03334138836089551
5,1,0.5760991969646057,ciervo,tenedor,nr,rctrl,lctrl,0.03338245503255166
6,1,0.43529079813197313,pava,zorro,nr,lctrl,lctrl,0.03337686773011228
7,1,0.41024180447493563,burro,caballo,sra,lctrl,lctrl,0.0333793820163919
8,1,0.3346718647198941,perro,gato,sra,lctrl,lctrl,0.03337658836517221
9,1,0.4986019172829401,avestruz,zapato,nr,rctrl,lctrl,0.033385528049620916
10,1,0.42783091147066443,copa,pato,nr,lctrl,lctrl,0.0332357883471559
11,1,0.49308054515313415,jirafa,cebra,sra,lctrl,lctrl,0.03337463280877273
12,1,0.651781441496496,llave,zapato,wro,rctrl,lctrl,0.03338217566761159
13,1,0.5439434341515152,puerta,mono,nr,lctrl,lctrl,0.03340955344901886
14,1,0.4549564260260013,ventana,cebra,nr,lctrl,lctrl,0.03344447408835549
15,1,0.548109047379512,hacha,vaso,wro,rctrl,lctrl,0.03338413122401107
16,1,0.5648947003046487,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.033377147095961845
17,1,0.5632120842174118,destornillador,tornillo,sro,rctrl,lctrl,0.03338217566761159
18,1,0.43041699433888425,sobre,gato,nr,lctrl,lctrl,0.03340145186120935
19,1,0.5826690263711498,tortuga,tornillo,nr,rctrl,lctrl,0.033431064563046675
20,1,0.4691822564045651,mariposa,vaso,nr,rctrl,lctrl,0.033357591537424014
21,1,0.5607251759647625,regla,clavo,wro,rctrl,lctrl,0.03337295661913231
22,1,0.4205526121331786,cama,mono,nr,lctrl,lctrl,0.03337714709505235
23,1,0.5922470593332037,pinza,mesa,wro,rctrl,lctrl,0.033364855031322804
24,1,0.5457336058070723,cuchillo,tenedor,sro,rctrl,lctrl,0.033384131223101576
25,1,0.5315994071870591,gorila,mono,sra,lctrl,lctrl,0.03335088677431486
26,1,0.46673753228424175,tijera,leon,nr,lctrl,lctrl,0.03338496931883128
27,1,0.3754323524362917,tigre,leon,sra,lctrl,lctrl,0.033376867731021775
28,1,0.552000324063556,chancho,tornillo,nr,rctrl,lctrl,0.033383293128281366
29,1,0.4290366513068875,tuerca,gato,nr,lctrl,lctrl,0.03338720424017083
30,1,0.6155394051484109,elefante,mesa,nr,rctrl,lctrl,0.03337463280877273
31,1,0.5340438519424424,silla,mesa,sro,rctrl,lctrl,0.03336792804657307
32,1,0.5603636775067571,sarten,olla,sro,rctrl,lctrl,0.03338888042981125
33,1,0.5671240339206634,jarra,cabra,nr,lctrl,lctrl,0.033383572493221436
34,1,0.4889381192297151,gallina,olla,nr,rctrl,lctrl,0.03339949630480987
35,1,0.44902550463848456,ardilla,vaso,nr,rctrl,lctrl,0.03339782011425996
36,1,0.397414475862206,sombrero,tenedor,wro,rctrl,lctrl,0.03312683595231647
37,1,0.3990445713070585,cuchara,cigarrillo,wro,rctrl,lctrl,0.03340228995602956
38,1,0.4962549709525774,escritorio,leon,nr,lctrl,lctrl,0.03340424551151955
39,1,0.41896833256760146,oveja,cabra,sra,lctrl,lctrl,0.03340508360724925
40,1,0.42464223805018264,raton,cabra,wra,lctrl,lctrl,0.033138848652924935
41,1,0.40065147944824275,media,olla,wro,rctrl,lctrl,0.033410112178899
42,1,0.4544504958030302,canguro,mesa,nr,rctrl,lctrl,0.033383851858161506
43,1,0.5435185198120962,hormiga,pato,wra,lctrl,lctrl,0.03337910265145183
44,1,0.37101139949299977,bowl,caballo,nr,lctrl,lctrl,0.03340620106700953
45,1,0.42047634545724577,rinoceronte,tenedor,nr,rctrl,lctrl,0.03337323598407238
46,1,0.4457362597759129,pipa,cigarrillo,sro,rctrl,lctrl,0.033374912174622295
47,1,0.38141272144912364,lapiz,zorro,nr,lctrl,lctrl,0.03338776297005097
48,1,0.46343711281679134,abeja,gato,wra,lctrl,lctrl,0.033372118523402605
49,1,0.3744598824714558,bota,zapato,sro,rctrl,lctrl,0.0333486518538848
50,1,0.5201387327160774,oso,olla,nr,rctrl,lctrl,0.03356655664356367
51,1,0.3665485417832315,martillo,clavo,sro,rctrl,lctrl,0.03338971852645045
52,1,0.5694927707299939,gallo,cigarrillo,nr,rctrl,lctrl,0.03338189630267152
53,1,0.4323555088712965,arana,caballo,wra,lctrl,lctrl,0.033373235983162886
54,1,0.5082291185053691,camello,zapato,nr,rctrl,lctrl,0.0333902772554211
55,1,0.37482305712001107,candado,cebra,nr,lctrl,lctrl,0.0333405502651658
56,1,0.35042246989542036,peine,tornillo,wro,rctrl,lctrl,0.03335284233071434
57,1,0.42725374314341025,cisne,pato,sra,lctrl,lctrl,0.033445591549025266
58,1,0.3575183438115346,aguila,mono,wra,lctrl,lctrl,0.0334064804319496
59,1,0.33020844828024565,pinguino,clavo,nr,rctrl,lctrl,0.03339418836731056
60,1,0.310712674376191,conejo,clavo,nr,rctrl,lctrl,0.03337239788925217
61,1,0.518844713503313,botella,vaso,sro,rctrl,lctrl,0.033371559793522465
62,0,0.393559516642199,pincel,pato,nr,rctrl,lctrl,0.03337100106273283
63,1,0.4594069916711305,sapo,cebra,wra,lctrl,lctrl,0.03339977567065944
64,1,0.38778056987666787,zorrino,zorro,sra,lctrl,lctrl,0.033384131223101576
65,1,0.7719844281882615,ardilla,vaso,nr,rctrl,lctrl,0.03276449939858139
66,1,0.3712731646055545,pava,zorro,nr,lctrl,lctrl,0.03334948994961451
67,1,0.4839849757436241,perro,gato,sra,lctrl,lctrl,0.033358708997184294
68,1,0.411551747498379,oveja,cabra,sra,lctrl,lctrl,0.033386645509381196
69,1,0.5649209606253862,llave,zapato,wro,rctrl,lctrl,0.033377985190782056
70,1,0.4222377425057857,regla,clavo,wro,rctrl,lctrl,0.03340703916273924
