Nombre,150
Apellido,12_05
Edad,20
Sexo,Femenino
Antecendente neurologico?,Si
Toma alguna medicacion?,Si
Trabaja?,No
Horas de sueño la noche anterior?,Mas de 7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.2528472194089773,serpiente,hilo,sro,rctrl,lctrl,0.03339139471609087
-8,1,0.5314974389202689,pavo,rueda,sro,rctrl,lctrl,0.03339307090755028
-7,1,0.472723209234573,mapache,violin,sro,rctrl,lctrl,0.033386086779501056
-6,1,0.47381468873845733,violin,mapache,sra,lctrl,lctrl,0.03370204872408067
-5,1,0.568243170570895,violin,mapache,sra,lctrl,lctrl,0.03334250582065579
-4,1,0.42701712089092325,carro,buho,sra,lctrl,lctrl,0.03341514075145824
-3,1,0.4837229312661293,pavo,rueda,sro,rctrl,lctrl,0.03348721695056156
-2,1,0.4459575169466916,serpiente,hilo,sro,rctrl,lctrl,0.03336876614139328
-1,1,0.42100127250796504,violin,mapache,sra,lctrl,lctrl,0.03341542011639831
0,1,0.48963625265241717,buho,carro,sro,rctrl,lctrl,0.03335144550510449
1,1,0.6399841320608175,candado,cebra,nr,lctrl,lctrl,0.033366810585903295
2,1,0.4233063140709419,pinguino,clavo,nr,rctrl,lctrl,0.033388601065780676
3,1,0.4736805934835502,martillo,clavo,sro,rctrl,lctrl,0.033357032807543874
4,1,0.524932638086284,avestruz,zapato,nr,rctrl,lctrl,0.033356753442603804
5,1,0.4615706744853014,arana,caballo,wra,lctrl,lctrl,0.03338888042981125
6,1,0.5499182158619078,sombrero,tenedor,wro,rctrl,lctrl,0.033386086779501056
7,1,0.58112050553882,gallo,cigarrillo,nr,rctrl,lctrl,0.03340871535419865
8,1,0.3976178536659063,regla,clavo,wro,rctrl,lctrl,0.03338692487432127
9,1,0.4259410064687472,hormiga,pato,wra,lctrl,lctrl,0.03336206137919362
10,1,0.5391042716319134,oveja,cabra,sra,lctrl,lctrl,0.033383572493221436
11,1,0.5513876763661756,escritorio,leon,nr,lctrl,lctrl,0.03335116614016442
12,1,0.7348534520451722,gallina,olla,nr,rctrl,lctrl,0.03334250582156528
13,1,0.5712762376224418,ciervo,tenedor,nr,rctrl,lctrl,0.033360943918523844
