Nombre,150
Apellido,13_04
Edad,27
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.9855679981701542,serpiente,hilo,sro,lctrl,rctrl,0.03339167407830246
-8,1,0.41002501714683603,carro,buho,sra,rctrl,rctrl,0.03338357249594992
-7,1,0.5320947215368506,hilo,pavo,sra,rctrl,rctrl,0.033388880430720747
-6,1,0.4012758604803821,hilo,pavo,sra,rctrl,rctrl,0.033384410588041646
-5,1,0.43375903920968994,mapache,violin,sro,lctrl,rctrl,0.033416537575249095
-4,1,0.436400715734635,violin,mapache,sra,rctrl,rctrl,0.03340508360997774
-3,0,0.41944185643660603,buho,carro,sro,rctrl,rctrl,0.03337183915937203
-2,1,0.4299448672973085,serpiente,hilo,sro,lctrl,rctrl,0.033376029634382576
-1,1,0.4494046030995378,violin,mapache,sra,rctrl,rctrl,0.033408156621590024
0,1,0.4120850555045763,buho,carro,sro,lctrl,rctrl,0.033173489926412
1,1,0.3895997955041821,zorrino,zorro,sra,rctrl,rctrl,0.03350761060210061
2,1,0.5025325844508188,tijera,leon,nr,rctrl,rctrl,0.033412626464269124
3,1,0.4233881680484046,botella,vaso,sro,lctrl,rctrl,0.03338915979475132
4,0,0.5209268217040517,pincel,pato,nr,lctrl,rctrl,0.03363919157345663
5,1,0.42743337491265265,ventana,cebra,nr,rctrl,rctrl,0.03336457566547324
6,1,0.45074387946078787,hormiga,pato,wra,rctrl,rctrl,0.033383293128281366
7,1,0.5611919950715674,chancho,tornillo,nr,lctrl,rctrl,0.03322684866361669
8,1,0.299422971354943,aguila,mono,wra,rctrl,rctrl,0.03339558519292041
9,1,0.5260568033081654,ardilla,vaso,nr,lctrl,rctrl,0.033388880430720747
10,1,0.340846392489766,lapiz,zorro,nr,rctrl,rctrl,0.0333992169398698
11,1,0.4921547291633033,abeja,gato,wra,rctrl,rctrl,0.03337686773011228
12,1,0.4357106839015614,media,olla,wro,lctrl,rctrl,0.033378264557541115
13,1,0.35252189873426687,copa,pato,nr,rctrl,rctrl,0.03335898836303386
14,1,0.45000076825454016,pinza,mesa,wro,lctrl,rctrl,0.033363178838044405
15,1,0.47203178057679906,pinguino,clavo,nr,lctrl,rctrl,0.03341011217708001
16,1,0.5181242308754008,gallo,cigarrillo,nr,lctrl,rctrl,0.03346179472646327
17,1,0.4176765482770861,sobre,gato,nr,rctrl,rctrl,0.033382175668521086
18,1,0.476697457357659,sarten,olla,sro,lctrl,rctrl,0.03334921058558393
19,1,0.5018411557903164,jarra,cabra,nr,rctrl,rctrl,0.03339698201671126
20,1,0.47724333679434494,sombrero,tenedor,wro,lctrl,rctrl,0.033367648680723505
21,1,0.4756691143702483,cuchillo,tenedor,sro,lctrl,rctrl,0.03337016296791262
22,1,0.44432351038994966,jirafa,cebra,sra,rctrl,rctrl,0.03322573120385641
23,1,0.5059145785307919,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03342128678559675
24,1,0.36033965210663155,serrucho,caballo,nr,rctrl,rctrl,0.03334390264717513
25,0,0.4390583160711685,mariposa,vaso,nr,rctrl,rctrl,0.03330395343436976
26,1,0.5295698196277954,martillo,clavo,sro,lctrl,rctrl,0.03335842963133473
27,1,0.6418279418176098,oso,olla,nr,lctrl,rctrl,0.0334914074264816
28,1,0.4915107925735356,hacha,vaso,wro,lctrl,rctrl,0.03361265188868856
29,1,0.3927295228859293,sapo,cebra,wra,rctrl,rctrl,0.03336178201425355
30,1,0.4437904817496019,perro,gato,sra,rctrl,rctrl,0.033245845490455395
31,1,0.5414341766881989,avestruz,zapato,nr,lctrl,rctrl,0.0334173756709788
32,1,0.42088030741069815,escritorio,leon,nr,rctrl,rctrl,0.03340089313132921
33,1,0.45900582336616935,rinoceronte,tenedor,nr,lctrl,rctrl,0.03334948994961451
34,1,0.43260889302837313,gallina,olla,nr,lctrl,rctrl,0.033382734396582237
35,1,0.4420321577199502,llave,zapato,wro,lctrl,rctrl,0.033431064563046675
36,1,0.5194003707183583,canguro,mesa,nr,lctrl,rctrl,0.03341234710023855
37,1,0.45361547347783926,pipa,cigarrillo,sro,lctrl,rctrl,0.03338133757279138
38,1,0.4633426874097495,cuchara,cigarrillo,wro,lctrl,rctrl,0.03340564233803889
39,1,0.4438430023910769,oveja,cabra,sra,rctrl,rctrl,0.033384969319740776
40,1,0.5148604082351085,puerta,mono,nr,rctrl,rctrl,0.03338664550756221
41,1,0.4865070840023691,elefante,mesa,nr,lctrl,rctrl,0.03336513439717237
42,1,0.4837310328548483,candado,cebra,nr,rctrl,rctrl,0.03340648043376859
43,1,0.5966459424307686,camello,zapato,nr,lctrl,rctrl,0.03336513439353439
44,1,0.4961837328482943,peine,tornillo,wro,lctrl,rctrl,0.03334222645571572
45,1,0.4877497000306903,escarabajo,leon,wra,rctrl,rctrl,0.03339977567156893
46,1,0.4586529852276726,cisne,pato,sra,rctrl,rctrl,0.0333531216965639
47,1,0.5012969525450899,taza,cabra,nr,rctrl,rctrl,0.033383293128281366
48,1,0.4769039081802475,burro,caballo,sra,rctrl,rctrl,0.033363178841682384
49,1,0.45201471136533655,bowl,caballo,nr,rctrl,rctrl,0.033415978847187944
50,1,0.4124518618991715,cama,mono,nr,rctrl,rctrl,0.03335926773070241
51,1,0.4543381910298194,tortuga,tornillo,nr,lctrl,rctrl,0.033418772498407634
52,1,0.4223690441103827,mosca,zorro,wra,rctrl,rctrl,0.033386645511200186
53,1,0.4422117894864641,tigre,leon,sra,rctrl,rctrl,0.033410391541110585
54,1,0.46158659829598037,silla,mesa,sro,lctrl,rctrl,0.03338413122401107
