Nombre,150
Apellido,18_31
Edad,35
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.753162203576153,buho,carro,sro,rctrl,lctrl,0.03332658200974947
-8,1,0.9336479915742757,serpiente,hilo,sro,rctrl,lctrl,0.03337519153978974
-7,1,0.6769315653247077,mapache,violin,sro,rctrl,lctrl,0.0333570328073165
-6,1,0.6451819993881145,violin,mapache,sra,lctrl,lctrl,0.03346011853454911
-5,1,0.5954787549815137,mapache,violin,sro,rctrl,lctrl,0.03334613756783256
-4,1,0.6597483758409908,buho,carro,sro,rctrl,lctrl,0.033398378844253784
-3,1,0.7084945153643503,pavo,rueda,sro,rctrl,lctrl,0.033390835986097045
-2,1,0.49455894534082745,mapache,violin,sro,rctrl,lctrl,0.03340759789296044
-1,1,0.5306615784967335,mapache,violin,sro,rctrl,lctrl,0.03340480424196812
0,1,0.6319004230983865,hilo,pavo,sra,lctrl,lctrl,0.03309191531320721
1,1,0.87645971764573,gallo,cigarrillo,nr,rctrl,lctrl,0.033380220111780545
2,1,0.7204935264118149,pava,zorro,nr,lctrl,lctrl,0.03333552169340237
3,1,0.6577833216233557,mosca,zorro,wra,lctrl,lctrl,0.03337686773045334
4,1,0.6266715462439834,ventana,cebra,nr,lctrl,lctrl,0.03335423915609681
5,1,0.6555252133999829,bota,zapato,sro,rctrl,lctrl,0.033329375660855476
6,1,0.636231420473905,tijera,leon,nr,lctrl,lctrl,0.03338580741399255
7,1,0.7053564070293987,regla,clavo,wro,rctrl,lctrl,0.03339530582798034
8,1,0.7192458818090017,rinoceronte,tenedor,nr,rctrl,lctrl,0.03344726773934781
9,1,0.7173311133118432,chancho,tornillo,nr,rctrl,lctrl,0.033357591537424014
10,1,0.6428333768676566,gorila,mono,sra,lctrl,lctrl,0.03339195344665313
11,1,1.0004947556183197,silla,mesa,sro,rctrl,lctrl,0.03339977566974994
12,1,0.4572231945680869,jarra,cabra,nr,lctrl,lctrl,0.03339809947908634
13,1,0.5774666892020832,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03341095027440133
14,0,0.5140854494077303,camello,zapato,nr,lctrl,lctrl,0.03338915979543344
15,1,0.8190554944833366,jirafa,cebra,sra,lctrl,lctrl,0.03340871535340284
16,1,0.7273186955325173,destornillador,tornillo,sro,rctrl,lctrl,0.03341122963945509
17,1,0.6786879338017116,zorrino,zorro,sra,lctrl,lctrl,0.033374912174622295
18,1,0.6664749290762302,oso,olla,nr,rctrl,lctrl,0.0333883217000448
19,1,0.6339115725602369,media,olla,wro,rctrl,lctrl,0.03337686773045334
20,1,0.7421300751910849,taza,cabra,nr,lctrl,lctrl,0.03337798519089574
21,1,0.7687599960329408,cuchillo,tenedor,sro,rctrl,lctrl,0.03333272804229637
22,1,0.6861355283981538,raton,cabra,wra,lctrl,lctrl,0.03317851849885756
23,1,0.72783300670892,martillo,clavo,sro,rctrl,lctrl,0.03338245503266535
24,1,0.7501735555775895,peine,tornillo,wro,rctrl,lctrl,0.03339027725598953
25,1,0.7843276170575564,elefante,mesa,nr,rctrl,lctrl,0.03337463280945485
26,1,0.6074573723755066,hacha,vaso,wro,rctrl,lctrl,0.03342491853015872
27,1,0.8988234538187498,pipa,cigarrillo,sro,rctrl,lctrl,0.03341374392562102
28,1,0.8863363919157337,cisne,pato,sra,lctrl,lctrl,0.03348582012517909
29,1,0.661206382375326,sarten,olla,sro,rctrl,lctrl,0.03333831534462206
30,1,0.7066699817993367,candado,cebra,nr,lctrl,lctrl,0.03337686773045334
31,1,0.7579630930746362,pincel,pato,nr,lctrl,lctrl,0.03335032804443472
32,1,0.5489485395489737,abeja,gato,wra,lctrl,lctrl,0.033393629637316735
33,1,0.7856263854763483,mariposa,vaso,nr,rctrl,lctrl,0.033350886774769606
34,1,0.7372540364766564,lapiz,zorro,nr,lctrl,lctrl,0.033343343916612866
