Nombre,150
Apellido,20_03
Edad,19
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,Menos de 5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano izquierda
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano izquierda
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.4095950742339483,carro,buho,sra,lctrl,lctrl,0.033392232813639566
-8,1,0.5659811512377928,pavo,rueda,sro,rctrl,lctrl,0.033525489969179034
-7,1,0.519245602445153,pavo,rueda,sro,rctrl,lctrl,0.03335172486549709
-6,1,0.37610534299892606,hilo,pavo,sra,lctrl,lctrl,0.033367089949024376
-5,1,0.29046429085428827,violin,mapache,sra,lctrl,lctrl,0.03336317884532036
-4,1,0.33549152196064824,hilo,pavo,sra,lctrl,lctrl,0.03334250581974629
-3,1,0.35792509941529715,pavo,rueda,sro,rctrl,lctrl,0.03338301376061281
-2,1,0.49950566342886304,pavo,rueda,sro,rctrl,lctrl,0.033405362970370334
-1,1,0.3403812495744205,violin,mapache,sra,lctrl,lctrl,0.033629693163675256
0,1,0.4352083854173543,carro,buho,sra,lctrl,lctrl,0.03340033440326806
1,1,1.081722677045036,silla,mesa,sro,rctrl,lctrl,0.033402848690457176
2,1,0.34286145306396065,perro,gato,sra,lctrl,lctrl,0.03337547089904547
3,1,0.43462814407394035,elefante,mesa,nr,rctrl,lctrl,0.03342184551729588
4,0,0.5225183647635276,llave,zapato,wro,lctrl,lctrl,0.03341122964047827
5,1,0.4557154610447469,taza,cabra,nr,lctrl,lctrl,0.03307990261237137
6,1,0.5092353916479624,pinguino,clavo,nr,rctrl,lctrl,0.03337966138496995
7,0,0.4285796099793515,pinza,mesa,wro,lctrl,lctrl,0.03335898836667184
8,1,0.5462417709568399,canguro,mesa,nr,rctrl,lctrl,0.033192486756888684
9,1,0.4307108864450129,hacha,vaso,wro,rctrl,lctrl,0.033373794714862015
10,1,0.4831686708785128,raton,cabra,wra,lctrl,lctrl,0.033402848690457176
11,1,0.33281911527592456,tigre,leon,sra,lctrl,lctrl,0.033374353442923166
12,1,0.38150379447324667,jirafa,cebra,sra,lctrl,lctrl,0.03335647407948272
13,1,0.5131026429371559,oso,olla,nr,rctrl,lctrl,0.033383851863618474
14,1,0.5089241789100925,ciervo,tenedor,nr,rctrl,lctrl,0.03333384550205665
15,1,0.45239157490141224,escarabajo,leon,wra,lctrl,lctrl,0.033392232813639566
16,1,0.534007534472039,gorila,mono,sra,lctrl,lctrl,0.03345620742038591
17,1,0.42718585742113646,mosca,zorro,wra,lctrl,lctrl,0.03335479788802331
18,1,0.7832671470823698,botella,vaso,sro,rctrl,lctrl,0.033370442331943195
19,1,0.7577161343069747,pincel,pato,nr,lctrl,lctrl,0.03336960423621349
20,1,0.6716079836915014,camello,zapato,nr,rctrl,lctrl,0.03347688044595998
21,1,0.489534563756024,bota,zapato,sro,rctrl,lctrl,0.033441680439864285
22,0,0.5574504580872599,bowl,caballo,nr,rctrl,lctrl,0.03342296297341818
23,1,0.6381811096071033,sapo,cebra,wra,lctrl,lctrl,0.033332728045934346
