Nombre,150
Apellido,8_42
Edad,19
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,Mas de 7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.4375880174716258,hilo,serpiente,sra,lctrl,lctrl,0.03338245503300641
-8,1,0.626677133546309,hilo,pavo,sra,lctrl,lctrl,0.033413464560453576
-7,1,0.5337153185669194,serpiente,hilo,sro,rctrl,lctrl,0.03326959152627751
-6,1,0.47696061929673306,carro,buho,sra,lctrl,lctrl,0.033388880430266
-5,1,0.5245012983496053,hilo,pavo,sra,lctrl,lctrl,0.03337407407934734
-4,1,0.4815866262333657,buho,carro,sro,rctrl,lctrl,0.03337351534901245
-3,1,0.5486392823668211,violin,mapache,sra,lctrl,lctrl,0.03307347721556653
-2,1,0.3310068737787333,hilo,pavo,sra,lctrl,lctrl,0.033354239155869436
-1,1,0.5589266233555463,pavo,rueda,sro,rctrl,lctrl,0.03335535661653921
0,1,0.4546345974140422,pavo,rueda,sro,rctrl,lctrl,0.03337602963529207
1,1,0.7953971803676723,raton,cabra,wra,lctrl,lctrl,0.033374912174622295
2,1,0.5051700704980249,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03342212487905272
3,1,0.40253551778232577,arana,caballo,wra,lctrl,lctrl,0.03335870899763904
4,1,0.37698087326725727,gallo,cigarrillo,nr,rctrl,lctrl,0.03337379471440727
5,1,0.43727876028924584,rinoceronte,tenedor,nr,rctrl,lctrl,0.033378264555722126
6,1,0.4924338149121468,candado,cebra,nr,lctrl,lctrl,0.033411229639114026
7,1,0.4727321489181122,abeja,gato,wra,lctrl,lctrl,0.03334893121882487
