Nombre,233
Apellido,10_00
Edad,19
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,No preferencia
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.1928792625876667,serpiente,hilo,sro,lctrl,rctrl,0.03340173122614942
-8,1,0.6096408901130417,hilo,pavo,sra,rctrl,rctrl,0.03335256296577427
-7,1,0.5227141997092986,pavo,rueda,sro,lctrl,rctrl,0.033366810585903295
-6,0,0,hilo,serpiente,sra,,rctrl,0.03338245503255166
-5,1,0.4101688901801026,mapache,violin,sro,lctrl,rctrl,0.03339782011425996
-4,1,0.5045356323216765,pavo,rueda,sro,lctrl,rctrl,0.033409553448109364
-3,1,0.5721609869406166,serpiente,hilo,sro,lctrl,rctrl,0.03339642328865011
-2,1,0.46050936641404405,hilo,serpiente,sra,rctrl,rctrl,0.0339274963716889
-1,1,0.40531380384891236,mapache,violin,sro,lctrl,rctrl,0.033380778842001746
0,1,0.40984594410747377,violin,mapache,sra,rctrl,rctrl,0.033381337571881886
1,1,0.42855139410221454,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.033357591537424014
2,1,0.4795869307408793,peine,tornillo,wro,lctrl,rctrl,0.03339530582798034
3,1,0.6232099331064092,cuchara,cigarrillo,wro,lctrl,rctrl,0.03337742645999242
4,1,0.35290518767033063,sapo,cebra,wra,rctrl,rctrl,0.033380499477061676
5,1,0.5694433231037692,jarra,cabra,nr,rctrl,rctrl,0.03334669629839482
6,1,0.4857514013656328,regla,clavo,wro,lctrl,rctrl,0.033425197895667225
7,1,0.3548937085579382,ventana,cebra,nr,rctrl,rctrl,0.03333663915327634
8,0,0.5179929292689849,sarten,olla,sro,rctrl,rctrl,0.033386086779501056
9,1,0.805483657838522,elefante,mesa,nr,lctrl,rctrl,0.033074594675781555
10,1,0.46327061120973667,puerta,mono,nr,rctrl,rctrl,0.03338161693773145
11,1,0.49288750385858293,avestruz,zapato,nr,lctrl,rctrl,0.03337100106273283
12,1,0.5535452131489365,oso,olla,nr,lctrl,rctrl,0.03336681058681279
13,1,0.3557122483443891,sobre,gato,nr,rctrl,rctrl,0.033380499477061676
14,1,0.396564926548308,tigre,leon,sra,rctrl,rctrl,0.03338189630267152
15,1,0.45882339794570726,botella,vaso,sro,lctrl,rctrl,0.03335675344169431
16,1,0.5579675629169287,media,olla,wro,lctrl,rctrl,0.0333911153520603
17,1,0.3661535195114993,lapiz,zorro,nr,rctrl,rctrl,0.03338468995389121
18,1,0.49016648764063575,conejo,clavo,nr,lctrl,rctrl,0.0334218455136579
19,1,0.524516104700524,cisne,pato,sra,rctrl,rctrl,0.03337686773011228
20,1,0.6109888267919814,arana,caballo,wra,rctrl,rctrl,0.03342212487859797
21,1,0.39086615757059917,zorrino,zorro,sra,rctrl,rctrl,0.03335926772797393
22,1,0.36132469350195606,camello,zapato,nr,lctrl,rctrl,0.033525210606057954
23,1,0.4432700245424712,aguila,mono,wra,rctrl,rctrl,0.03338161693773145
24,1,0.41758491651853547,tijera,leon,nr,rctrl,rctrl,0.03339335027158086
25,1,0.5117248141878008,hormiga,pato,wra,rctrl,rctrl,0.03335172487004456
26,1,0.47290870767119486,escritorio,leon,nr,rctrl,rctrl,0.03339642328865011
27,1,0.4671001482038264,hacha,vaso,wro,lctrl,rctrl,0.033368486777362705
28,1,0.4840056487628317,taza,cabra,nr,rctrl,rctrl,0.03337547090541193
29,1,0.39371903412302345,mosca,zorro,wra,rctrl,rctrl,0.03338999789048103
30,1,0.37088596455669176,pincel,pato,nr,rctrl,rctrl,0.03339167408103094
31,1,0.6004000508446552,ciervo,tenedor,nr,lctrl,rctrl,0.033544486799655715
32,1,0.64202293866947,jirafa,cebra,sra,rctrl,rctrl,0.033436372500545986
33,1,0.5502517778095353,tortuga,tornillo,nr,lctrl,rctrl,0.033359547093823494
34,1,0.43165849290926417,bowl,caballo,nr,rctrl,rctrl,0.03338273439749173
35,1,0.5093192011827341,llave,zapato,wro,lctrl,rctrl,0.033381058206941816
36,1,0.40980739172209724,escarabajo,leon,wra,rctrl,rctrl,0.033366251856023155
37,1,0.5474159425284597,pinza,mesa,wro,lctrl,rctrl,0.03337351534901245
38,1,1.1209664915513713,martillo,clavo,sro,lctrl,rctrl,0.03339670265359018
39,1,0.5590160201927574,gallina,olla,nr,lctrl,rctrl,0.033377147095961845
40,1,0.5279469876759322,abeja,gato,wra,rctrl,rctrl,0.033354797886204324
41,1,0.5355985188061823,candado,cebra,nr,rctrl,rctrl,0.03338692487432127
42,1,0.37253058698843233,bota,zapato,sro,lctrl,rctrl,0.033369883602063055
43,1,0.4566150167129308,pipa,cigarrillo,sro,lctrl,rctrl,0.03341067090877914
44,1,0.5783092543888415,tuerca,gato,nr,rctrl,rctrl,0.033382734398401226
45,1,0.9815761500412918,chancho,tornillo,nr,lctrl,rctrl,0.033367648681633
46,1,0.592822830834848,cama,mono,nr,rctrl,rctrl,0.033305629626738664
47,1,0.47565402865438955,silla,mesa,sro,lctrl,rctrl,0.03362019474570843
48,1,0.43156043575345393,cuchillo,tenedor,sro,lctrl,rctrl,0.033381616936821956
49,1,0.4738909554143902,canguro,mesa,nr,lctrl,rctrl,0.03340396614566998
50,1,0.38615438554370485,serrucho,caballo,nr,rctrl,rctrl,0.033355077251144394
51,1,0.41271418574160634,pinguino,clavo,nr,lctrl,rctrl,0.03340815662340901
52,1,0.8614047316068536,oveja,cabra,sra,rctrl,rctrl,0.033361223283463914
53,1,0.4495560189916432,gallo,cigarrillo,nr,lctrl,rctrl,0.033413743925848394
54,1,0.5952371041576043,mariposa,vaso,nr,lctrl,rctrl,0.03333496296272642
55,1,0.49722073615521367,sombrero,tenedor,wro,lctrl,rctrl,0.03339195344597101
56,1,0.43781458257944905,burro,caballo,sra,rctrl,rctrl,0.03339698201853025
57,1,0.4510986731556841,ardilla,vaso,nr,lctrl,rctrl,0.03331568677094765
58,1,0.42198603453744,perro,gato,sra,rctrl,rctrl,0.03338915979566082
59,1,0.5909876813957453,gorila,mono,sra,rctrl,rctrl,0.03340843598834908
60,1,0.5232489045392867,copa,pato,nr,rctrl,rctrl,0.03338189630267152
61,1,0.4103647251258735,rinoceronte,tenedor,nr,lctrl,rctrl,0.033360385188643704
62,1,0.40325935279452096,pava,zorro,nr,rctrl,rctrl,0.03339027725633059
63,1,0.46660651004549436,destornillador,tornillo,sro,lctrl,rctrl,0.03334138836089551
64,1,0.5628447190920269,raton,cabra,wra,rctrl,rctrl,0.033361223283463914
65,1,0.5121569920202091,botella,vaso,sro,lctrl,rctrl,0.033381337571881886
66,1,0.50325334644549,camello,zapato,nr,lctrl,rctrl,0.0334028486859097
67,1,0.5746839332932723,oveja,cabra,sra,rctrl,rctrl,0.033370162967003125
68,1,0.5099201155453557,silla,mesa,sro,lctrl,rctrl,0.03337826455663162
69,1,0.677429114593906,gorila,mono,sra,rctrl,rctrl,0.03341569948133838
70,1,0.524781222195088,cama,mono,nr,rctrl,rctrl,0.03338552804871142
71,1,0.452772908289262,zorrino,zorro,sra,rctrl,rctrl,0.033386645509381196
72,1,0.42507385715180135,canguro,mesa,nr,lctrl,rctrl,0.033386645509381196
73,1,0.36144398240503506,hormiga,pato,wra,rctrl,rctrl,0.03339670265359018
74,0,0.3231335267473696,tuerca,gato,nr,lctrl,rctrl,0.033383851858161506
75,1,0.5292368164109575,cuchillo,tenedor,sro,lctrl,rctrl,0.03339362963743042
76,1,0.47343726646795403,pincel,pato,nr,rctrl,rctrl,0.033362620109983254
77,1,0.420543951815489,cisne,pato,sra,rctrl,rctrl,0.03325394708008389
78,1,0.5185052848892155,candado,cebra,nr,rctrl,rctrl,0.033359826458763564
79,1,0.5007066540583764,pinguino,clavo,nr,lctrl,rctrl,0.03335926772797393
80,1,0.5028921273515152,ciervo,tenedor,nr,lctrl,rctrl,0.03339949630480987
81,1,0.4686271579212189,mariposa,vaso,nr,lctrl,rctrl,0.03362522331826767
82,1,0.45600963250944915,oso,olla,nr,lctrl,rctrl,0.03334669629839482
83,1,0.5027063495499533,aguila,mono,wra,rctrl,rctrl,0.03350788996885967
84,1,1.12242924729253,burro,caballo,sra,rctrl,rctrl,0.03341318519505876
85,1,0.7933432880436158,conejo,clavo,nr,lctrl,rctrl,0.033370162967003125
86,1,0.5513530350926885,rinoceronte,tenedor,nr,lctrl,rctrl,0.03338748360420141
87,1,0.3393492748373319,abeja,gato,wra,rctrl,rctrl,0.03333468359778635
88,1,0.6439086531945577,elefante,mesa,nr,lctrl,rctrl,0.03338580741365149
89,1,0.41355228108568554,taza,cabra,nr,rctrl,rctrl,0.033367648680723505
90,1,0.467361354584682,sombrero,tenedor,wro,lctrl,rctrl,0.03338329312737187
91,1,0.7437319547589141,jarra,cabra,nr,rctrl,rctrl,0.03337630900023214
92,1,0.4728570251254496,regla,clavo,wro,lctrl,rctrl,0.03339251217767014
93,1,0.4653644527443248,gallo,cigarrillo,nr,lctrl,rctrl,0.033360105823703634
94,1,0.5159080274170265,escarabajo,leon,wra,rctrl,rctrl,0.03333356613711658
95,0,0.6841537122727459,avestruz,zapato,nr,rctrl,rctrl,0.033377426460901916
96,1,0.6372913317190978,ventana,cebra,nr,rctrl,rctrl,0.033383851858161506
97,1,0.4739610760580035,sapo,cebra,wra,rctrl,rctrl,0.03346682329720352
98,1,0.4861721252282223,escritorio,leon,nr,rctrl,rctrl,0.03338441058895114
99,1,0.5446929707550225,ardilla,vaso,nr,lctrl,rctrl,0.03337630900023214
100,1,0.6286880036423099,gallina,olla,nr,lctrl,rctrl,0.0333955851938299
101,1,0.9006220064275112,tortuga,tornillo,nr,lctrl,rctrl,0.03337323598407238
102,1,0.6396829764671565,cuchara,cigarrillo,wro,lctrl,rctrl,0.03339055662127066
103,1,0.4472663425094652,jirafa,cebra,sra,rctrl,rctrl,0.033193604214829975
104,1,0.41135507445778785,pipa,cigarrillo,sro,lctrl,rctrl,0.033383293128281366
