Nombre,233
Apellido,12_03
Edad,46
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.740997529015658,mapache,violin,sro,lctrl,rctrl,0.033368207412422635
-8,1,1.0159710242496658,hilo,serpiente,sra,rctrl,rctrl,0.033360385188643704
-7,1,0.8664866624112619,serpiente,hilo,sro,lctrl,rctrl,0.033389997892300016
-6,1,0.9054930165693804,violin,mapache,sra,rctrl,rctrl,0.030368384808753035
-5,1,0.5460456566415814,pavo,rueda,sro,lctrl,rctrl,0.03341178837035841
-4,1,0.5615970744893275,buho,carro,sro,lctrl,rctrl,0.03335451852035476
-3,1,0.5412176687259489,hilo,serpiente,sra,rctrl,rctrl,0.03338692487523076
-2,1,0.5178001673393737,serpiente,hilo,sro,lctrl,rctrl,0.03340508360815875
-1,1,0.5024292193556903,carro,buho,sra,rctrl,rctrl,0.03341905186243821
0,1,0.503275416289398,buho,carro,sro,lctrl,rctrl,0.03338468995389121
1,1,0.6817900040368841,pincel,pato,nr,rctrl,rctrl,0.033341388361805
2,1,0.4466978345026291,mosca,zorro,wra,rctrl,rctrl,0.03335395979229361
3,1,0.5404846146648197,sarten,olla,sro,lctrl,rctrl,0.033378264555722126
4,1,0.6725181552410504,ventana,cebra,nr,rctrl,rctrl,0.03339251217767014
5,1,0.39182884975525667,oveja,cabra,sra,rctrl,rctrl,0.03337742645999242
6,1,0.4421134529657138,conejo,clavo,nr,lctrl,rctrl,0.03338971852645045
7,1,0.46515828129122383,aguila,mono,wra,rctrl,rctrl,0.03335898836303386
8,1,0.4101236330316169,arana,caballo,wra,rctrl,rctrl,0.03339083598621073
9,1,0.4157461353315739,cama,mono,nr,rctrl,rctrl,0.033067889913581894
10,1,0.4281111146810872,tigre,leon,sra,rctrl,rctrl,0.03339670265449968
11,1,0.4058135880404734,jarra,cabra,nr,rctrl,rctrl,0.03340843598743959
12,1,0.451587841471337,escritorio,leon,nr,rctrl,rctrl,0.033415420115488814
13,1,0.5175305800039496,candado,cebra,nr,rctrl,rctrl,0.033357032807543874
14,1,0.5365369062274112,gorila,mono,sra,rctrl,rctrl,0.03340145185939036
15,1,0.5701230184276938,tortuga,tornillo,nr,lctrl,rctrl,0.03339474709900969
16,1,0.5290488036898751,martillo,clavo,sro,lctrl,rctrl,0.03339949630571937
17,1,0.46887495477858465,sapo,cebra,wra,rctrl,rctrl,0.03335032804534421
18,1,0.5397138463122246,ardilla,vaso,nr,lctrl,rctrl,0.03338133757279138
19,1,0.5063353023924719,peine,tornillo,wro,lctrl,rctrl,0.03334222645753471
20,1,0.5898185383903183,pava,zorro,nr,rctrl,rctrl,0.03336345820389397
21,1,0.35559659118735,sobre,gato,nr,rctrl,rctrl,0.032539610479943804
22,1,0.4224517361835751,destornillador,tornillo,sro,lctrl,rctrl,0.033350328043525224
23,1,0.4870644174043264,bota,zapato,sro,lctrl,rctrl,0.033374353444742155
