Nombre,233
Apellido,20_38
Edad,22
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,No preferencia
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,buho,carro,sro,,rctrl,0.03340033439963008
-8,0,0.7833990074159374,buho,carro,sro,rctrl,rctrl,0.033359826458763564
-7,0,0.9346131980455539,hilo,serpiente,sra,lctrl,rctrl,0.03320170580445847
-6,0,1.103036000386055,mapache,violin,sro,rctrl,rctrl,0.033377705825841986
-5,0,0,mapache,violin,sro,,rctrl,0.03337183915937203
-4,0,0.29813034896869794,serpiente,hilo,sro,rctrl,rctrl,0.03334557883863454
-3,0,0.6270241050187906,serpiente,hilo,sro,rctrl,rctrl,0.033357591537424014
-2,0,0.8129351635470812,hilo,serpiente,sra,lctrl,rctrl,0.03355426457892463
-1,0,0.7839080106550682,hilo,pavo,sra,lctrl,rctrl,0.033362620108164265
0,0,1.2474185964983917,serpiente,hilo,sro,rctrl,rctrl,0.03335731217339344
1,0,0.7557320832675032,mosca,zorro,wra,lctrl,rctrl,0.033535547116116504
2,0,0.5262344795210083,perro,gato,sra,lctrl,rctrl,0.03338580741547048
3,0,0.4683913737644616,gorila,mono,sra,lctrl,rctrl,0.033381058206941816
4,0,0.5730591457850096,cuchillo,tenedor,sro,rctrl,rctrl,0.03338189630267152
5,0,0.6060474166406493,copa,pato,nr,lctrl,rctrl,0.03318494389714033
6,0,0.5176289165228809,tijera,leon,nr,lctrl,rctrl,0.033378264555722126
7,0,0.7754521873575868,sarten,olla,sro,rctrl,rctrl,0.03337239788743318
8,0,0.49660892655265343,bota,zapato,sro,rctrl,rctrl,0.03340955344901886
9,0,0.54296537688424,canguro,mesa,nr,rctrl,rctrl,0.03337910265145183
10,0,0.5158859575731185,raton,cabra,wra,lctrl,rctrl,0.03336792804657307
11,0,0.5965509582929371,llave,zapato,wro,rctrl,rctrl,0.03334753439230553
12,0,0.47936818785638025,oso,olla,nr,rctrl,rctrl,0.033352004234984634
13,0,0.49391864049721335,candado,cebra,nr,lctrl,rctrl,0.03311677880810748
14,0,0.6267821748297138,chancho,tornillo,nr,rctrl,rctrl,0.0333550772502349
