Nombre,233_
Apellido,9_56
Edad,19
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,1.224142453859713,rueda,pavo,sra,lctrl,rctrl,0.03340815662340901
-8,1,0.9510191937797572,hilo,serpiente,sra,rctrl,rctrl,0.033374074079802085
-7,1,0.7130707953110687,mapache,violin,sro,lctrl,rctrl,0.03338608677859156
-6,1,0.6179626181537969,carro,buho,sra,rctrl,rctrl,0.03339977566974994
-5,1,0.5616021030600677,carro,buho,sra,rctrl,rctrl,0.033375191539562366
-4,1,0.6170820593124517,pavo,rueda,sro,lctrl,rctrl,0.03338441058895114
-3,1,0.8702365803474095,serpiente,hilo,sro,lctrl,rctrl,0.03340117249535979
-2,1,0.6866347538589253,hilo,serpiente,sra,rctrl,rctrl,0.03340424551151955
-1,1,0.8182615388268459,pavo,rueda,sro,lctrl,rctrl,0.03338552804871142
0,1,0.6598930869704418,violin,mapache,sra,rctrl,rctrl,0.03340312805175927
1,1,0.47841387662356283,abeja,gato,wra,rctrl,rctrl,0.033368207412422635
2,1,0.49594962488208694,candado,cebra,nr,rctrl,rctrl,0.033353959791384113
3,1,0.36537045909517474,cuchara,cigarrillo,wro,lctrl,rctrl,0.033386366144441126
4,1,0.4254373111671157,bowl,caballo,nr,rctrl,rctrl,0.03340620106700953
5,1,0.49600354235008126,gorila,mono,sra,rctrl,rctrl,0.03337602963529207
6,1,0.4577646041607295,destornillador,tornillo,sro,lctrl,rctrl,0.033384689952981716
7,1,0.624380193572506,gallo,cigarrillo,nr,lctrl,rctrl,0.03337686773011228
8,1,0.3715919202022633,tigre,leon,sra,rctrl,rctrl,0.033352562964864774
9,1,0.3902420559033999,raton,cabra,wra,rctrl,rctrl,0.03322796612428647
10,1,0.3467837392745423,hormiga,pato,wra,rctrl,rctrl,0.033408994718229224
11,1,0.44014085589151364,canguro,mesa,nr,lctrl,rctrl,0.03340256932096963
12,1,0.3801768101811831,tijera,leon,nr,rctrl,rctrl,0.03337155979261297
13,1,0.5088250042954314,gallina,olla,nr,lctrl,rctrl,0.03338441058895114
14,1,0.43743632221412554,pava,zorro,nr,rctrl,rctrl,0.03337351534901245
15,1,0.4981828696109005,mariposa,vaso,nr,lctrl,rctrl,0.03339726138347032
16,1,0.36425690974738245,escarabajo,leon,wra,rctrl,rctrl,0.033380778842001746
17,1,0.3639160843067657,conejo,clavo,nr,lctrl,rctrl,0.03338022011121211
18,1,0.5434629261544615,pipa,cigarrillo,sro,lctrl,rctrl,0.033362340745043184
19,1,0.36780512607037963,tuerca,gato,nr,rctrl,rctrl,0.03340899471913872
20,1,0.3658294559782007,silla,mesa,sro,lctrl,rctrl,0.03341653757615859
21,1,0.34674099641142675,copa,pato,nr,rctrl,rctrl,0.033241375649595284
22,1,0.3557041467556701,ardilla,vaso,nr,lctrl,rctrl,0.03339558519292041
23,1,0.4216290059212042,elefante,mesa,nr,lctrl,rctrl,0.033377705825841986
24,1,0.4035705655333004,puerta,mono,nr,rctrl,rctrl,0.03339502646304027
25,0,0.3373878523661915,arana,caballo,wra,lctrl,rctrl,0.03335004867949465
26,1,0.6715571392451238,ventana,cebra,nr,rctrl,rctrl,0.03333635978833627
27,1,0.450099104774381,tortuga,tornillo,nr,lctrl,rctrl,0.033386366144441126
28,1,0.5475410980998277,pinguino,clavo,nr,lctrl,rctrl,0.03337379471395252
29,1,0.37792708291181043,jirafa,cebra,sra,rctrl,rctrl,0.03334921058376494
30,1,0.4717959964182228,sombrero,tenedor,wro,lctrl,rctrl,0.033371001063642325
31,1,0.3968663615059995,serrucho,caballo,nr,rctrl,rctrl,0.03336820741151314
32,1,0.46795193243815447,avestruz,zapato,nr,lctrl,rctrl,0.033383572493221436
33,1,0.387671896847678,burro,caballo,sra,rctrl,rctrl,0.03338999789139052
34,1,0.4415184052713812,rinoceronte,tenedor,nr,lctrl,rctrl,0.03338999789048103
35,0,0.47541098100464296,taza,cabra,nr,lctrl,rctrl,0.03340173122614942
36,1,0.5411221258564183,llave,zapato,wro,lctrl,rctrl,0.033416816942008154
37,1,0.4124926492058876,camello,zapato,nr,lctrl,rctrl,0.03340228995602956
38,1,0.434276982130541,zorrino,zorro,sra,rctrl,rctrl,0.033410950274628703
39,1,0.4214597106611109,hacha,vaso,wro,lctrl,rctrl,0.03340256932096963
40,1,0.4001148190618551,escritorio,leon,nr,rctrl,rctrl,0.0333983788441401
41,1,0.39659425988520525,aguila,mono,wra,rctrl,rctrl,0.03333356613802607
42,1,0.3908317956611427,sobre,gato,nr,rctrl,rctrl,0.03335815026821365
43,1,0.47984227045617445,regla,clavo,wro,lctrl,rctrl,0.033320994707537466
44,1,0.5454204375137124,ciervo,tenedor,nr,lctrl,rctrl,0.03339055662127066
45,1,0.4722312472677004,lapiz,zorro,nr,rctrl,rctrl,0.033355077251144394
46,1,0.46651348146224336,oso,olla,nr,lctrl,rctrl,0.03339670265359018
47,0,0.4158888909059897,botella,vaso,sro,rctrl,rctrl,0.033421007417928195
48,1,0.5433285515337047,pinza,mesa,wro,lctrl,rctrl,0.03340703916273924
49,1,0.4376064555690391,cama,mono,nr,rctrl,rctrl,0.033434975674026646
50,1,0.5498567555378031,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03340173122614942
51,1,0.49930228562516277,mosca,zorro,wra,rctrl,rctrl,0.033360385188643704
52,1,0.40952467422448535,perro,gato,sra,rctrl,rctrl,0.03342268360847811
53,1,0.44497722475898627,media,olla,wro,lctrl,rctrl,0.03338413122401107
54,1,0.508560166166717,sapo,cebra,wra,rctrl,rctrl,0.03335647407675424
55,1,0.42582981915347773,chancho,tornillo,nr,lctrl,rctrl,0.033359547092914
56,1,0.42114039633543143,peine,tornillo,wro,lctrl,rctrl,0.03339530582798034
57,1,0.4689394881197586,pincel,pato,nr,rctrl,rctrl,0.03339362963743042
58,1,0.41326062390635343,cisne,pato,sra,rctrl,rctrl,0.03334753439321503
59,1,0.3636532017335412,martillo,clavo,sro,lctrl,rctrl,0.03339530582798034
60,1,0.41311954452339705,cuchillo,tenedor,sro,lctrl,rctrl,0.033482188378911815
61,0,0.4059862356807571,bota,zapato,sro,rctrl,rctrl,0.033360385188643704
62,1,0.6026595558932968,jarra,cabra,nr,rctrl,rctrl,0.03338496931883128
63,0,0.408479569330666,oveja,cabra,sra,lctrl,rctrl,0.03338189630267152
64,1,0.5284870004434197,sarten,olla,sro,lctrl,rctrl,0.033381896301762026
65,1,0.45714636916181917,perro,gato,sra,rctrl,rctrl,0.03339642328865011
66,1,0.5147436336183091,sapo,cebra,wra,rctrl,rctrl,0.03339083598621073
67,1,0.47304447911665193,gorila,mono,sra,rctrl,rctrl,0.033377147095961845
68,1,0.3572797660044671,pava,zorro,nr,rctrl,rctrl,0.033375750269442506
69,1,0.40144906685054593,mosca,zorro,wra,rctrl,rctrl,0.033376867731021775
70,1,0.44800610133370355,hacha,vaso,wro,lctrl,rctrl,0.03336820741151314
