Nombre,317
Apellido,20_06
Edad,25
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Preferencia moderada de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,No preferencia
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.7028806733815145,pavo,rueda,sro,rctrl,lctrl,0.03338580741365149
-8,1,0.8152128273286507,carro,buho,sra,lctrl,lctrl,0.0333712804276729
-7,1,0.6018910224611318,hilo,serpiente,sra,lctrl,lctrl,0.03341849313255807
-6,1,0.4827052041528077,hilo,serpiente,sra,lctrl,lctrl,0.03336234074413369
-5,1,0.5421418085261394,mapache,violin,sro,rctrl,lctrl,0.033492245524030295
-4,1,0.46324546834875946,pavo,rueda,sro,rctrl,lctrl,0.03333859470876632
-3,1,0.489184519261471,mapache,violin,sro,rctrl,lctrl,0.033381058206941816
-2,1,0.6475063171437796,violin,mapache,sra,lctrl,lctrl,0.033377705825841986
-1,1,0.9534276004360436,buho,carro,sro,rctrl,lctrl,0.033382734398401226
0,1,0.5254000159238785,carro,buho,sra,lctrl,lctrl,0.03329026454412087
1,1,0.6652205797108763,serrucho,caballo,nr,lctrl,lctrl,0.03338189630267152
2,1,0.48412437893603055,gorila,mono,sra,lctrl,lctrl,0.03338692487523076
3,1,0.5144058811947616,sapo,cebra,wra,lctrl,lctrl,0.03340592170206946
4,1,0.4171295513806399,tortuga,tornillo,nr,rctrl,lctrl,0.033437769325246336
5,1,0.4675309292106249,ventana,cebra,nr,lctrl,lctrl,0.033419331228287774
6,1,0.44272526256827405,pinguino,clavo,nr,rctrl,lctrl,0.0334145820215781
7,1,0.5120762555015972,oso,olla,nr,rctrl,lctrl,0.03336625185693265
8,1,0.4997003809148737,botella,vaso,sro,rctrl,lctrl,0.033381058206941816
9,1,0.5079539438684151,puerta,mono,nr,lctrl,lctrl,0.03322684866361669
10,0,0.43527180130513443,pincel,pato,nr,rctrl,lctrl,0.03327657565387199
11,1,0.5382770715259539,martillo,clavo,sro,rctrl,lctrl,0.033355915345964604
12,1,0.469458827868948,chancho,tornillo,nr,rctrl,lctrl,0.033428829641707125
13,1,0.4688718817615154,hormiga,pato,wra,lctrl,lctrl,0.033423242339267745
14,1,0.5098189853742952,media,olla,wro,rctrl,lctrl,0.03316818198982219
15,1,0.5209734756790567,pinza,mesa,wro,rctrl,lctrl,0.033352562964864774
16,1,0.4818131913398247,escarabajo,leon,wra,lctrl,lctrl,0.033359267727064434
17,1,0.5417761195913045,peine,tornillo,wro,rctrl,lctrl,0.03351878520879836
18,1,0.6760591080710583,pava,zorro,nr,lctrl,lctrl,0.033376588366081705
19,1,0.6033716575711878,avestruz,zapato,nr,rctrl,lctrl,0.03338971852463146
20,1,0.6263486001716956,bota,zapato,sro,rctrl,lctrl,0.03336178201425355
21,1,0.561570814166771,tigre,leon,sra,lctrl,lctrl,0.03334194708986615
22,1,0.4647783447344409,arana,caballo,wra,lctrl,lctrl,0.03340005503559951
23,1,0.6084857153637131,rinoceronte,tenedor,nr,rctrl,lctrl,0.033383851858161506
24,1,0.5548965022098855,llave,zapato,wro,rctrl,lctrl,0.03339335027339985
25,1,0.5539949909834831,cama,mono,nr,lctrl,lctrl,0.03339698201853025
26,1,0.5780659273732454,ciervo,tenedor,nr,rctrl,lctrl,0.03334502010693541
27,1,0.6050931054087414,jirafa,cebra,sra,lctrl,lctrl,0.03327434073253244
28,1,0.8295515212121245,cuchara,cigarrillo,wro,rctrl,lctrl,0.03341458201975911
29,1,0.7636551572886674,canguro,mesa,nr,rctrl,lctrl,0.03340145186120935
30,1,0.603366349634598,regla,clavo,wro,rctrl,lctrl,0.03363108998564712
31,1,0.5101307568420452,burro,caballo,sra,lctrl,lctrl,0.03320170580263948
32,1,0.47741235268767923,mosca,zorro,wra,lctrl,lctrl,0.033365972489264095
33,1,0.5965249773380492,sombrero,tenedor,wro,rctrl,lctrl,0.03355649949844519
34,1,0.5477402854285174,aguila,mono,wra,lctrl,lctrl,0.03339809947829053
35,1,0.5409586972637044,zorrino,zorro,sra,lctrl,lctrl,0.0332628867636231
36,1,0.5716005805206805,elefante,mesa,nr,rctrl,lctrl,0.033620194746617926
37,1,0.6485092379061825,sarten,olla,sro,rctrl,lctrl,0.03341849313255807
38,1,0.7312772992099781,cuchillo,tenedor,sro,rctrl,lctrl,0.03336345820571296
39,1,0.5395378462890221,gallina,olla,nr,rctrl,lctrl,0.033381616936821956
40,1,0.6958579931251734,lapiz,zorro,nr,lctrl,lctrl,0.03341793440267793
41,1,0.601730108155607,gallo,cigarrillo,nr,rctrl,lctrl,0.03337351534901245
42,1,0.546504932890457,ardilla,vaso,nr,rctrl,lctrl,0.033380499475242686
43,1,0.5100050425407971,silla,mesa,sro,rctrl,lctrl,0.03309582642395981
44,1,0.5780701178500749,sobre,gato,nr,lctrl,lctrl,0.033385528049620916
45,1,0.5138049668330495,cisne,pato,sra,lctrl,lctrl,0.03341039154474856
46,1,0.5933150721666607,oveja,cabra,sra,lctrl,lctrl,0.033382175668521086
47,1,0.9459179867826606,mariposa,vaso,nr,rctrl,lctrl,0.03367802332286374
48,1,0.4917527227626124,camello,zapato,nr,rctrl,lctrl,0.033380499477061676
49,1,0.6177475070144283,jarra,cabra,nr,lctrl,lctrl,0.03338301376425079
50,1,0.6194155961147771,abeja,gato,wra,lctrl,lctrl,0.03340201059108949
51,1,0.5081774359587143,tijera,leon,nr,lctrl,lctrl,0.033378264555722126
52,1,0.5898724558555841,raton,cabra,wra,lctrl,lctrl,0.03340508360633976
53,1,0.5158834432877484,conejo,clavo,nr,rctrl,lctrl,0.03339865820998966
54,1,0.5510943429962936,perro,gato,sra,lctrl,lctrl,0.04367342776822625
55,1,0.476123082682534,tuerca,gato,nr,lctrl,lctrl,0.03340759789352887
56,1,0.5954287486256362,escritorio,leon,nr,lctrl,lctrl,0.03332965502522711
57,1,0.5521207304282143,hacha,vaso,wro,rctrl,lctrl,0.033145832780064666
58,1,0.7663588528721448,copa,pato,nr,lctrl,lctrl,0.03345620742402389
59,1,0.5930130784781795,taza,cabra,nr,lctrl,lctrl,0.03303045498796564
60,1,0.5802673244779726,bowl,caballo,nr,lctrl,lctrl,0.033364296301442664
61,1,0.4846350583666208,destornillador,tornillo,sro,rctrl,lctrl,0.03340396614657948
62,1,0.5889689890755108,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.0333992169398698
63,1,0.5238933998589346,candado,cebra,nr,lctrl,lctrl,0.033329375661196536
64,1,0.6270241050187906,pipa,cigarrillo,sro,rctrl,lctrl,0.03339754075022938
65,1,0.5269870891406754,mosca,zorro,wra,lctrl,lctrl,0.03343134392889624
66,1,0.4880231984789134,raton,cabra,wra,lctrl,lctrl,0.033386086779501056
67,1,0.43718629043542023,abeja,gato,wra,lctrl,lctrl,0.033380499477061676
68,1,0.43123134364941507,cuchillo,tenedor,sro,rctrl,lctrl,0.03334725502827496
69,1,0.5381172746820084,copa,pato,nr,lctrl,lctrl,0.033385528049620916
70,1,0.5233438886771182,silla,mesa,sro,rctrl,lctrl,0.033374353444742155
71,1,0.5307037626298552,oveja,cabra,sra,lctrl,lctrl,0.03337463281059172
72,1,0.4857491664442932,tuerca,gato,nr,lctrl,lctrl,0.03336066455449327
73,1,0.5609539759934705,oso,olla,nr,rctrl,lctrl,0.03363276617528754
74,1,0.6341174646495347,gorila,mono,sra,lctrl,lctrl,0.03338636614535062
75,1,0.5568811119846941,pava,zorro,nr,lctrl,lctrl,0.03338301376425079
76,1,0.5092088519631943,zorrino,zorro,sra,lctrl,lctrl,0.03339195344597101
77,1,0.5286400925251655,bowl,caballo,nr,lctrl,lctrl,0.033409274083169294
78,1,0.5269192034174921,hacha,vaso,wro,rctrl,lctrl,0.03337742645999242
79,1,0.5281945051683579,sobre,gato,nr,lctrl,lctrl,0.03338357249231194
80,1,0.4738350823918154,ciervo,tenedor,nr,rctrl,lctrl,0.033181312150190934
81,1,0.5201716977990145,escritorio,leon,nr,lctrl,lctrl,0.03334334391729499
82,1,0.4916904243418685,burro,caballo,sra,lctrl,lctrl,0.033377147095961845
83,1,0.5881077064277633,jarra,cabra,nr,lctrl,lctrl,0.03332993439107668
84,1,0.5731613934167399,candado,cebra,nr,lctrl,lctrl,0.03339726138437982
85,1,0.6248556729970005,aguila,mono,wra,lctrl,lctrl,0.03338357249413093
86,1,0.5547341910787509,mariposa,vaso,nr,rctrl,lctrl,0.03335842963315372
87,1,0.7494502792942512,cama,mono,nr,lctrl,lctrl,0.03339251217767014
88,1,0.5747361745688977,lapiz,zorro,nr,lctrl,lctrl,0.033374353442923166
89,1,0.5384480429765972,conejo,clavo,nr,rctrl,lctrl,0.033380499477061676
90,1,0.5790073878106341,perro,gato,sra,lctrl,lctrl,0.03340424551242904
91,1,0.610133690175644,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03340396614657948
92,1,0.536806772926866,puerta,mono,nr,lctrl,lctrl,0.03344363599171629
93,1,0.5153004082912958,escarabajo,leon,wra,lctrl,lctrl,0.033381616936821956
94,1,0.5368106840396649,chancho,tornillo,nr,rctrl,lctrl,0.03338413122401107
95,1,0.48074182612617733,pincel,pato,nr,lctrl,lctrl,0.03337910265145183
96,1,0.8811860166570114,taza,cabra,nr,lctrl,lctrl,0.03336234074413369
97,1,0.4981197330944269,bota,zapato,sro,rctrl,lctrl,0.03334278518559586
98,1,0.5962618153989752,pipa,cigarrillo,sro,rctrl,lctrl,0.033384969319740776
99,1,0.534408144052577,tijera,leon,nr,lctrl,lctrl,0.033378823285602266
100,1,0.558800070959478,botella,vaso,sro,rctrl,lctrl,0.033550074100276106
101,1,0.6384546080571454,sombrero,tenedor,wro,rctrl,lctrl,0.033364296299623675
102,1,0.5246954571048263,camello,zapato,nr,rctrl,lctrl,0.03316203595750267
103,1,0.49245029745543434,martillo,clavo,sro,rctrl,lctrl,0.03316343278311251
104,1,0.5132727762884315,serrucho,caballo,nr,lctrl,lctrl,0.03338524868377135
