Nombre,317
Apellido,9_20
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.9255503143554051,mapache,violin,sro,lctrl,rctrl,0.033383572493221436
-8,1,0.5434193451960709,pavo,rueda,sro,lctrl,rctrl,0.033363178839863394
-7,1,0.5258226953428675,violin,mapache,sra,rctrl,rctrl,0.03336122328391866
-6,1,0.4500382031792469,serpiente,hilo,sro,lctrl,rctrl,0.033384689953436464
-5,1,0.4225349869884667,hilo,serpiente,sra,rctrl,rctrl,0.03337463280922748
-4,1,0.4836799090385284,serpiente,hilo,sro,lctrl,rctrl,0.03338915979520607
-3,1,0.4234356601186846,serpiente,hilo,sro,lctrl,rctrl,0.03337379471395252
-2,1,0.49752831714658896,pavo,rueda,sro,lctrl,rctrl,0.033437489960306266
-1,1,0.4766083398867522,mapache,violin,sro,lctrl,rctrl,0.033384410588496394
0,1,0.5020688383583547,hilo,pavo,sra,rctrl,rctrl,0.03339418836731056
1,1,0.47719472726294043,candado,cebra,nr,rctrl,rctrl,0.03335200423589413
2,1,0.42441930468794453,copa,pato,nr,rctrl,rctrl,0.0332430518401452
3,1,0.44945907929650275,aguila,mono,wra,rctrl,rctrl,0.033380778842001746
4,1,0.4359079156711232,tuerca,gato,nr,rctrl,rctrl,0.033367648681633
5,1,0.4887439604754036,canguro,mesa,nr,lctrl,rctrl,0.03335256296577427
6,1,0.35136895890354936,silla,mesa,sro,lctrl,rctrl,0.033386086779501056
7,1,0.4367630522874606,llave,zapato,wro,lctrl,rctrl,0.033323229628877016
8,1,0.5476830155785137,gallo,cigarrillo,nr,lctrl,rctrl,0.03336094391943334
9,1,0.4222461234594448,jirafa,cebra,sra,rctrl,rctrl,0.033542531243256235
10,1,0.37243280919847166,pipa,cigarrillo,sro,lctrl,rctrl,0.033430785198106605
11,1,0.4435535801339938,tigre,leon,sra,rctrl,rctrl,0.03343916615085618
12,1,0.5520212764477037,cuchara,cigarrillo,wro,lctrl,rctrl,0.033074315310841484
13,1,0.43800343339717074,escarabajo,leon,wra,rctrl,rctrl,0.033422962974327675
14,1,0.3785014575878449,media,olla,wro,lctrl,rctrl,0.03334613756760518
15,1,0.4303063657534949,martillo,clavo,sro,lctrl,rctrl,0.03352102012922842
16,1,0.4333964232882863,bota,zapato,sro,lctrl,rctrl,0.03337407407889259
17,1,0.44290405624178675,peine,tornillo,wro,lctrl,rctrl,0.033366810585903295
18,1,0.37679174308414076,chancho,tornillo,nr,lctrl,rctrl,0.03337100106273283
19,1,0.4218829488108895,sarten,olla,sro,lctrl,rctrl,0.033375191539562366
20,1,0.4320230643834293,burro,caballo,sra,rctrl,rctrl,0.033377147095961845
21,1,0.4200491961964872,camello,zapato,nr,lctrl,rctrl,0.03336234074413369
22,1,0.3616926173581305,tortuga,tornillo,nr,lctrl,rctrl,0.03337323598407238
23,0,0.3394456558025922,cama,mono,nr,lctrl,rctrl,0.033375191539562366
24,1,0.4750952984250034,destornillador,tornillo,sro,lctrl,rctrl,0.03334082963101537
25,1,0.588120277856433,avestruz,zapato,nr,lctrl,rctrl,0.033194162944710115
26,1,0.47775066384110687,jarra,cabra,nr,rctrl,rctrl,0.03340340741669934
27,1,0.47567386357786745,mosca,zorro,wra,rctrl,rctrl,0.03339586455876997
28,1,0.4296506958289683,raton,cabra,wra,rctrl,rctrl,0.03337100106273283
29,1,0.44534207559900096,elefante,mesa,nr,lctrl,rctrl,0.03339642328865011
30,1,0.4340945567100789,ventana,cebra,nr,rctrl,rctrl,0.03343302011853666
31,1,0.5262730319082038,ciervo,tenedor,nr,lctrl,rctrl,0.03343832805603597
32,1,0.5078293470260178,pava,zorro,nr,rctrl,rctrl,0.033375191539562366
33,1,0.5061699182433586,hormiga,pato,wra,rctrl,rctrl,0.033381058206941816
34,1,0.43270527399454295,hacha,vaso,wro,lctrl,rctrl,0.03337826455663162
35,1,0.4786703337995277,cuchillo,tenedor,sro,lctrl,rctrl,0.033267635970332776
36,1,0.43099220710973896,taza,cabra,nr,rctrl,rctrl,0.03333133121668652
37,1,0.5851606838305088,ardilla,vaso,nr,lctrl,rctrl,0.03345257567707449
38,1,0.42940848627404193,oveja,cabra,sra,rctrl,rctrl,0.03335116614016442
39,1,0.5487236506323825,tijera,leon,nr,rctrl,rctrl,0.03340033439963008
40,1,0.4979149584651168,cisne,pato,sra,rctrl,rctrl,0.03341178837035841
41,1,0.48738233490530547,abeja,gato,wra,rctrl,rctrl,0.03310253118706896
42,1,0.44281186575426545,pincel,pato,nr,rctrl,rctrl,0.0333874836051109
43,1,0.4698532914098905,conejo,clavo,nr,lctrl,rctrl,0.03334921058376494
44,1,0.5629718302179754,arana,caballo,wra,rctrl,rctrl,0.03336094391943334
45,1,0.4627708270181756,serrucho,caballo,nr,rctrl,rctrl,0.03344866456518503
46,1,0.47531013019852253,lapiz,zorro,nr,rctrl,rctrl,0.03337826455663162
47,1,0.4374338079287554,bowl,caballo,nr,rctrl,rctrl,0.03338860106487118
48,1,0.4440938722664214,perro,gato,sra,rctrl,rctrl,0.03338860106487118
49,1,0.5185977547425864,puerta,mono,nr,rctrl,rctrl,0.033383851858161506
50,1,0.38978166219476407,regla,clavo,wro,lctrl,rctrl,0.033375191539562366
51,1,0.4079420708494581,sombrero,tenedor,wro,lctrl,rctrl,0.033367089950843365
52,1,0.41548185593455855,gorila,mono,sra,rctrl,rctrl,0.03310448674346844
53,1,0.5358865442394745,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.033354797886204324
54,1,0.43865994141742704,sobre,gato,nr,rctrl,rctrl,0.03327853120936197
55,1,0.4231093616645012,pinza,mesa,wro,lctrl,rctrl,0.033358429632244224
56,1,0.5394191161167328,botella,vaso,sro,lctrl,rctrl,0.03335898836303386
57,1,0.6702466374918004,escritorio,leon,nr,rctrl,rctrl,0.03339335027158086
