Nombre,66
Apellido,12_30
Edad,19
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,Mas de 7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,No preferencia
Usar una escoba (La mano que va arriba),Preferencia moderada de mano izquierda
Encender un fósforo,No preferencia
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.410443506088086,mapache,violin,sro,rctrl,lctrl,0.03301704546220208
-8,1,0.6691386754464475,buho,carro,sro,rctrl,lctrl,0.03331987724732244
-7,1,0.5759511334540548,hilo,serpiente,sra,lctrl,lctrl,0.038108474680484505
-6,1,0.439975471742855,hilo,serpiente,sra,lctrl,lctrl,0.03333971217034559
-5,1,0.3978243044853116,hilo,serpiente,sra,lctrl,lctrl,0.033381058206941816
-4,1,0.5919408751669835,buho,carro,sro,rctrl,lctrl,0.0333369185191259
-3,1,0.6124186174497481,hilo,pavo,sra,lctrl,lctrl,0.03335060740937479
-2,0,0.5586176455390159,serpiente,hilo,sro,lctrl,lctrl,0.033384131223101576
-1,1,0.8055074038738894,pavo,rueda,sro,rctrl,lctrl,0.03336094391897859
0,1,0.5476036758859664,buho,carro,sro,rctrl,lctrl,0.03335312169565441
1,1,0.660045620323217,avestruz,zapato,nr,rctrl,lctrl,0.03321874707580719
2,1,0.9828084295631925,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03338776297005097
3,1,0.6346482583680881,copa,pato,nr,lctrl,lctrl,0.03337966138178672
4,1,0.6764586001854695,tortuga,tornillo,nr,rctrl,lctrl,0.033326302645036776
5,1,0.6034998861587155,escarabajo,leon,wra,lctrl,lctrl,0.033369045507242845
6,1,0.5752063460577119,sobre,gato,nr,lctrl,lctrl,0.03352856298761253
7,1,0.5900562781025656,media,olla,wro,rctrl,lctrl,0.03339418836776531
8,1,0.6431750404030936,hormiga,pato,wra,lctrl,lctrl,0.03334976931409983
9,1,0.5252164730436562,serrucho,caballo,nr,lctrl,lctrl,0.03338161693773145
10,1,0.6311427849068423,cuchillo,tenedor,sro,rctrl,lctrl,0.0333771470955071
11,1,0.6396980621839248,peine,tornillo,wro,rctrl,lctrl,0.03363863284312174
12,1,0.6293232799139332,oso,olla,nr,rctrl,lctrl,0.03339390900237049
13,1,0.5468717392855069,taza,cabra,nr,lctrl,lctrl,0.033386366144441126
14,1,0.512324052358963,tijera,leon,nr,lctrl,lctrl,0.033367648681633
15,1,0.5659995893333871,camello,zapato,nr,rctrl,lctrl,0.03340843598834908
16,1,0.813723252535965,burro,caballo,sra,lctrl,lctrl,0.03334446137705527
17,1,0.5333395724878756,gallina,olla,nr,rctrl,lctrl,0.03339698201853025
18,1,0.7155845226138808,candado,cebra,nr,lctrl,lctrl,0.03335172487004456
19,1,0.5295189751768703,bota,zapato,sro,rctrl,lctrl,0.033404524876914365
20,0,0.9792244545046742,chancho,tornillo,nr,lctrl,lctrl,0.0333874836051109
21,1,0.505861219792223,sarten,olla,sro,rctrl,lctrl,0.03339223281182058
22,1,0.653986190982323,jarra,cabra,nr,lctrl,lctrl,0.03340675979779917
23,1,0.635051382228994,pinguino,clavo,nr,rctrl,lctrl,0.033369045507242845
24,1,0.5728046441654442,oveja,cabra,sra,lctrl,lctrl,0.03342268360847811
25,1,0.7125665412786475,ardilla,vaso,nr,rctrl,lctrl,0.03334948994870501
26,1,0.4771659526568328,hacha,vaso,wro,rctrl,lctrl,0.033372118523402605
27,1,0.6479119552905104,rinoceronte,tenedor,nr,rctrl,lctrl,0.03337658836517221
28,1,0.6158129035957245,ventana,cebra,nr,lctrl,lctrl,0.03344503281823563
29,1,0.5336493883996809,cuchara,cigarrillo,wro,rctrl,lctrl,0.03350481695269991
30,1,0.618157056273958,silla,mesa,sro,rctrl,lctrl,0.03337351534901245
31,1,0.4964826535215252,perro,gato,sra,lctrl,lctrl,0.033410112178899
32,1,0.7256933492944881,pinza,mesa,wro,rctrl,lctrl,0.033491686792331166
33,1,0.48605590934039355,mosca,zorro,wra,lctrl,lctrl,0.033384689952981716
34,1,0.4621741031332931,cama,mono,nr,lctrl,lctrl,0.033380499477061676
35,1,0.6023399622017678,gallo,cigarrillo,nr,rctrl,lctrl,0.03318717881666089
36,1,0.5432729578751605,conejo,clavo,nr,rctrl,lctrl,0.03337686773011228
37,1,0.822822733056455,ciervo,tenedor,nr,rctrl,lctrl,0.03338245503255166
38,1,0.4644472970721836,cisne,pato,sra,lctrl,lctrl,0.03338245503255166
39,1,0.5834143724969181,llave,zapato,wro,rctrl,lctrl,0.03334948994961451
40,1,0.6052626800328653,destornillador,tornillo,sro,rctrl,lctrl,0.03338217566761159
41,1,0.5426932752625362,gorila,mono,sra,lctrl,lctrl,0.03336681058681279
42,1,0.9360924363290906,tigre,leon,sra,lctrl,lctrl,0.033350048678585154
43,1,0.8012183112659841,jirafa,cebra,sra,lctrl,lctrl,0.0334651471066536
44,1,0.4624196650693193,sapo,cebra,wra,lctrl,lctrl,0.03340228995602956
45,1,0.3906150083321336,arana,caballo,wra,lctrl,lctrl,0.033362340745043184
46,1,0.5583614677279911,elefante,mesa,nr,rctrl,lctrl,0.03341067090968863
47,1,0.5571082358237618,bowl,caballo,nr,lctrl,lctrl,0.033375470904502436
48,1,0.601962819297114,puerta,mono,nr,lctrl,lctrl,0.03337239788925217
49,1,0.4310729436283509,raton,cabra,wra,lctrl,lctrl,0.03334893121882487
50,1,0.7387623287313545,canguro,mesa,nr,rctrl,lctrl,0.03339502646304027
51,1,0.7320469501009939,pincel,pato,nr,lctrl,lctrl,0.03339949630480987
52,1,0.603928711610024,mariposa,vaso,nr,rctrl,lctrl,0.03337044233285269
53,1,0.5161644845920819,regla,clavo,wro,rctrl,lctrl,0.033383851858161506
54,1,0.5868508427747656,zorrino,zorro,sra,lctrl,lctrl,0.03351180108165863
55,1,0.5144734875520953,pava,zorro,nr,lctrl,lctrl,0.03336792804657307
56,1,0.8576123501725306,botella,vaso,sro,rctrl,lctrl,0.03337100106273283
57,1,0.5236844347527949,aguila,mono,wra,lctrl,lctrl,0.033184664531290764
58,1,0.5634216080534316,pipa,cigarrillo,sro,rctrl,lctrl,0.03344615027890541
59,1,0.4855969124573676,abeja,gato,wra,lctrl,lctrl,0.03338245503255166
60,1,0.5287009941212091,martillo,clavo,sro,rctrl,lctrl,0.033314848675217945
61,1,1.1521313463026672,sombrero,tenedor,wro,rctrl,lctrl,0.033329096296256466
62,1,0.42416983164093836,escritorio,leon,nr,lctrl,lctrl,0.03316734389409248
63,1,0.3654855575223337,tuerca,gato,nr,lctrl,lctrl,0.03344810583439539
64,1,0.3825064358743475,lapiz,zorro,nr,lctrl,lctrl,0.03335842963315372
