Nombre,66
Apellido,18_30
Edad,21
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,7
Dibujar,Alta preferencia de mano izquierda
Arrojar un objeto,Alta preferencia de mano izquierda
Escribir,Alta preferencia de mano izquierda
Usar tijeras,Alta preferencia de mano izquierda
Usa un cepillo de diente,Alta preferencia de mano izquierda
Usar una cuchara,Alta preferencia de mano izquierda
Usar una escoba (La mano que va arriba),Alta preferencia de mano izquierda
Encender un fósforo,Alta preferencia de mano izquierda
Abrir una caja (La mano que abre la caja),Alta preferencia de mano izquierda
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,hilo,serpiente,sra,,rctrl,0.033388880430720747
-8,1,1.4245472539114417,violin,mapache,sra,rctrl,rctrl,0.033417655031371396
-7,1,0.7411126274455455,hilo,pavo,sra,rctrl,rctrl,0.033386086783139035
-6,1,0.5753024476580322,hilo,pavo,sra,rctrl,rctrl,0.03337575027398998
-5,1,0.6727396917704027,hilo,serpiente,sra,rctrl,rctrl,0.0332508740684716
-4,1,0.5903674908331595,pavo,rueda,sro,lctrl,rctrl,0.033369883603882045
-3,1,0.6846532170966384,carro,buho,sra,rctrl,rctrl,0.03337519153865287
-2,1,0.506921969128598,carro,buho,sra,rctrl,rctrl,0.03351291854050942
-1,1,0.6036437591901631,mapache,violin,sro,lctrl,rctrl,0.03352968044782756
0,1,0.6771064478889457,serpiente,hilo,sro,lctrl,rctrl,0.033334404237393755
1,1,0.7768559970572824,zorrino,zorro,sra,rctrl,rctrl,0.033386645511200186
2,1,0.5199132850684691,cisne,pato,sra,rctrl,rctrl,0.0333620613819221
3,1,0.5434503547221539,llave,zapato,wro,lctrl,rctrl,0.033378823289240245
4,1,0.48495604888739763,hormiga,pato,wra,rctrl,rctrl,0.033361502646584995
5,1,0.6250171460342244,mariposa,vaso,nr,lctrl,rctrl,0.03338245503255166
6,1,0.6031585019882186,camello,zapato,nr,lctrl,rctrl,0.03338217566488311
7,1,0.6707419518352253,silla,mesa,sro,lctrl,rctrl,0.03337798518623458
8,1,0.5595529599377187,perro,gato,sra,rctrl,rctrl,0.03327294391056057
9,1,0.548392044242064,bota,zapato,sro,lctrl,rctrl,0.03327573755814228
10,1,0.7776236923964461,cuchara,cigarrillo,wro,lctrl,rctrl,0.03315728675079299
11,1,0.6117783126101131,pincel,pato,nr,rctrl,rctrl,0.033360943918523844
12,1,0.5642826113326009,raton,cabra,wra,rctrl,rctrl,0.03333272803865839
13,1,0.5911614464930608,gallo,cigarrillo,nr,lctrl,rctrl,0.03340033440326806
14,1,0.5693097865805612,tijera,leon,nr,rctrl,rctrl,0.03333775661303662
15,1,0.6086424391978653,abeja,gato,wra,rctrl,rctrl,0.03335563597647706
16,1,0.5692634119768627,mosca,zorro,wra,rctrl,rctrl,0.03342910901119467
17,1,0.5297611847345252,jarra,cabra,nr,rctrl,rctrl,0.03340480424230918
18,1,0.6058110737503739,ardilla,vaso,nr,lctrl,rctrl,0.03336289947765181
19,1,0.7795272862858837,avestruz,zapato,nr,lctrl,rctrl,0.033455928052717354
20,1,0.6192759135519736,media,olla,wro,lctrl,rctrl,0.03339418836549157
21,1,0.6174452339619165,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.03339195344597101
22,1,0.7667007957716123,oveja,cabra,sra,rctrl,rctrl,0.03340648043376859
23,1,0.4870487729640445,burro,caballo,sra,rctrl,rctrl,0.03309778198308777
24,1,0.5292460354539799,peine,tornillo,wro,lctrl,rctrl,0.03340648043376859
25,1,0.4808848610628047,destornillador,tornillo,sro,lctrl,rctrl,0.03337686773011228
26,1,0.5889670335163828,martillo,clavo,sro,lctrl,rctrl,0.03340452487464063
27,1,0.5766542954515899,tuerca,gato,nr,rctrl,rctrl,0.033430505834985524
28,1,0.6773989431603695,cuchillo,tenedor,sro,lctrl,rctrl,0.033288029619143344
29,1,0.561386712550302,candado,cebra,nr,rctrl,rctrl,0.03337407408253057
30,1,0.59071334485634,regla,clavo,wro,lctrl,rctrl,0.033353680424625054
31,1,0.641816767216369,pipa,cigarrillo,sro,lctrl,rctrl,0.03332350899290759
32,1,0.6612597411149181,sarten,olla,sro,lctrl,rctrl,0.03338552804780193
33,1,0.8201581485918723,pinguino,clavo,nr,lctrl,rctrl,0.03339446773316013
34,1,0.5782243273934,elefante,mesa,nr,lctrl,rctrl,0.03333915343682747
35,1,0.5955100438732188,botella,vaso,sro,lctrl,rctrl,0.03340201059472747
36,1,0.5229773616447346,sobre,gato,nr,rctrl,rctrl,0.03323048041056609
37,1,0.5445965897888527,aguila,mono,wra,rctrl,rctrl,0.03338692487886874
38,1,0.7296323974151164,canguro,mesa,nr,lctrl,rctrl,0.03335954709473299
39,1,0.5590369725759956,tortuga,tornillo,nr,lctrl,rctrl,0.03325953437888529
40,1,1.050711193747702,rinoceronte,tenedor,nr,lctrl,rctrl,0.03337798519351054
41,1,0.5764942192399758,tigre,leon,sra,rctrl,rctrl,0.03337686773011228
42,1,0.5669675894605462,cama,mono,nr,rctrl,rctrl,0.03340340741851833
43,1,0.5868388300732477,escritorio,leon,nr,rctrl,rctrl,0.03340089313132921
44,1,0.5772800733029726,chancho,tornillo,nr,lctrl,rctrl,0.03337295661913231
45,1,0.628427355986787,oso,olla,nr,lctrl,rctrl,0.03330423280567629
46,1,0.5420451481986674,jirafa,cebra,sra,rctrl,rctrl,0.03315281690447591
47,1,0.588571452513861,arana,caballo,wra,rctrl,rctrl,0.03338608677586308
48,1,0.6272808415596955,escarabajo,leon,wra,rctrl,rctrl,0.03336569312523352
49,1,0.5160491068018018,serrucho,caballo,nr,rctrl,rctrl,0.0334251979002147
50,1,0.43175906434771605,ventana,cebra,nr,rctrl,rctrl,0.03335172487277305
51,1,0.6653714368731016,pava,zorro,nr,rctrl,rctrl,0.03338413122401107
52,1,0.6575911184263532,lapiz,zorro,nr,rctrl,rctrl,0.03338832169538364
53,1,0.5463269773172215,taza,cabra,nr,rctrl,rctrl,0.033437210593547206
