Nombre,66
Apellido,18_40
Edad,19
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,7
Dibujar,Preferencia moderada de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.0762934954022967,mapache,violin,sro,lctrl,rctrl,0.03338301376288655
-8,1,0.7074049914167517,hilo,pavo,sra,rctrl,rctrl,0.03354979473624553
-7,1,0.515035290798096,buho,carro,sro,lctrl,rctrl,0.03341681694155341
-6,1,0.45654601352998725,pavo,rueda,sro,lctrl,rctrl,0.03340089312996497
-5,1,0.5528685908402622,serpiente,hilo,sro,lctrl,rctrl,0.033482747108791955
-4,1,0.43333133121677747,mapache,violin,sro,lctrl,rctrl,0.033407597893074126
-3,1,0.3755432603866211,violin,mapache,sra,rctrl,rctrl,0.03337351534901245
-2,1,0.5992649903828351,serpiente,hilo,sro,lctrl,rctrl,0.033386366144441126
-1,1,0.4306348991285631,hilo,serpiente,sra,rctrl,rctrl,0.03339754074886514
0,1,0.4634703572660328,serpiente,hilo,sro,lctrl,rctrl,0.03339977567020469
1,1,0.6602855949568038,tuerca,gato,nr,rctrl,rctrl,0.03335619471181417
2,1,0.45669295957986833,ciervo,tenedor,nr,lctrl,rctrl,0.03337686773056703
3,1,0.5262241430127688,mosca,zorro,wra,rctrl,rctrl,0.03337994074672679
4,1,0.5115010427302877,cuchara,cigarrillo,wro,lctrl,rctrl,0.03320114707321409
5,1,0.4966307170325308,gorila,mono,sra,rctrl,rctrl,0.03341234710023855
6,1,0.4955015232385449,hacha,vaso,wro,lctrl,rctrl,0.03333272804229637
7,1,0.46756026254752214,cisne,pato,sra,rctrl,rctrl,0.03342519789521248
8,1,0.504538425973351,tijera,leon,nr,rctrl,rctrl,0.033393350272035605
9,1,0.5300492101650889,gallo,cigarrillo,nr,lctrl,rctrl,0.033238581998375594
10,1,0.35718561996009157,copa,pato,nr,rctrl,rctrl,0.033279648670486495
11,1,0.4989530792322512,escarabajo,leon,wra,rctrl,rctrl,0.03332630264458203
12,1,0.42751997809773457,chancho,tornillo,nr,lctrl,rctrl,0.03337966138133197
13,1,0.5431315991277188,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.033407597893074126
14,1,0.4276468098596524,burro,caballo,sra,rctrl,rctrl,0.03349867092038039
15,1,0.6160763448988291,zorrino,zorro,sra,rctrl,rctrl,0.03829536994226146
16,1,0.48935968118848905,jarra,cabra,nr,rctrl,rctrl,0.03316482960826761
17,1,0.44690763770222475,peine,tornillo,wro,lctrl,rctrl,0.03336820741196789
18,0,0.7016849906899552,oveja,cabra,sra,lctrl,rctrl,0.033366251856023155
19,1,0.7434425325004668,raton,cabra,wra,rctrl,rctrl,0.03337407407889259
20,1,0.630358048299513,taza,cabra,nr,rctrl,rctrl,0.0333369185191259
21,1,0.5538977719238574,puerta,mono,nr,rctrl,rctrl,0.033382175667156844
22,1,0.5461534915748416,conejo,clavo,nr,lctrl,rctrl,0.03335926772797393
23,0,0.9335197629866343,ardilla,vaso,nr,rctrl,rctrl,0.03338804233499104
24,1,1.1291097052840087,martillo,clavo,sro,lctrl,rctrl,0.02740152728938483
25,1,0.6509221144024195,oso,olla,nr,lctrl,rctrl,0.03336792804657307
26,1,0.5602709282884462,pava,zorro,nr,rctrl,rctrl,0.03337575026989725
27,1,0.7017500827619187,rinoceronte,tenedor,nr,lctrl,rctrl,0.03317404865720164
28,1,1.0310681944210955,botella,vaso,sro,lctrl,rctrl,0.033353959790929366
29,1,0.6193594437281718,mariposa,vaso,nr,lctrl,rctrl,0.033374632809682225
30,1,0.8202344152682599,bota,zapato,sro,lctrl,rctrl,0.03319975024760424
31,1,0.6052760895586289,hormiga,pato,wra,rctrl,rctrl,0.03337351534901245
32,1,1.0331173375388971,llave,zapato,wro,lctrl,rctrl,0.03339362963743042
33,1,0.4963147550879512,aguila,mono,wra,rctrl,rctrl,0.03340843598834908
