Nombre,66
Apellido,8_06
Edad,24
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Preferencia moderada de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.8042622735571285,mapache,violin,sro,lctrl,rctrl,0.03338049947694799
-8,1,0.5490580506740343,carro,buho,sra,rctrl,rctrl,0.0333793820163919
-7,1,0.6458477264568501,buho,carro,sro,lctrl,rctrl,0.033367648681633
-6,1,0.5527006924064608,hilo,pavo,sra,rctrl,rctrl,0.03333915343989702
-5,1,0.44204891962522197,mapache,violin,sro,lctrl,rctrl,0.033382175667497904
-4,1,0.5560818483912726,mapache,violin,sro,lctrl,rctrl,0.033388321700158485
-3,1,0.5085283185433127,hilo,pavo,sra,rctrl,rctrl,0.03340731852790668
-2,1,0.4786080353787838,hilo,pavo,sra,rctrl,rctrl,0.03337407407934734
-1,1,0.5230530695939706,serpiente,hilo,sro,lctrl,rctrl,0.033375191539562366
0,1,0.4665092909854138,mapache,violin,sro,lctrl,rctrl,0.03337854392111694
1,1,0.7059129023382411,pinguino,clavo,nr,lctrl,rctrl,0.03336932487241029
2,1,0.39921526339230695,pinza,mesa,wro,lctrl,rctrl,0.0333793820163919
3,1,0.5500327555598687,ardilla,vaso,nr,lctrl,rctrl,0.03338776297005097
4,1,0.41232139839007687,arana,caballo,wra,rctrl,rctrl,0.033357032807089126
5,1,0.5211139963319056,chancho,tornillo,nr,lctrl,rctrl,0.03340843598834908
6,1,0.44989544760574063,conejo,clavo,nr,lctrl,rctrl,0.03338860106532593
7,1,0.43982377648558213,oso,olla,nr,lctrl,rctrl,0.033397820114032584
8,1,0.41582351946954077,zorrino,zorro,sra,rctrl,rctrl,0.03341095027440133
9,1,0.4427188371707871,jirafa,cebra,sra,rctrl,rctrl,0.03338720423948871
10,1,0.42180696149944197,sapo,cebra,wra,rctrl,rctrl,0.03337463280945485
11,1,0.44190867833754055,peine,tornillo,wro,lctrl,rctrl,0.03336289947469595
12,1,0.4568055437214298,sombrero,tenedor,wro,lctrl,rctrl,0.03336569312591564
13,1,0.536857896743868,serrucho,caballo,nr,rctrl,rctrl,0.03337519153978974
14,1,0.5036933465007678,escritorio,leon,nr,rctrl,rctrl,0.033376867730339654
15,1,0.4886584747503093,cuchillo,tenedor,sro,lctrl,rctrl,0.03339586455808785
16,1,0.5743718824601274,copa,pato,nr,rctrl,rctrl,0.03338413122332895
17,1,0.5195705040725898,taza,cabra,nr,rctrl,rctrl,0.0334427978975782
18,1,0.5401267479526268,abeja,gato,wra,rctrl,rctrl,0.03337854392111694
19,1,0.5795147148589876,llave,zapato,wro,lctrl,rctrl,0.03334781375838247
20,1,0.4864361252618892,sarten,olla,sro,lctrl,rctrl,0.03337128042812765
21,1,0.49084255121806564,hacha,vaso,wro,lctrl,rctrl,0.033352562965546895
22,1,0.4508746223334583,martillo,clavo,sro,lctrl,rctrl,0.033353680425989296
23,1,0.45558834991607,pava,zorro,nr,rctrl,rctrl,0.03335368042576192
24,1,0.46598967187151175,media,olla,wro,lctrl,rctrl,0.03337435344428741
25,1,0.5248225682314569,burro,caballo,sra,rctrl,rctrl,0.03338748360488353
26,1,0.6202735263839259,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.033371001062960204
27,1,0.4132910747034657,tijera,leon,nr,rctrl,rctrl,0.03337854392111694
28,1,0.5293284481688261,cuchara,cigarrillo,wro,lctrl,rctrl,0.03333272804229637
29,1,0.5432986594664726,bowl,caballo,nr,rctrl,rctrl,0.03334893121882487
30,1,0.4872842777504047,raton,cabra,wra,rctrl,rctrl,0.033374074079119964
31,1,0.4844090519884503,perro,gato,sra,rctrl,rctrl,0.03340731852790668
32,1,0.4707140153286673,hormiga,pato,wra,rctrl,rctrl,0.03334474074222271
33,1,0.44205199264138173,escarabajo,leon,wra,rctrl,rctrl,0.03330451216561414
34,1,0.4208903645576356,candado,cebra,nr,rctrl,rctrl,0.03354281060865105
35,1,0.45704691518062646,tortuga,tornillo,nr,lctrl,rctrl,0.03340508360702188
36,1,0.4605845156297619,oveja,cabra,sra,rctrl,rctrl,0.03335842963269897
37,1,0.4359799918704539,botella,vaso,sro,lctrl,rctrl,0.0332017058033216
38,1,0.5793199973738865,pincel,pato,nr,rctrl,rctrl,0.03340284868613708
39,1,0.41698176723571123,cisne,pato,sra,rctrl,rctrl,0.03335535661653921
40,1,0.5629874746650785,camello,zapato,nr,lctrl,rctrl,0.03350537568326217
41,1,0.6579632327573108,aguila,mono,wra,rctrl,rctrl,0.033397820114032584
42,1,0.48572709660038527,lapiz,zorro,nr,rctrl,rctrl,0.03339446773270538
