Nombre,66
Apellido,8_24
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano izquierda
Arrojar un objeto,Alta preferencia de mano izquierda
Escribir,Alta preferencia de mano izquierda
Usar tijeras,Alta preferencia de mano izquierda
Usa un cepillo de diente,Alta preferencia de mano izquierda
Usar una cuchara,Alta preferencia de mano izquierda
Usar una escoba (La mano que va arriba),Preferencia moderada de mano derecha
Encender un fósforo,Alta preferencia de mano izquierda
Abrir una caja (La mano que abre la caja),Alta preferencia de mano izquierda
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.9831640613540458,hilo,serpiente,sra,lctrl,lctrl,0.03339670265359018
-8,1,0.7734144982111957,carro,buho,sra,lctrl,lctrl,0.03341067090946126
-7,1,0.6995947809009522,violin,mapache,sra,lctrl,lctrl,0.03338971852576833
-6,1,0.4695999072509949,buho,carro,sro,rctrl,lctrl,0.03337323598384501
-5,1,0.43025887368366966,pavo,rueda,sro,rctrl,lctrl,0.033367369316465556
-4,1,0.4191264532225887,carro,buho,sra,lctrl,lctrl,0.03338524868377135
-3,1,0.4458049835941438,serpiente,hilo,sro,rctrl,lctrl,0.03338943916060089
-2,1,0.4962625138111889,serpiente,hilo,sro,rctrl,lctrl,0.03340787725824157
-1,1,0.48125110873024823,violin,mapache,sra,lctrl,lctrl,0.03331987724686769
0,1,0.50462782280988,carro,buho,sra,lctrl,lctrl,0.033390277255875844
1,1,0.6089519757399557,avestruz,zapato,nr,rctrl,lctrl,0.03337435344428741
2,1,0.5860440363228463,gorila,mono,sra,lctrl,lctrl,0.03353303282960951
3,1,0.5422208688535193,perro,gato,sra,lctrl,lctrl,0.03338189630244415
4,1,0.510283848924928,martillo,clavo,sro,rctrl,lctrl,0.033370162967685246
5,1,0.597880177508614,mariposa,vaso,nr,rctrl,lctrl,0.03335423915609681
6,1,0.5011692826883518,pincel,pato,nr,lctrl,lctrl,0.03336513439558075
7,1,0.6179019959240577,gallina,olla,nr,rctrl,lctrl,0.033317083595648
8,1,0.5101234933490559,hormiga,pato,wra,lctrl,lctrl,0.03337239788857005
9,1,0.5274650828528138,hacha,vaso,wro,rctrl,lctrl,0.03338971852554096
10,1,0.5786400226843398,elefante,mesa,nr,rctrl,lctrl,0.03337547090495718
11,1,0.5365003093968426,ardilla,vaso,nr,rctrl,lctrl,0.03323746453793319
12,1,0.6216493995743804,canguro,mesa,nr,rctrl,lctrl,0.03338133757233663
13,1,0.6317121310109997,llave,zapato,wro,rctrl,lctrl,0.033388601065098555
14,1,0.5080623375317828,bowl,caballo,nr,lctrl,lctrl,0.033344182011887824
15,1,0.47544953339047424,botella,vaso,sro,rctrl,lctrl,0.033370721698020134
16,1,0.43878090651173807,conejo,clavo,nr,rctrl,lctrl,0.0333771470955071
17,1,0.4580358676871583,tortuga,tornillo,nr,rctrl,lctrl,0.033586391566586826
18,1,0.40214189233552133,cisne,pato,sra,lctrl,lctrl,0.03339279154192809
19,1,0.3472161964718907,zorrino,zorro,sra,lctrl,lctrl,0.03339195344642576
20,1,0.4385660747386737,jirafa,cebra,sra,lctrl,lctrl,0.03319472167549975
21,1,0.5237959014345961,pipa,cigarrillo,sro,rctrl,lctrl,0.0333771470955071
22,1,0.5065942738531248,cuchara,cigarrillo,wro,rctrl,lctrl,0.033446709009240294
23,1,0.4974255107842964,serrucho,caballo,nr,lctrl,lctrl,0.03339809947920003
24,1,0.6811784738004008,pava,zorro,nr,lctrl,lctrl,0.03339083598621073
25,1,0.44050654482634855,sobre,gato,nr,lctrl,lctrl,0.033339153440010705
26,1,0.47308051721643096,jarra,cabra,nr,lctrl,lctrl,0.033446988374180364
27,1,0.4724050123688812,taza,cabra,nr,lctrl,lctrl,0.03340396614657948
