Nombre,SOA_66
Apellido,18_231
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano izquierda
Usar una cuchara,Alta preferencia de mano izquierda
Usar una escoba (La mano que va arriba),Alta preferencia de mano izquierda
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,serpiente,hilo,sro,,lctrl,0.03339558519292041
-8,0,1.3465993582981355,rueda,pavo,sra,rctrl,lctrl,0.033374912174622295
-7,0,0.63106093092847,buho,carro,sro,lctrl,lctrl,0.03337547090495718
-6,0,0.5998608761728974,rueda,pavo,sra,rctrl,lctrl,0.03329641057734989
-5,0,0.5623846047469669,buho,carro,sro,lctrl,lctrl,0.03324752168236955
-4,0,0.6192124976773812,pavo,rueda,sro,lctrl,lctrl,0.03338804233499104
-3,0,0.5698120850552186,hilo,serpiente,sra,rctrl,lctrl,0.03336262010952851
-2,0,0.5067669214945454,pavo,rueda,sro,lctrl,lctrl,0.033348372488489986
-1,0,0.5153132590876339,carro,buho,sra,rctrl,lctrl,0.033267915335272846
0,0,0.4462720820661161,carro,buho,sra,rctrl,lctrl,0.033440004246585886
1,0,0.49693522500774634,pinza,mesa,wro,lctrl,lctrl,0.03338552804871142
2,0,0.5482562727943332,copa,pato,nr,rctrl,lctrl,0.033350607409829536
3,0,0.6296937180563873,puerta,mono,nr,rctrl,lctrl,0.033398658209534915
