Nombre,150
Apellido,12_55
Edad,19
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,Menos de 5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.8901178781125054,buho,carro,sro,lctrl,rctrl,0.03339865821180865
-8,0,0.7270139081920206,carro,buho,sra,lctrl,rctrl,0.033422124877688475
-7,0,0.7631637540507654,hilo,pavo,sra,lctrl,rctrl,0.03339977566793095
-6,1,1.7684093928146467,buho,carro,sro,lctrl,rctrl,0.03340228995512007
-5,1,0.4717568853011471,violin,mapache,sra,rctrl,rctrl,0.033477718538051704
-4,1,0.6340520932099025,violin,mapache,sra,rctrl,rctrl,0.033363737569743535
-3,1,0.5387938969906827,carro,buho,sra,rctrl,rctrl,0.03318131215200992
-2,1,0.6543809338909341,hilo,pavo,sra,rctrl,rctrl,0.03339279154170072
-1,1,0.5448893644315831,mapache,violin,sro,lctrl,rctrl,0.03324780104594538
0,1,0.6314615405026416,hilo,serpiente,sra,rctrl,rctrl,0.033412626464269124
1,1,0.8685291007641354,pinza,mesa,wro,lctrl,rctrl,0.03340089313132921
2,1,0.5771155272523174,cuchillo,tenedor,sro,lctrl,rctrl,0.03339307090936927
3,1,0.5316809817995818,oso,olla,nr,lctrl,rctrl,0.03336848677645321
4,1,0.6281890575482976,llave,zapato,wro,lctrl,rctrl,0.033360385186824715
5,1,0.9702168851072202,tuerca,gato,nr,rctrl,rctrl,0.03338413122401107
6,1,0.6117662999058666,peine,tornillo,wro,lctrl,rctrl,0.033425477256969316
7,1,0.5720039837469812,oveja,cabra,sra,rctrl,rctrl,0.03349922964844154
8,1,0.5617515633966832,avestruz,zapato,nr,lctrl,rctrl,0.033384410588041646
9,1,0.48298456926931976,camello,zapato,nr,lctrl,rctrl,0.03340899472095771
10,1,0.5768568351559225,jarra,cabra,nr,rctrl,rctrl,0.03341178836853942
