Nombre,150
Apellido,13_36
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,serpiente,hilo,sro,,rctrl,0.03334306455144542
-8,1,0.8785675274339155,hilo,pavo,sra,rctrl,rctrl,0.03329026454593986
-7,1,0.7709775963121501,hilo,pavo,sra,rctrl,rctrl,0.033256461367273005
-6,0,0,hilo,pavo,sra,,rctrl,0.03362326776186819
-5,1,1.1299360672928742,buho,carro,sro,lctrl,rctrl,0.03340256932278862
-4,0,0,buho,carro,sro,,rctrl,0.033364296301442664
-3,1,0.9236129172859364,buho,carro,sro,lctrl,rctrl,0.03345229630940594
-2,1,0.7571892517044034,hilo,pavo,sra,rctrl,rctrl,0.03341122963684029
-1,1,0.7154995956188941,violin,mapache,sra,rctrl,rctrl,0.03336457566183526
0,1,0.6555741022966686,buho,carro,sro,lctrl,rctrl,0.03337463280695374
1,0,0,avestruz,zapato,nr,,rctrl,0.033420448689867044
2,1,0.6355919537272712,abeja,gato,wra,rctrl,rctrl,0.03338357249231194
3,1,0.6040080513012072,rinoceronte,tenedor,nr,lctrl,rctrl,0.033427712183765834
4,1,0.5807983975610114,gorila,mono,sra,rctrl,rctrl,0.03351235980881029
5,1,0.8493763872211275,pipa,cigarrillo,sro,lctrl,rctrl,0.03335284232889535
6,1,0.5345900107422494,camello,zapato,nr,lctrl,rctrl,0.033400893127691234
7,1,0.5461344947470934,canguro,mesa,nr,lctrl,rctrl,0.033400893127691234
8,1,0.5677299768576631,taza,cabra,nr,rctrl,rctrl,0.03340843598925858
9,1,0.4573645533164381,raton,cabra,wra,rctrl,rctrl,0.033364855029503815
