Nombre,150
Apellido,14_00
Edad,19
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,Mas de 7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Alta preferencia de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.2852504997135838,pavo,rueda,sro,rctrl,lctrl,0.033387762970960466
-8,1,0.933768397939275,pavo,rueda,sro,rctrl,lctrl,0.0333802201130311
-7,1,0.6621877920260886,rueda,pavo,sra,lctrl,lctrl,0.03337630900205113
-6,1,0.5540413655944576,carro,buho,sra,lctrl,lctrl,0.03337630899841315
-5,1,0.7800267911152332,buho,carro,sro,rctrl,lctrl,0.03361097569722915
-4,1,0.4913280877881334,carro,buho,sra,lctrl,lctrl,0.03335340106059448
-3,1,0.5002311746357009,hilo,serpiente,sra,lctrl,lctrl,0.03337295661549433
-2,1,0.54295951021777,violin,mapache,sra,lctrl,lctrl,0.03334082962828688
-1,1,0.6012194287286547,serpiente,hilo,sro,rctrl,lctrl,0.0333983788441401
0,1,0.5276838257377676,violin,mapache,sra,lctrl,lctrl,0.03335815027094213
1,1,0.5570811374054756,mosca,zorro,wra,lctrl,lctrl,0.03341122964047827
2,1,0.4360140744174714,lapiz,zorro,nr,lctrl,lctrl,0.03340033439963008
3,1,0.4337696550828696,cuchillo,tenedor,sro,rctrl,lctrl,0.033260931209952105
4,1,0.5515038922567328,sapo,cebra,wra,lctrl,lctrl,0.03337966138133197
5,1,0.3913055988959968,regla,clavo,wro,rctrl,lctrl,0.033391115353879286
6,1,0.5131696905591525,silla,mesa,sro,rctrl,lctrl,0.033374353446561145
7,1,0.3843189567414811,escarabajo,leon,wra,lctrl,lctrl,0.03335144550510449
8,1,0.47732267648461857,martillo,clavo,sro,rctrl,lctrl,0.03340256932278862
9,1,0.48630957286513876,escritorio,leon,nr,lctrl,lctrl,0.03338804233499104
10,1,0.48302256292663515,hormiga,pato,wra,lctrl,lctrl,0.03327350263862172
11,1,0.5731099902368442,bota,zapato,sro,rctrl,lctrl,0.03338189630085253
12,1,0.5461314217318431,cama,mono,nr,lctrl,lctrl,0.03340955344901886
13,1,0.5358770458260551,ciervo,tenedor,nr,rctrl,lctrl,0.0333983788441401
14,1,0.6168577291246038,sarten,olla,sro,rctrl,lctrl,0.033386086779501056
15,1,0.46282753813648014,zorrino,zorro,sra,lctrl,lctrl,0.03336345820571296
16,1,0.5389872176492645,camello,zapato,nr,rctrl,lctrl,0.03334976931364508
17,1,0.4604032076713338,candado,cebra,nr,lctrl,lctrl,0.03335787090327358
