Nombre,150
Apellido,8_34
Edad,19
Sexo,Masculino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,Mas de 7
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Preferencia moderada de mano derecha
Usa un cepillo de diente,Alta preferencia de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),Alta preferencia de mano derecha
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),Preferencia moderada de mano derecha
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,0.9906435035738923,carro,buho,sra,lctrl,lctrl,0.03339474709787282
-8,1,1.0320512802604753,mapache,violin,sro,rctrl,lctrl,0.033410670909233886
-7,1,0.4983437839166527,hilo,pavo,sra,lctrl,lctrl,0.0333793820163919
-6,1,0.5980899807098012,hilo,serpiente,sra,lctrl,lctrl,0.033369045507242845
-5,1,0.5167324338708568,serpiente,hilo,sro,rctrl,lctrl,0.03346849948820818
-4,1,0.4444232437363098,hilo,serpiente,sra,lctrl,lctrl,0.03339642328842274
-3,1,0.6450317009562241,buho,carro,sro,rctrl,lctrl,0.03340731852790668
-2,1,0.5362044617402262,pavo,rueda,sro,rctrl,lctrl,0.03343385821381162
-1,1,0.4213334376297553,violin,mapache,sra,lctrl,lctrl,0.03338692487454864
0,1,0.5462680312721204,buho,carro,sro,rctrl,lctrl,0.03333999153528566
1,1,0.4370432554974286,copa,pato,nr,lctrl,lctrl,0.03338161693750408
2,1,0.45249996857137376,perro,gato,sra,lctrl,lctrl,0.03344251853241076
3,1,0.48372460745713397,gorila,mono,sra,lctrl,lctrl,0.03314695024073444
4,1,0.49009776382172276,cuchara,cigarrillo,wro,rctrl,lctrl,0.033407877258014196
5,1,0.6059169531322368,tortuga,tornillo,nr,rctrl,lctrl,0.03332825820029939
6,1,0.5564617849472597,camello,zapato,nr,rctrl,lctrl,0.032921223228186136
7,1,0.3977164695511419,jarra,cabra,nr,lctrl,lctrl,0.03320813120103594
8,1,0.4531623432590095,rinoceronte,tenedor,nr,rctrl,lctrl,0.033404804241854436
9,1,0.4517599303821953,martillo,clavo,sro,rctrl,lctrl,0.033356753442149056
10,1,0.5174917482527235,cuchillo,tenedor,sro,rctrl,lctrl,0.03338915979543344
11,1,0.42291464417940006,hormiga,pato,wra,lctrl,lctrl,0.03338804233499104
12,1,0.4474630155509658,puerta,mono,nr,lctrl,lctrl,0.033386366144441126
13,1,0.43025915304860973,lapiz,zorro,nr,lctrl,lctrl,0.03323718517299312
14,1,0.4729687711705992,elefante,mesa,nr,rctrl,lctrl,0.033366531220963225
15,1,0.3917307926008107,jirafa,cebra,sra,lctrl,lctrl,0.033401731225694675
16,1,0.5183264912161576,chancho,tornillo,nr,rctrl,lctrl,0.03338915979543344
17,1,0.34973746663354177,arana,caballo,wra,lctrl,lctrl,0.033331889946794035
18,1,0.6565267373366623,conejo,clavo,nr,rctrl,lctrl,0.03338217566761159
19,1,0.5326252358890997,silla,mesa,sro,rctrl,lctrl,0.033457324883556794
20,1,0.4052442419356339,escritorio,leon,nr,lctrl,lctrl,0.033406480432631724
21,1,0.3646659002747583,tigre,leon,sra,lctrl,lctrl,0.033401731225694675
22,1,0.520494364507158,mariposa,vaso,nr,rctrl,lctrl,0.03354141378304121
23,1,0.3547101656772611,burro,caballo,sra,lctrl,lctrl,0.03334669629794007
24,1,0.4614061284323725,bota,zapato,sro,rctrl,lctrl,0.03341430265595591
25,1,0.40624604523736707,sobre,gato,nr,lctrl,lctrl,0.03340228995580219
26,1,0.5406835226262956,pinguino,clavo,nr,rctrl,lctrl,0.03339335027226298
27,1,0.3909915925069072,candado,cebra,nr,lctrl,lctrl,0.03338329312805399
28,1,0.42448383802957323,regla,clavo,wro,rctrl,lctrl,0.03340564233712939
29,1,0.4832938264503355,botella,vaso,sro,rctrl,lctrl,0.03336373756997091
30,1,0.39519464065961074,tijera,leon,nr,lctrl,lctrl,0.03340117249535979
31,1,0.5661537988767122,oso,olla,nr,rctrl,lctrl,0.03336234074436106
32,1,0.5065054357469307,ardilla,vaso,nr,rctrl,lctrl,0.03338385185838888
33,1,0.41081142994426045,tuerca,gato,nr,lctrl,lctrl,0.03350230266687504
34,1,0.5376300619213907,pipa,cigarrillo,sro,rctrl,lctrl,0.03355342648296755
35,1,0.38030168638761097,serrucho,caballo,nr,lctrl,lctrl,0.033379940746499415
36,1,0.7366894395795498,cisne,pato,sra,lctrl,lctrl,0.03339558519292041
37,1,0.3750568857217331,cama,mono,nr,lctrl,lctrl,0.033382455032779035
38,1,0.3974776123782249,media,olla,wro,rctrl,lctrl,0.03338413122332895
39,1,0.45597862298154723,sarten,olla,sro,rctrl,lctrl,0.03335172487004456
40,1,0.40204160025905367,pava,zorro,nr,lctrl,lctrl,0.033422962974327675
41,1,0.4405978972185949,oveja,cabra,sra,lctrl,lctrl,0.03339083598598336
42,1,0.39026272892215275,ciervo,tenedor,nr,rctrl,lctrl,0.03340564233735677
43,1,0.37135837096593605,pincel,pato,nr,lctrl,lctrl,0.033388880430266
44,1,0.46026324574768296,gallina,olla,nr,rctrl,lctrl,0.03341569948133838
45,1,0.3635333540996726,abeja,gato,wra,lctrl,lctrl,0.03334110899550069
46,1,0.43996792888492564,sapo,cebra,wra,lctrl,lctrl,0.03338329312805399
47,1,0.4395966526471966,hacha,vaso,wro,rctrl,lctrl,0.03336569312568827
48,1,0.5781380035732582,gallo,cigarrillo,nr,rctrl,lctrl,0.03312208674583417
49,1,0.49233687521746106,mosca,zorro,wra,lctrl,lctrl,0.03360818204555471
50,1,0.44229587838663065,taza,cabra,nr,lctrl,lctrl,0.033361782014026176
51,1,0.35932583610474467,raton,cabra,wra,lctrl,lctrl,0.033380778842001746
52,1,0.3502623936838063,zorrino,zorro,sra,lctrl,lctrl,0.03333775661440086
