Nombre,150
Apellido,9_10
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,0,buho,carro,sro,,lctrl,0.03317153437183151
-8,1,1.3763631969986818,carro,buho,sra,lctrl,lctrl,0.03335088677431486
-7,1,0.7743439459482033,buho,carro,sro,rctrl,lctrl,0.03328663279899047
-6,1,0.6283583528074814,rueda,pavo,sra,lctrl,lctrl,0.03327741374960169
-5,1,0.6652588527313128,buho,carro,sro,rctrl,lctrl,0.033377985190782056
-4,1,0.6975590473084594,serpiente,hilo,sro,rctrl,lctrl,0.03338245503255166
-3,1,0.6387959922285518,hilo,serpiente,sra,lctrl,lctrl,0.03334697566242539
-2,1,0.620869412173306,hilo,serpiente,sra,lctrl,lctrl,0.03577409978151991
-1,1,0.612295696799265,serpiente,hilo,sro,rctrl,lctrl,0.0333911153520603
0,1,0.4700457739745616,violin,mapache,sra,lctrl,lctrl,0.03337658836517221
1,1,0.7009829461558184,cuchara,cigarrillo,wro,rctrl,lctrl,0.03340340741578984
2,1,0.58990625903607,elefante,mesa,nr,rctrl,lctrl,0.033352562964864774
3,1,0.5098044583874071,pipa,cigarrillo,sro,rctrl,lctrl,0.03338217566761159
4,1,0.5892595287950826,copa,pato,nr,lctrl,lctrl,0.03334529947278497
5,1,0.49099452584050596,cisne,pato,sra,lctrl,lctrl,0.033412067734388984
6,1,0.654420883101011,bowl,caballo,nr,lctrl,lctrl,0.03339390900237049
7,1,0.622986999744171,bota,zapato,sro,rctrl,lctrl,0.03337630900023214
8,1,0.9317234452973935,oso,olla,nr,rctrl,lctrl,0.033363178839863394
9,1,0.6971944758342943,cuchillo,tenedor,sro,rctrl,lctrl,0.03339083598621073
10,1,0.5940917071857257,gallina,olla,nr,rctrl,lctrl,0.033357312172483944
11,1,0.5581561343688008,canguro,mesa,nr,rctrl,lctrl,0.03339223281182058
12,1,0.5627505730471967,mosca,zorro,wra,lctrl,lctrl,0.03316008040110319
13,1,0.9424502276133353,media,olla,wro,rctrl,lctrl,0.033309820102658705
14,1,0.7918084561024443,avestruz,zapato,nr,rctrl,lctrl,0.033368207412422635
15,1,0.6544546862796778,raton,cabra,wra,lctrl,lctrl,0.033383572493221436
16,1,0.6152131066937727,camello,zapato,nr,rctrl,lctrl,0.03338161693773145
17,1,0.5404329321181649,sobre,gato,nr,lctrl,lctrl,0.0332276867593464
18,1,0.5695709929614168,perro,gato,sra,lctrl,lctrl,0.03313270261969592
19,1,0.5777784606707428,abeja,gato,wra,lctrl,lctrl,0.03338245503255166
20,1,0.6082018804072504,llave,zapato,wro,rctrl,lctrl,0.033360105823703634
