Nombre,150
Apellido,9_13
Edad,18
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,No
Horas de sueño la noche anterior?,6
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Alta preferencia de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Preferencia moderada de mano derecha
Usar una escoba (La mano que va arriba),Preferencia moderada de mano izquierda
Encender un fósforo,Alta preferencia de mano derecha
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,1,1.5068364834078238,pavo,rueda,sro,rctrl,lctrl,0.033378264555722126
-8,1,0.6628096587692198,buho,carro,sro,rctrl,lctrl,0.03337435344383266
-7,1,0.49927714276509505,mapache,violin,sro,rctrl,lctrl,0.033612931252719136
-6,1,0.6427202339964424,serpiente,hilo,sro,rctrl,lctrl,0.03338748360420141
-5,1,0.7249024666543846,violin,mapache,sra,lctrl,lctrl,0.033368766142302775
-4,1,0.5961592884013953,carro,buho,sra,lctrl,lctrl,0.033645058239926584
-3,1,0.5116787189426759,carro,buho,sra,lctrl,lctrl,0.033359267728883424
-2,1,0.506760216731891,hilo,serpiente,sra,lctrl,lctrl,0.033384131223101576
-1,1,0.5542293783146306,violin,mapache,sra,lctrl,lctrl,0.03335256296577427
0,1,0.618630300778932,mapache,violin,sro,rctrl,lctrl,0.03334557883772504
1,1,0.7488806538258359,tigre,leon,sra,lctrl,lctrl,0.03338357249231194
2,1,0.5634741286949065,zorrino,zorro,sra,lctrl,lctrl,0.03339390900237049
3,1,0.4405132495894577,sapo,cebra,wra,lctrl,lctrl,0.03339251217676065
4,1,0.5230198251456386,mariposa,vaso,nr,rctrl,lctrl,0.03340592170206946
5,1,0.6019513653272952,rinoceronte,tenedor,nr,rctrl,lctrl,0.0332195851706274
6,1,0.6110642553730941,mosca,zorro,wra,lctrl,lctrl,0.03339055662127066
7,1,0.6201388723984564,llave,zapato,wro,rctrl,lctrl,0.033384131223101576
8,1,0.6575679311199565,camello,zapato,nr,rctrl,lctrl,0.03364449951095594
9,1,0.6240365744806695,lapiz,zorro,nr,lctrl,lctrl,0.03340396614657948
10,1,0.6086393661762486,bowl,caballo,nr,lctrl,lctrl,0.03337407407889259
11,1,0.5170721418508037,copa,pato,nr,lctrl,lctrl,0.033598962996620685
12,1,0.5438439801700952,canguro,mesa,nr,rctrl,lctrl,0.03336150264931348
13,1,0.5369101380201755,serrucho,caballo,nr,lctrl,lctrl,0.03337630900023214
14,1,0.4859234902760363,pincel,pato,nr,lctrl,lctrl,0.03322098199623724
15,1,0.531311940483647,abeja,gato,wra,lctrl,lctrl,0.033366531220963225
16,1,0.5690320976555086,gallina,olla,nr,rctrl,lctrl,0.033382455033461156
17,1,0.5657747004152043,ciervo,tenedor,nr,rctrl,lctrl,0.03312711531725654
18,1,0.6873390333130374,martillo,clavo,sro,rctrl,lctrl,0.033375191539562366
19,1,0.6754271841809896,cocodrilo,cigarrillo,nr,rctrl,lctrl,0.03336681058681279
20,1,0.5774004796694499,puerta,mono,nr,lctrl,lctrl,0.03334027090022573
21,1,0.5729809235535868,cuchillo,tenedor,sro,rctrl,lctrl,0.03337994074627204
22,1,1.2332687534308207,arana,caballo,wra,lctrl,lctrl,0.033381337571881886
23,1,0.4894661192975036,escritorio,leon,nr,lctrl,lctrl,0.03333496296363592
24,1,0.4926341196996873,sobre,gato,nr,lctrl,lctrl,0.033358150267304154
25,1,0.509078109089387,jirafa,cebra,sra,lctrl,lctrl,0.033357591537424014
26,1,0.5974136377672039,conejo,clavo,nr,rctrl,lctrl,0.03338189630267152
27,1,0.5846592234483978,candado,cebra,nr,lctrl,lctrl,0.03341262646517862
28,1,0.6103714298878913,cuchara,cigarrillo,wro,rctrl,lctrl,0.033411229639568774
29,1,0.7172034434543093,cama,mono,nr,lctrl,lctrl,0.03343944551579625
30,1,0.6592410487928646,burro,caballo,sra,lctrl,lctrl,0.0331779597690911
31,1,0.5918866783349586,pinguino,clavo,nr,rctrl,lctrl,0.03339195344597101
32,1,0.5087026423752832,cisne,pato,sra,lctrl,lctrl,0.033306747086498945
33,1,0.5066783627526092,botella,vaso,sro,rctrl,lctrl,0.03338720423926134
34,1,0.5599795504731446,destornillador,tornillo,sro,rctrl,lctrl,0.03327489946332207
35,1,0.5656755257996338,media,olla,wro,rctrl,lctrl,0.03345201694628486
36,1,0.5996080507438819,silla,mesa,sro,rctrl,lctrl,0.033374912174622295
37,1,0.8023748828409225,escarabajo,leon,wra,lctrl,lctrl,0.03340787725846894
38,1,0.5932424372367677,taza,cabra,nr,lctrl,lctrl,0.03335619471181417
39,1,0.5604315632290309,pava,zorro,nr,lctrl,lctrl,0.03339418836822006
40,1,0.5448477390282278,sarten,olla,sro,rctrl,lctrl,0.033303674070339184
41,1,0.6224863774586993,aguila,mono,wra,lctrl,lctrl,0.03337379471395252
42,1,0.5594884266020017,jarra,cabra,nr,lctrl,lctrl,0.0333640169355931
