Nombre,150
Apellido,9_16
Edad,20
Sexo,Femenino
Antecendente neurologico?,No
Toma alguna medicacion?,No
Trabaja?,Si
Horas de sueño la noche anterior?,5
Dibujar,Alta preferencia de mano derecha
Arrojar un objeto,Preferencia moderada de mano derecha
Escribir,Alta preferencia de mano derecha
Usar tijeras,Alta preferencia de mano derecha
Usa un cepillo de diente,Preferencia moderada de mano derecha
Usar una cuchara,Alta preferencia de mano derecha
Usar una escoba (La mano que va arriba),No preferencia
Encender un fósforo,No preferencia
Abrir una caja (La mano que abre la caja),No preferencia
SYSTEM
System,Windows
Node,u-76627f80a4294
Release,XP
Version,5.1.2600
Machine,x86
Processor,"x86 Family 18 Model 1 Stepping 0, AuthenticAMD"
Screen Width,1280
Screen Height,720
""
Estimulos
Imagenes
ETAPA DE TEST
Num Trial,"Calidad respuesta (1:correcto, 0:error)",Tiempo Resp,Prime,Target,Categoria,Tecla presionada (vacio si no se presiono),Tecla para responder afirmativamente,Tiempo de aparicion del prime
-9,0,1.143181884848218,pavo,rueda,sro,rctrl,rctrl,0.033357312172483944
-8,1,1.2729531267241327,buho,carro,sro,lctrl,rctrl,0.03343637249963649
-7,1,0.6322281183779523,serpiente,hilo,sro,lctrl,rctrl,0.03336457566547324
-6,1,0.4472590790173854,serpiente,hilo,sro,lctrl,rctrl,0.03339558519292041
-5,1,0.5035120385409755,carro,buho,sra,rctrl,rctrl,0.033538899497216335
-4,1,0.44915792370238705,serpiente,hilo,sro,lctrl,rctrl,0.033383851858161506
-3,1,0.5760195779071182,buho,carro,sro,lctrl,rctrl,0.03343302011808191
-2,1,0.4198852088743479,violin,mapache,sra,rctrl,rctrl,0.033461235995218885
-1,1,0.4949603930108424,hilo,pavo,sra,rctrl,rctrl,0.03337910265145183
0,1,0.5435777452162256,buho,carro,sro,lctrl,rctrl,0.03337519154001711
1,1,0.5403306844864346,sarten,olla,sro,lctrl,rctrl,0.03338832170038586
2,1,0.4991315935408238,jarra,cabra,nr,rctrl,rctrl,0.03338692487432127
3,1,0.43151015003286375,cocodrilo,cigarrillo,nr,lctrl,rctrl,0.033392791542155464
4,1,0.48783155401042677,zorrino,zorro,sra,rctrl,rctrl,0.033381058206941816
5,1,0.49844267916705576,candado,cebra,nr,rctrl,rctrl,0.0333698836025178
6,1,0.4698298247403727,sombrero,tenedor,wro,lctrl,rctrl,0.03338608677904631
7,1,0.4967759868923167,raton,cabra,wra,rctrl,rctrl,0.03339418836776531
8,0,0.4454127549729492,chancho,tornillo,nr,rctrl,rctrl,0.0330005629207335
9,1,0.5753468667107882,avestruz,zapato,nr,lctrl,rctrl,0.0333793820163919
10,1,0.5431843991345886,puerta,mono,nr,rctrl,rctrl,0.03337100106273283
11,1,0.8356363727793905,camello,zapato,nr,lctrl,rctrl,0.03338245503255166
12,1,0.4910160369545338,regla,clavo,wro,lctrl,rctrl,0.033402289955574815
13,1,0.5469966154919348,cuchillo,tenedor,sro,lctrl,rctrl,0.03340843598834908
14,1,0.5074485723744147,hacha,vaso,wro,lctrl,rctrl,0.03337882328605701
15,1,0.4798104228329976,silla,mesa,sro,lctrl,rctrl,0.0333654137607482
16,1,0.6750086952388301,ventana,cebra,nr,rctrl,rctrl,0.033381616937276704
17,1,0.4273601812524248,ardilla,vaso,nr,lctrl,rctrl,0.03338776297005097
18,1,0.48313095658795646,rinoceronte,tenedor,nr,lctrl,rctrl,0.03339139471654562
19,1,0.4263203842947405,gallina,olla,nr,lctrl,rctrl,0.03339670265359018
20,1,0.5049594292008805,perro,gato,sra,rctrl,rctrl,0.033368766142302775
21,1,0.4769743081874367,escritorio,leon,nr,rctrl,rctrl,0.033354239155869436
22,1,0.45437562595225245,gallo,cigarrillo,nr,lctrl,rctrl,0.03337155979306772
23,1,0.4900234527012799,tortuga,tornillo,nr,lctrl,rctrl,0.03340564233712939
24,1,0.38020167367631075,bowl,caballo,nr,rctrl,rctrl,0.03336206137919362
25,0,0.6880874524554201,tijera,leon,nr,lctrl,rctrl,0.03338915979520607
